"<ID>";"<ENT>N";"<OPT>V";"<OPT>Adj";"N0 =: Nhum";"N0 =: N-hum";"exercer = avoir";"exercer = éprouver";"exercer = faire";"exercer = pratiquer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: Poss0";"Prép1 =: à l'égard de";"Prép1 =: contre";"Prép1 =: sur";"N1 =: Nhum";"N1 =: N-hum";"N0 V N1";"N0 être Adj Prép N1";"subir = essuyer";"subir = être sous";"subir = faire l'objet de";"Exemple Base1";"Exemple Base2";"Exemple Autre1"
"73";"rigueur";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"74";"sadisme";"<E>";"sadique";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"75";"sauvagerie";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"76";"séduction";"séduire";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"77";"souveraineté";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"78";"sujétion";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"79";"suprématie";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"80";"surveillance";"surveiller";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"~";"~";"~"
"81";"tentation";"tenter";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"82";"terreur";"terroriser";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"83";"terrorisme";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"84";"totalitarisme";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"85";"traction";"<E>";"<E>";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"86";"tutelle";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"87";"tyrannie";"tyranniser";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"88";"vengeance";"venger";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"89";"violence";"<E>";"violent";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"~";"~";"~"
"90";"volonté";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~"

