"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"29";"37m";"boiser";"boisage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"30";"37m";"bombarder";"bombardement";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"31";"32cv";"botteler";"bottelage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"32";"37m";"boucher";"bouchage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"33";"37m";"boucler";"bouclage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"34";"37m";"bourrer";"bourrage";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"35";"37m";"boutonner";"boutonnage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"~";"~"
"36";"37m";"broder";"brodage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"37";"37e";"brosser";"brossage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"38";"32c";"brouiller";"brouillage";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"39";"32c";"broyer";"broyage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"40";"37m";"cacheter";"cachetage";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"41";"37m";"cadenasser";"cadenassage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"42";"37m";"calfater";"calfatage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"43";"38l";"calfeutrer";"calfeutrage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"44";"32c";"calibrer";"calibrage";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"45";"32r";"cambrioler";"cambriolage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"46";"37m";"camoufler";"camouflage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"~";"~"
"47";"37m";"canonner";"canonnage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"48";"37m";"caoutchouter";"caoutchoutage";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"49";"37m";"capitonner";"capitonnage";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"50";"37m";"capsuler";"capsulage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"51";"32c";"carder";"cardage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"52";"37m";"caréner";"carénage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"53";"37m";"carreler";"carrelage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"54";"37m";"cartonner";"cartonnage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"55";"37e";"castrer";"castration";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"56";"38l";"catapulter";"catapultage";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"57";"32c";"cautériser";"cautérisation";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"~";"~"
"58";"37e";"censurer";"censure";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"59";"37m";"cercler";"cerclage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"60";"32r";"chaperonner";"chaperonnage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"61";"37m";"charger";"chargement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"62";"37m";"charpenter";"charpente";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"63";"37m";"chauler";"chaulage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"64";"32r";"chronométrer";"chronométrage";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"65";"37m";"ciseler";"ciselure";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
