"<ID>";"<ENT>N";"Det figé";"autre Det";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = attribuer";"donner = flanquer";"donner = passer";"Det =: un";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = toucher"
"62";"bourse de voyage";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+"
"63";"bourse d'études";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+"
"64";"brevet d'apprentissage";"-";"Poss1";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"65";"brevet de bonne conduite";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"66";"brevet de capacité";"-";"le";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"67";"brevet de conformité";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"68";"brevet de noblesse";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"69";"brevet de perfectionnement";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"70";"brevet militaire";"le";"Poss1";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"71";"cahier des charges";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"72";"carte blanche";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"73";"carton d'invitation";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-"
"74";"carton jaune";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
