"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"126";"+";"+";"cithare";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"127";"+";"+";"cithare en terre";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"128";"+";"+";"clairon";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"129";"+";"+";"claque-bois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"130";"+";"+";"claquebois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"131";"+";"+";"clarine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"132";"+";"+";"clarinette";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"133";"+";"+";"clarinette alto";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"134";"+";"+";"clarinette alto en mi bémol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"135";"+";"+";"clarinette basse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"136";"+";"+";"clarinette basse en si bémol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"137";"+";"+";"clarinette contrefasse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"138";"+";"+";"clarinette contrebasse en mi bémol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"139";"+";"+";"clarinette contrebasse en si bémol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"140";"+";"+";"clarinette double";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"141";"+";"+";"clarino";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"142";"+";"+";"clavecin";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"143";"+";"+";"claves";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"144";"+";"+";"clavicythérium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"145";"+";"+";"clavicorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"146";"+";"+";"clavicorde double";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"147";"+";"+";"clavinette";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"148";"+";"+";"clavioline";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"149";"+";"+";"claviorgue";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"150";"+";"+";"clavitimbre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"151";"+";"+";"cliquettes";"*";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"152";"+";"+";"cloche";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"153";"+";"+";"cloche de bois";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"154";"+";"+";"cloche double";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"155";"+";"+";"cloche multiple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"156";"+";"+";"cloche triple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"157";"+";"+";"cloche-grelot";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"158";"+";"+";"cloche-plaque";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"159";"+";"+";"cloche-tube";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"160";"+";"+";"clochette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"161";"+";"+";"colachon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"162";"+";"+";"componium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"163";"+";"+";"congas";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"164";"+";"+";"conques";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"165";"+";"+";"contrebaix";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"166";"+";"+";"contrebasse";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"167";"+";"+";"contrebasse à pistons";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"168";"+";"+";"contrebasson";"-";"-";"-";"-";"1";"-";"-";"-";"-";"+"
"169";"+";"+";"cor";"-";"-";"-";"+";"1";"-";"niste";"-";"-";"+"
"170";"+";"+";"cor à piston";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"171";"+";"+";"cor anglais";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"172";"+";"+";"cor chromatique";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"173";"+";"+";"cor chromatique à pistons";"-";"-";"-";"+";"1";"-";"niste";"-";"-";"+"
"174";"+";"+";"cor d'harmonie";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"175";"+";"+";"cor d'orchestre";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"176";"+";"+";"cor de basset";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"177";"+";"+";"cor de basset en fa";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"178";"+";"+";"cor de berger";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"179";"+";"+";"cor de chasse";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"180";"+";"+";"cor de postillon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"181";"+";"+";"cor des alpes";"-";"-";"+";"+";"1";"-";"niste";"-";"-";"+"
"182";"+";"+";"cor postal";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"183";"-";"+";"corde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"184";"+";"+";"corne";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"185";"+";"+";"cornemuse";"-";"-";"-";"+";"-";"-";"ur";"-";"-";"+"
"186";"+";"+";"cornet";"-";"-";"-";"+";"-";"-";"tiste";"-";"-";"+"
"187";"+";"+";"cornet à bouquin";"-";"-";"+";"+";"1";"-";"tiste";"-";"-";"+"
"188";"+";"+";"cornet à pistons";"-";"-";"+";"+";"1";"-";"tiste";"-";"-";"+"
"189";"+";"+";"cornet à pistons en si bémol";"-";"-";"-";"+";"1";"-";"tiste";"-";"-";"+"
"190";"+";"+";"cornet à pistons en ut";"-";"-";"-";"+";"1";"-";"tiste";"-";"-";"+"
"191";"+";"+";"cornet courbe";"-";"-";"+";"+";"1";"-";"tiste";"-";"-";"+"
"192";"+";"+";"cornet de chasse";"-";"-";"+";"+";"1";"-";"tiste";"-";"-";"+"
"193";"+";"+";"cornet de poste";"-";"-";"+";"+";"1";"-";"tiste";"-";"-";"+"
"194";"+";"+";"cornet postal";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"195";"+";"+";"cornu";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"196";"+";"+";"courtaud";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"197";"+";"+";"crécelles";"t";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"198";"+";"+";"cromorne";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"199";"+";"+";"crotales";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"200";"+";"+";"cymbale charleston";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"201";"+";"+";"cymbale turque";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"202";"+";"+";"cymbales";"+";"-";"-";"+";"-";"es";"iste";"-";"-";"+"
"203";"+";"+";"cymbales antiques";"+";"-";"+";"+";"1";"es";"iste";"-";"-";"+"
"204";"+";"+";"cymbalettes";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"205";"+";"+";"cymbalum";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"206";"+";"+";"cymbalum hongrois";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"207";"+";"+";"deltaplane";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"208";"+";"+";"demi-queue";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"209";"+";"+";"demi-violon";"-";"+";"-";"+";"2";"-";"iste";"-";"-";"+"
"210";"+";"+";"diable";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"211";"+";"+";"diaule";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"212";"+";"+";"dinghy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"213";"+";"+";"dirigeable";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"214";"+";"+";"disque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"215";"+";"+";"dulcimer";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"216";"+";"+";"échasses";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"217";"+";"+";"échiquier";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"218";"+";"-";"épée";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"219";"+";"+";"épinette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"220";"+";"+";"épinette hongroise";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"221";"+";"+";"épinette des vosges";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"222";"+";"+";"éthérophone";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"223";"+";"+";"euphonium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"224";"+";"+";"fidel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"225";"+";"+";"fifre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"226";"+";"+";"fifre turc";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"227";"+";"+";"flageolet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
