"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"337";"+";"+";"kayak de course";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"-"
"338";"+";"+";"kermisorgel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"339";"+";"+";"lithophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"340";"+";"+";"luge";"-";"-";"-";"+";"-";"-";"ur";"-";"-";"-"
"341";"+";"+";"luge de course";"-";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"342";"+";"+";"luge des eaux";"-";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"343";"+";"+";"lure";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"344";"+";"+";"luth";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"345";"+";"+";"luth-théorbe";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"346";"+";"+";"luth antique";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"347";"+";"+";"luth oriental";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"348";"+";"+";"luth renaissance";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"349";"+";"+";"luth théorbé";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"350";"+";"+";"luth tunisien";"-";"-";"+";"+";"-";"-";"iste";"-";"-";"+"
"351";"+";"+";"lyre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"352";"+";"+";"lyre militaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"353";"+";"+";"lyre-guitare";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"354";"+";"+";"mandoline";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"355";"+";"+";"mandore";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"356";"+";"+";"manichordion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"357";"+";"+";"manicorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"358";"+";"+";"manicordion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"359";"+";"+";"maracas";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"360";"+";"+";"marimbaphone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"361";"+";"-";"marteau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"362";"-";"+";"massues";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"363";"+";"+";"métallophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"364";"+";"+";"métallophone à amplificateur";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"365";"+";"+";"mini-trampoline";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"366";"+";"+";"mirliton";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"367";"+";"+";"mono-coque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"368";"+";"+";"mono-cycle";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"369";"+";"+";"mono-ski";"-";"-";"-";"+";"2";"-";"eur";"+";"-";"-"
"370";"+";"+";"monocoque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"371";"+";"+";"monocycle";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"372";"+";"-";"monoplace";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"373";"+";"-";"monoplace de vitesse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"374";"+";"+";"monoski";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"375";"+";"+";"montgolfière";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"376";"+";"+";"moto";"-";"-";"-";"+";"-";"o";"ard";"-";"-";"-"
"377";"+";"+";"multi-coque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"378";"+";"+";"multicoque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"379";"+";"+";"musette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"380";"+";"+";"musette pastorale";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"381";"+";"+";"néo-cor";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"382";"+";"+";"ocarina";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"383";"+";"+";"octavin";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"384";"+";"+";"octavine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"385";"+";"+";"octobasse";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"386";"+";"+";"olifant";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"387";"+";"+";"omnium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"388";"+";"+";"ondes Martenot";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"389";"+";"+";"ondes musicales";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"390";"+";"+";"ondioline";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"391";"+";"+";"ophicléide";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"392";"+";"+";"optimiste";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"393";"+";"+";"orgue";"-";"-";"-";"+";"-";"ue";"aniste";"-";"-";"+"
"394";"+";"+";"orgue à bouche";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"395";"+";"+";"orgue classique";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"396";"+";"+";"orgue d'église";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"397";"+";"+";"orgue de Barbarie";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"398";"+";"+";"orgue de cinéma";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"399";"+";"+";"orgue de cristal";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"400";"+";"+";"orgue Dereux";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"401";"+";"+";"orgue électrique";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"402";"+";"+";"orgue électronique";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"403";"+";"+";"orgue Hammond";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"404";"+";"+";"orgue Limonaire";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"405";"+";"+";"orgue mécanique";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"406";"+";"+";"orgue positif";"-";"-";"+";"+";"1";"ue";"aniste";"-";"-";"+"
"407";"+";"+";"orphica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"408";"+";"+";"outrigger";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"409";"+";"+";"outrigger de couple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"410";"+";"+";"outrigger de pointe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"411";"+";"+";"parachute";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"412";"+";"+";"patin à glace";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"413";"+";"+";"patin à roulettes";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"414";"+";"+";"patinette";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"415";"+";"+";"pentacorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"416";"+";"-";"perche";"-";"-";"-";"+";"-";"e";"iste";"+";"-";"-"
"417";"+";"+";"percussions";"+";"-";"-";"+";"-";"s";"niste";"-";"-";"+"
"418";"+";"+";"petit bogle";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"419";"+";"+";"petit bugle";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"420";"+";"+";"petite clarinette";"-";"+";"-";"+";"2";"e";"iste";"-";"-";"+"
"421";"+";"+";"petite flûte";"-";"+";"-";"+";"2";"e";"iste";"-";"-";"+"
"422";"+";"+";"piano";"-";"-";"-";"+";"-";"o";"iste";"-";"-";"+"
"423";"+";"+";"piano à pieds droits";"-";"-";"-";"+";"1";"o";"iste";"-";"-";"+"
"424";"+";"+";"piano à queue";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"425";"+";"+";"piano de table";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"426";"+";"+";"piano droit";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"427";"+";"+";"piano éolien";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"428";"+";"+";"piano mécanique";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"429";"+";"+";"piano pneumatique";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"430";"+";"+";"piano préparé";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"431";"+";"+";"piano pyramidal";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"432";"+";"+";"piano secrétaire";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"433";"+";"+";"piano-buffer";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"434";"+";"+";"piano-forte";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"435";"+";"+";"piano-girafe";"-";"-";"+";"+";"1";"o";"iste";"-";"-";"+"
"436";"+";"+";"pianoforte";"-";"-";"-";"+";"-";"oforte";"iste";"-";"-";"+"
"437";"+";"+";"pianola";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"438";"+";"+";"piccolo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"439";"+";"+";"pipeau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"440";"+";"+";"pipo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"441";"+";"+";"pirogue";"-";"-";"-";"+";"-";"e";"ier";"-";"-";"-"
"442";"+";"+";"pirogue polynésienne";"-";"-";"+";"+";"1";"e";"ier";"-";"-";"-"
"443";"+";"+";"pistolet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"444";"+";"+";"planche";"-";"-";"-";"+";"-";"e";"véli-iste";"-";"-";"-"
"445";"+";"+";"planche à laver";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"446";"+";"+";"planche à percussion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"447";"+";"+";"planche à roulettes";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"-"
"448";"+";"+";"planche à voile";"-";"-";"+";"+";"1";"voile";"véli-iste";"-";"-";"-"
"449";"+";"+";"planche à voile sur pneumatique";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"-"
"450";"+";"+";"planche à voile sur quatre roues";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"-"
"451";"+";"+";"planche hawaïenne";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"-"
"452";"+";"+";"planeur";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"453";"+";"+";"plaque de tôle";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"454";"+";"+";"poids";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"455";"+";"+";"post-horn";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"456";"+";"+";"posthorn";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"457";"+";"+";"pot-tambour";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"458";"-";"+";"poutre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"459";"+";"+";"psaltérion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"460";"+";"+";"psaltérion de bois";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"461";"+";"+";"quart de queue";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"462";"+";"+";"quart de violon";"-";"+";"-";"+";"2";"-";"iste";"-";"-";"+"
"463";"+";"+";"rabab";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"464";"+";"+";"racle";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"465";"+";"+";"raclettes";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"466";"+";"+";"radeau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"467";"+";"+";"radio";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"468";"+";"+";"ramaplan";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"469";"+";"+";"rame";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"470";"+";"+";"rebab";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"471";"+";"+";"rebec";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"472";"+";"+";"reita";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"473";"+";"+";"roller-skate";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"474";"+";"+";"roller-surf";"-";"-";"+";"+";"2";"-";"eur";"-";"-";"-"
"475";"-";"+";"ruban";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"476";"+";"+";"runabout";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"477";"+";"+";"sabre";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"478";"+";"+";"salterio";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"479";"+";"+";"sambuque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"480";"+";"+";"sanza";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"481";"+";"+";"sarbacane";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"482";"+";"+";"sarod";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"483";"+";"+";"sarode";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"484";"+";"+";"sarrussophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"485";"+";"+";"sax";"-";"-";"-";"+";"-";"-";"ophoniste";"-";"-";"+"
"486";"+";"+";"sax alto";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"487";"+";"+";"sax baryton";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"488";"+";"+";"sax basse";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"489";"+";"+";"sax contrebasse";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"490";"+";"+";"sax électrique";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"491";"+";"+";"sax soprane";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"492";"+";"+";"sax sopranino";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"493";"+";"+";"sax soprano";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"494";"+";"+";"sax ténor";"-";"-";"+";"+";"1";"-";"ophoniste";"-";"-";"+"
"495";"+";"+";"saxhorn";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"496";"+";"+";"saxhorn alto";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"497";"+";"+";"saxhorn baryton";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"498";"+";"+";"saxhorn basse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"499";"+";"+";"saxhorn bogle";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"500";"+";"+";"saxhorn bugle";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"501";"+";"+";"saxhorn contrebasse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"502";"+";"+";"saxo";"-";"-";"-";"+";"-";"-";"phoniste";"-";"-";"+"
"503";"+";"+";"saxo alto";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"504";"+";"+";"saxo baryton";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"505";"+";"+";"saxo basse";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"506";"+";"+";"saxo contrebasse";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"507";"+";"+";"saxo électrique";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"508";"+";"+";"saxo soprane";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"509";"+";"+";"saxo sopranino";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"510";"+";"+";"saxo soprano";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"511";"+";"+";"saxo ténor";"-";"-";"+";"+";"1";"-";"phoniste";"-";"-";"+"
"512";"+";"+";"saxophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"513";"+";"+";"saxophone alto";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"514";"+";"+";"saxophone baryton";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"515";"+";"+";"saxophone basse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"516";"+";"+";"saxophone contrebasse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"517";"+";"+";"saxophone électrique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"518";"+";"+";"saxophone soprane";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"519";"+";"+";"saxophone sopranino";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"520";"+";"+";"saxophone soprano";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"521";"+";"+";"saxophone ténor";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"522";"+";"+";"scie musicale";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"523";"+";"+";"seraphone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"524";"+";"+";"serinette";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"525";"+";"+";"side-car";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"526";"+";"+";"sifflet";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"527";"+";"+";"sifflet à piston";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+"
"528";"+";"+";"sirène";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"529";"+";"+";"sistre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"530";"+";"+";"sistre de calebasse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"531";"+";"+";"sitar";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"532";"+";"+";"skate-board";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"533";"+";"+";"skateboard";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"534";"+";"-";"skeleton";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"535";"+";"+";"ski";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"536";"+";"+";"ski de fond";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"537";"+";"+";"ski de fond";"-";"-";"+";"+";"2";"-";"eur";"+";"-";"-"
"538";"+";"+";"ski-doo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"539";"+";"+";"skidoo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"540";"+";"+";"skiff";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"541";"+";"+";"sonnailles";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"542";"+";"+";"sonnette";"-";"-";"-";"+";"-";"tte";"ur";"+";"-";"+"
"543";"+";"+";"souba";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"544";"+";"+";"soubassophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"545";"+";"+";"sourdine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"546";"+";"+";"sousa";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"547";"+";"+";"sousaphone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"548";"+";"+";"symphonium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"549";"+";"+";"synthé";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"550";"+";"+";"synthétiseur";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"551";"+";"+";"syrinx";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"552";"+";"+";"tabla";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"553";"+";"+";"talking-drum";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"554";"+";"+";"tam-tam";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"555";"+";"+";"tam-tam africain";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"556";"+";"+";"tam-tam d'orchestre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"557";"+";"+";"tamboril";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"558";"+";"+";"tambour";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"559";"+";"+";"tambour à corde";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"560";"+";"+";"tambour à fente";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"561";"+";"+";"tambour à friction";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"562";"+";"+";"tambour d'aisselle";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"563";"+";"+";"tambour d'eau";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"564";"+";"+";"tambour de basque";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"565";"+";"+";"tambour de bois";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"566";"+";"+";"tambour de frein";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"567";"+";"+";"tambour de sable";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"568";"+";"+";"tambour de terre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"569";"+";"+";"tambour métallique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"570";"+";"+";"tambour provençal";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"571";"+";"+";"tambour-arbre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"572";"+";"+";"tambour-maringouin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"573";"+";"+";"tambour-sur-cadre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"574";"+";"+";"tambour-sur-cadre arabe";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"575";"+";"+";"tambour-sur-cadre européen";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"576";"+";"+";"tambouri";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"577";"+";"+";"tambourin";"-";"-";"-";"+";"-";"-";"aire";"+";"-";"+"
"578";"+";"+";"tambourin";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"+"
"579";"+";"+";"tambourin à cordes";"-";"-";"+";"+";"1";"-";"aire";"+";"-";"+"
"580";"+";"+";"tambourin à cordes";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"+"
"581";"+";"+";"tambourin béarnais";"-";"-";"+";"+";"1";"-";"aire";"+";"-";"+"
"582";"+";"+";"tambourin béarnais";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"+"
"583";"+";"+";"tambourin provençal";"-";"-";"+";"+";"1";"-";"aire";"+";"-";"+"
"584";"+";"+";"tambourin provençal";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"+"
"585";"+";"+";"tamburina";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"586";"+";"+";"tandem";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"587";"+";"+";"téorbe";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"588";"+";"+";"tétracorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"589";"+";"+";"théorbe";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"590";"+";"+";"thérémine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"591";"+";"+";"theremin";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"592";"+";"+";"theremine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"593";"+";"+";"thereminovox";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"594";"+";"+";"thereminvox";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"595";"+";"+";"timbale d'orchestre";"-";"-";"+";"+";"1";"e";"ier";"-";"-";"+"
"596";"+";"+";"timbales";"+";"-";"-";"+";"-";"es";"ier";"-";"-";"+"
"597";"+";"+";"timbre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"598";"+";"+";"tintinnabula";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"599";"+";"+";"toboggan";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"600";"+";"+";"tom alto";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"601";"+";"+";"tom basse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"602";"+";"+";"tom-tom";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"603";"+";"+";"toms";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"604";"+";"+";"tomtom";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"605";"+";"+";"traîneau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"606";"+";"+";"trampoline";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"607";"+";"+";"trapèze";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"608";"+";"+";"triangle";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"609";"+";"+";"trimaran";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"610";"+";"+";"trombone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"611";"+";"-";"trombone à coulisse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"612";"+";"+";"trombone à pistons";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"613";"+";"+";"trompe";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"614";"+";"+";"trompe d'auto";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"615";"+";"+";"trompe de chasse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"616";"+";"+";"trompe de chasse en mi bémol";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"617";"+";"-";"trompe de chasse en ré";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"618";"+";"+";"trompe en terre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"619";"+";"+";"trompette";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"620";"+";"+";"trompette à pistons";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"621";"+";"+";"trompette d'harmonie";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"622";"+";"+";"trompette d'harmonie à pistons";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"623";"+";"+";"trompette d'harmonie avec pistons";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"624";"+";"+";"trompette d'harmonie sans pistons";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
