"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Prép";"<ENT>Detc";"<ENT>Nc";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Autre1"
"168";"+";"-";"-";"présentation";"de";"<E>";"mode";"-";"+";"+";"+";"+";"-";"-";"~"
"169";"+";"+";"-";"prise";"de";"<E>";"terrain";"la";"-";"+";"-";"-";"-";"-";"~"
"170";"+";"+";"-";"progrès";"à";"le";"envers";"-";"-";"-";"-";"+";"-";"-";"~"
"171";"+";"-";"-";"projet";"de";"<E>";"avenir";"-";"+";"+";"-";"+";"+";"-";"~"
"172";"+";"-";"-";"projet";"de";"<E>";"V-n";"-";"+";"+";"-";"+";"-";"-";"~"
"173";"+";"-";"-";"projet";"de";"<E>";"voyage";"-";"+";"+";"-";"+";"-";"-";"~"
"174";"+";"-";"-";"raisonnement";"de";"<E>";"jésuite";"-";"+";"+";"-";"+";"-";"-";"~"
"175";"+";"-";"-";"rattrapage";"de";"<E>";"jeu";"-";"+";"+";"-";"-";"-";"-";"~"
"176";"+";"-";"-";"reconnaissance";"de";"<E>";"écriture";"-";"+";"-";"-";"-";"-";"-";"~"
"177";"+";"-";"-";"règle";"de";"<E>";"trois";"-";"+";"+";"-";"+";"-";"-";"~"
"178";"+";"-";"-";"repas";"de";"<E>";"famille";"-";"+";"+";"-";"+";"-";"-";"~"
"179";"+";"-";"-";"repas";"de";"<E>";"fête";"-";"+";"+";"-";"+";"-";"-";"~"
"180";"+";"-";"-";"repas";"de";"<E>";"noces";"-";"+";"+";"-";"+";"-";"-";"~"
"181";"+";"-";"-";"retour";"en";"<E>";"arrière";"-";"+";"+";"-";"+";"-";"-";"~"
"182";"+";"+";"-";"retour";"en";"<E>";"force";"-";"+";"+";"-";"+";"-";"-";"~"
"183";"+";"-";"-";"retour";"à";"les";"sources";"-";"+";"+";"-";"-";"-";"-";"~"
"184";"+";"-";"-";"retour";"à";"la";"terre";"-";"+";"+";"-";"-";"-";"-";"~"
"185";"+";"-";"-";"révolution";"de";"<E>";"palais";"-";"+";"+";"-";"+";"-";"-";"~"
"186";"+";"-";"-";"revue";"de";"<E>";"presse";"-";"+";"+";"+";"+";"-";"-";"~"
"187";"+";"-";"-";"revue";"de";"<E>";"question";"-";"+";"+";"+";"+";"-";"-";"~"
"188";"+";"-";"-";"ronds";"dans";"la";"eau";"-";"-";"-";"-";"+";"-";"-";"~"
"189";"+";"-";"-";"ronds";"de";"<E>";"fumée";"-";"-";"-";"-";"+";"-";"-";"~"
"190";"+";"-";"-";"sacrifice";"à";"les";"dieux";"-";"+";"+";"-";"+";"-";"-";"~"
"191";"+";"-";"-";"saut";"de";"<E>";"carpe";"-";"+";"+";"-";"+";"-";"-";"~"
"192";"+";"-";"-";"saut";"en";"<E>";"hauteur";"-";"+";"+";"+";"+";"-";"-";"~"
"193";"+";"-";"-";"saut";"en";"<E>";"longueur";"-";"+";"+";"+";"+";"-";"-";"~"
"194";"+";"-";"-";"saut";"de";"la";"mort";"le";"-";"+";"-";"-";"-";"-";"~"
"195";"+";"-";"-";"service";"de";"<E>";"nuit";"le";"+";"+";"+";"+";"-";"+";"~"
"196";"+";"-";"-";"service";"après";"<E>";"vente";"-";"+";"+";"+";"-";"-";"-";"~"
"197";"+";"-";"-";"signe";"de";"<E>";"croix";"le";"+";"+";"-";"+";"-";"-";"~"
"198";"+";"-";"-";"sortie";"en";"<E>";"mer";"-";"+";"+";"-";"+";"-";"-";"~"
"199";"+";"-";"-";"sortie";"en";"<E>";"montagne";"-";"+";"+";"-";"+";"-";"-";"~"
"200";"+";"-";"-";"sortie";"en";"<E>";"ville";"-";"+";"+";"-";"+";"-";"-";"~"
"201";"+";"-";"-";"sport";"en";"<E>";"chambre";"-";"-";"+";"+";"-";"-";"-";"~"
"202";"+";"-";"-";"sport";"de";"<E>";"équipe";"-";"+";"+";"+";"+";"-";"-";"~"
"203";"+";"-";"-";"sport";"de";"<E>";"montagne";"-";"+";"+";"+";"+";"-";"-";"~"
"204";"+";"-";"-";"suspension";"de";"<E>";"armes";"-";"+";"+";"-";"+";"-";"-";"~"
"205";"+";"-";"-";"tape";"à";"le";"oeil";"-";"-";"+";"+";"-";"-";"-";"~"
"206";"+";"-";"-";"tête";"à";"<E>";"queue";"-";"+";"+";"-";"+";"-";"-";"~"
"207";"+";"-";"-";"tir";"de";"<E>";"enfilade";"-";"+";"+";"+";"+";"-";"-";"~"
"208";"+";"-";"-";"tir";"de";"<E>";"interdiction";"-";"+";"+";"+";"+";"-";"-";"~"
"209";"+";"-";"-";"tir";"de";"<E>";"neutralisation";"-";"+";"+";"+";"+";"-";"-";"~"
"210";"+";"-";"-";"tir";"à";"les";"pigeons";"-";"-";"+";"+";"-";"-";"-";"~"
"211";"+";"-";"-";"toilette";"de";"<E>";"chat";"-";"+";"+";"-";"-";"-";"-";"~"
"212";"+";"-";"-";"tour";"de";"<E>";"adresse";"-";"+";"+";"-";"+";"+";"-";"~"
"213";"+";"-";"-";"tour";"de";"<E>";"chant";"-";"+";"+";"-";"+";"-";"-";"~"
"214";"+";"-";"-";"tour";"de";"<E>";"force";"-";"+";"+";"-";"+";"+";"-";"~"
"215";"+";"-";"-";"tour";"de";"<E>";"garde";"-";"+";"+";"-";"+";"-";"+";"~"
"216";"+";"-";"-";"tour";"de";"<E>";"manège";"-";"+";"+";"-";"+";"-";"-";"~"
"217";"+";"-";"-";"tour";"de";"<E>";"passe-passe";"-";"+";"+";"-";"+";"+";"-";"~"
"218";"+";"-";"-";"tour";"de";"<E>";"piste";"-";"+";"+";"-";"+";"-";"-";"~"
"219";"+";"-";"-";"tour";"de";"le";"propriétaire";"le";"-";"+";"-";"-";"-";"-";"~"
"220";"+";"-";"-";"tour";"de";"<E>";"scrutin";"-";"+";"+";"-";"+";"-";"-";"~"
"221";"+";"-";"-";"tour";"de";"<E>";"table";"-";"+";"+";"-";"+";"-";"-";"~"
"222";"+";"-";"-";"tour";"de";"<E>";"V-n";"-";"+";"+";"-";"+";"-";"-";"~"
"223";"+";"-";"-";"tournée";"de";"les";"grands-ducs";"la";"-";"+";"-";"-";"-";"-";"~"
"224";"+";"-";"-";"travail";"de";"<E>";"bénédictin";"-";"+";"+";"+";"-";"+";"-";"~"
"225";"+";"-";"-";"travail";"de";"<E>";"cheval";"-";"+";"+";"-";"-";"-";"-";"~"
"226";"+";"-";"-";"travail";"de";"<E>";"chien";"-";"+";"+";"-";"-";"+";"-";"~"
"227";"+";"-";"-";"travail";"de";"<E>";"école";"-";"+";"+";"+";"+";"+";"-";"~"
"228";"+";"-";"-";"travail";"de";"<E>";"forçat";"-";"+";"+";"+";"-";"+";"-";"~"
"229";"+";"-";"-";"travail";"de";"<E>";"fort des Halles";"-";"+";"+";"+";"-";"+";"-";"~"
"230";"+";"-";"-";"travail";"de";"<E>";"fourmi";"-";"+";"+";"+";"-";"+";"-";"~"
"231";"+";"-";"-";"travail";"de";"<E>";"Hercule";"-";"+";"+";"+";"-";"+";"-";"~"
"232";"+";"-";"-";"travail";"de";"<E>";"laboratoire";"-";"+";"+";"+";"+";"-";"+";"~"
"233";"+";"-";"-";"travail";"de";"<E>";"nuit";"le";"+";"+";"+";"-";"-";"-";"~"
"234";"+";"-";"-";"travail";"de";"<E>";"patience";"-";"+";"+";"+";"-";"+";"-";"~"
"235";"+";"-";"-";"travail";"de";"<E>";"Pénélope";"-";"+";"+";"+";"-";"+";"-";"~"
"236";"+";"-";"-";"travail";"de";"<E>";"précision";"-";"+";"+";"+";"-";"+";"-";"~"
"237";"+";"-";"-";"travail";"de";"<E>";"Romain";"-";"+";"+";"+";"-";"+";"-";"~"
"238";"+";"-";"-";"travail";"de";"<E>";"Titan";"-";"+";"+";"-";"-";"+";"-";"~"
"239";"+";"-";"-";"traversée";"de";"le";"désert";"la";"-";"+";"-";"-";"-";"-";"~"
"240";"+";"-";"-";"vers";"de";"<E>";"mirliton";"-";"+";"+";"-";"+";"-";"-";"~"
"241";"+";"-";"-";"voeu";"de";"<E>";"chasteté";"<E>";"-";"+";"-";"-";"-";"-";"~"
"242";"+";"-";"-";"voeu";"de";"<E>";"pauvreté";"<E>";"-";"+";"-";"-";"-";"-";"~"
"243";"+";"-";"-";"vol";"à";"la";"roulotte";"-";"+";"+";"+";"-";"-";"-";"~"
"244";"+";"-";"-";"vol";"à";"la";"tire";"-";"-";"+";"+";"-";"-";"-";"~"
"245";"+";"-";"-";"voyage";"de";"<E>";"affaires";"-";"+";"+";"-";"+";"-";"-";"~"
"246";"+";"-";"-";"voyage";"de";"<E>";"agrément";"-";"+";"+";"-";"+";"-";"-";"~"
"247";"+";"-";"-";"voyage";"de";"<E>";"étude";"-";"+";"+";"-";"+";"-";"-";"~"
"248";"+";"-";"-";"voyage";"de";"<E>";"noces";"-";"+";"+";"-";"+";"-";"-";"~"

