"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"418";"+";"+";"parachutisme sportif";"-";"-";"+";"-";"+";"+";"1";"me";"te";"-";"-";"-"
"419";"+";"+";"parapente";"-";"-";"+";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"420";"+";"+";"patinage";"-";"-";"+";"-";"-";"+";"-";"age";"eur";"+";"-";"-"
"421";"+";"+";"patinage artistique";"-";"-";"+";"-";"+";"+";"1";"age";"eur";"+";"-";"-"
"422";"+";"+";"patinage à roulettes";"-";"-";"+";"-";"+";"+";"1";"age";"eur";"+";"-";"-"
"423";"+";"+";"patinage de vitesse";"-";"-";"+";"-";"+";"+";"1";"age";"eur";"+";"-";"-"
"424";"+";"+";"patinage sur glace";"-";"-";"+";"-";"+";"+";"1";"age";"eur";"+";"-";"-"
"425";"+";"+";"pédagogie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"426";"+";"+";"pelote";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"427";"+";"+";"pelote basque";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"428";"+";"+";"pesapallo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"429";"+";"+";"philatélie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"430";"+";"+";"philosophie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"431";"+";"+";"phonétique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"432";"+";"+";"physiologie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"433";"+";"+";"physique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"434";"+";"+";"physique appliquée";"-";"-";"+";"-";"+";"+";"1";"que";"cien";"-";"-";"-"
"435";"+";"+";"plaisance";"-";"-";"+";"-";"-";"+";"-";"e";"ier";"-";"-";"-"
"436";"+";"+";"plat";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"437";"+";"+";"platform-tennis";"-";"-";"+";"-";"-";"+";"2";"-";"man";"-";"-";"-"
"438";"+";"+";"plongeon de haut-vol";"-";"-";"+";"-";"-";"+";"1";"on";"ur";"+";"-";"-"
"439";"+";"+";"poids et haltères";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"440";"+";"+";"politique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"441";"+";"+";"politologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"442";"+";"+";"portugais";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"443";"-";"+";"poutre d'équilibre";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"444";"+";"+";"précision d'atterrissage";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"445";"+";"+";"probabilités";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"446";"+";"+";"provençale";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"447";"+";"+";"psychologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"448";"+";"+";"psychologie expérimentale";"-";"-";"+";"-";"+";"+";"1";"ie";"ue";"-";"-";"-"
"449";"+";"-";"quatre de couple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"450";"+";"-";"quatre de couple avec barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"451";"-";"+";"quatre de couple avec barreuse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"452";"+";"-";"quatre de couple sans barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"453";"+";"+";"quatre de pointe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"454";"+";"-";"quatre de pointe avec barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"455";"-";"+";"quatre de pointe sans barreuse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"456";"+";"-";"quatre de pointe sans barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"457";"+";"+";"quan-ki-do";"-";"-";"+";"-";"-";"+";"3";"-";"ka";"-";"-";"-"
"458";"+";"+";"raft";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"-";"-"
"459";"+";"+";"rafting";"-";"-";"+";"-";"-";"+";"-";"ing";"eur";"-";"-";"-"
"460";"+";"+";"rebot";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";;;;;;;;;
"461";"-";"+";"ringuette";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"462";"+";"+";"roller";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"463";"+";"+";"roll-surf";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"464";"+";"+";"russe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"465";"+";"+";"râsa-yoga";"-";"-";"+";"-";"-";"+";"2";"a";"i";"-";"-";"-"
"466";"+";"+";"sai";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"467";"+";"-";"sambo";"-";"-";"+";"-";"-";"+";"-";"-";"ïste";"-";"-";"-"
"468";"+";"+";"san yi chuan";"-";"-";"+";"-";"-";"+";"-";"-";"ïste";"-";"-";"-"
"469";"+";"+";"sanshakubo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"470";"+";"+";"savate";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"471";"+";"+";"sciences exactes";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"472";"+";"+";"sciences expérimentales";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"473";"+";"+";"sciences médicales";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"474";"+";"+";"sciences médico-sociales";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"475";"+";"+";"sciences naturelles";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"476";"+";"+";"sciences sociales";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"477";"+";"+";"scoutisme";"-";"-";"+";"-";"-";"+";"-";"isme";"+";"-";"-";"-"
"478";"+";"+";"secourisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"479";"+";"+";"sei no iki";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"480";"+";"+";"self-défense";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"481";"+";"+";"sémantique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
