"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: un, Vsup =: perdre";"Det =: des, Vsup =: perdre";"Det =: du, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"39";"+";"+";"-";"public";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"~"
"40";"+";"-";"-";"réserve";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~"
"41";"+";"-";"-";"ressource";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~"
"42";"+";"+";"-";"ressource";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"~"
"43";"+";"-";"-";"revenu";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"~"
"44";"+";"+";"-";"rival";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"45";"+";"+";"-";"sectateur";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"46";"+";"-";"-";"séide";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~"
"47";"+";"+";"-";"supporter";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"48";"+";"+";"-";"tension";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"~"
"49";"+";"-";"-";"tradition";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~"

