"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Det =: Artg =: le";"N0 faire le N";"N0 faire le N de V0-inf W";"N0 faire le N de V1-inf W à N1";"Det =: <E>";"N0 faire (bon+mauvais) N Prép N1";"N0 faire N de V1-inf W";"N1 =: N-hum";"Prép1 =: à";"Prép1 =: contre";"GN =: le N de N0 à N1";"GN =: les N de N0 à N1";"GN =: le N de N0 contre N1";"Exemple Base1";"Exemple Base2";"Exemple Autre1";
"26";"32h";"courtiser";"cour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"27";"13";"créditer";"crédit";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"28";"12";"critiquer";"critique";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~"
"29";"32r";"dénigrer";"dénigrement";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"30";"4";"déshonorer";"déshonneur";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"31";"4";"diffamer";"diffamation";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"Max fait de la diffamation (E+contre Léa)";"~"
"32";"37m";"doter";"dot";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"33";"4";"embêter";"embêtement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"34";"4";"emmerder";"emmerdement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Léa fait des emmerdements à Jean";"~";"~"
"35";"37";"empoisonner";"empoisonnement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"36";"4";"ennuyer";"ennui";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"37";"38l";"enterrer";"enterrement";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"38";"4";"épater";"épate";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max fait de l'épate à Léa";"~";"~"
"39";"32h";"esbroufer";"esbroufe";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"40";"3";"escorter";"escorte";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Les policiers font escorte au président";"~";"~"
"41";"6";"favoriser";"faveur";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~"
"42";"32h";"feinter";"feinte";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max fait une feinte à Léa";"~";"~"
"43";"13";"féliciter";"félicitation";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"44";"37e";"filouter";"filouterie";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"45";"32h";"flagorner";"flagornerie";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Max fait des flagorneries à Luc";"~";"~"
"46";"4";"flatter";"flatterie";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max fait des flatteries à son maître";"~";"~"
"47";"32h";"frauder";"fraude";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"48";"32h";"friponner";"friponnerie";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"49";"4";"gâter";"gâterie";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"50";"37e";"gracier";"grâce";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"51";"32pl";"haranguer";"harangue";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"52";"4";"honorer";"honneur";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"53";"4";"injurier";"injure";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"~";"~";"~"
