"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Base1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"54";"+";"-";"-";"cauchemar";"-";"+";"+";"-";"+";"-";"-";"Max a fait un cauchemar"
"55";"+";"-";"-";"chalutage";"-";"-";"+";"+";"-";"-";"-";"~"
"56";"+";"-";"-";"chandelle";"-";"+";"+";"-";"-";"-";"-";"(Ce joueur de tennis+La balle) a fait une chandelle"
"57";"+";"+";"-";"chandelle";"-";"+";"+";"-";"+";"-";"-";"~"
"58";"+";"-";"-";"chapeau";"-";"+";"+";"-";"+";"-";"+";"(Max a fait un chapeau à cet article+Cet article a un chapeau (E+de Max)"
"59";"+";"-";"-";"chef-d'oeuvre";"-";"+";"+";"-";"+";"+";"-";"~"
"60";"+";"-";"-";"cheville";"-";"+";"+";"-";"+";"-";"-";"Max fait une cheville dans ce vers"
"61";"+";"-";"-";"chichi";"-";"-";"-";"+";"+";"-";"-";"Marie fait des chichis"
"62";"+";"-";"-";"chromo";"-";"+";"+";"+";"+";"-";"-";"Ce peintre a fait un chromo"
"63";"+";"-";"-";"chute";"-";"+";"+";"-";"-";"-";"-";"~"
"64";"+";"-";"-";"circonlocutions";"-";"-";"-";"-";"+";"-";"-";"~"
"65";"+";"-";"-";"ciseaux";"-";"-";"-";"-";"+";"-";"-";"Luc fait des ciseaux"
"66";"+";"-";"-";"commission";"les";"+";"+";"-";"+";"-";"+";"Max fait les commissions"
"67";"+";"-";"-";"comptabilité";"-";"-";"+";"+";"-";"-";"+";"~"
"68";"+";"-";"-";"comptes";"-";"+";"+";"-";"+";"-";"+";"Max fait ses comptes"
"69";"+";"-";"-";"conduite";"-";"-";"+";"+";"-";"-";"-";"~"
"70";"+";"-";"-";"conquête";"-";"+";"+";"-";"+";"-";"-";"Max fait des conquêtes"
"71";"+";"-";"-";"contre-approche";"-";"+";"+";"-";"+";"-";"-";"~"
"72";"-";"+";"-";"contrejour";"<E>";"-";"+";"-";"-";"-";"-";"~"
"73";"-";"-";"+";"contre-manifestation";"-";"+";"+";"-";"+";"-";"-";"~"
"74";"+";"-";"-";"contrepas";"-";"+";"+";"-";"+";"-";"-";"~"
"75";"+";"-";"-";"contre-passation";"-";"+";"+";"-";"+";"-";"-";"~"
"76";"+";"-";"-";"contre-performance";"-";"+";"+";"-";"+";"+";"-";"~"
"77";"+";"-";"-";"contrepèterie";"-";"+";"+";"-";"+";"-";"-";"~"
"78";"+";"-";"-";"contre-révolution";"la";"+";"+";"-";"-";"-";"-";"~"
"79";"+";"-";"-";"convalescence";"Poss0";"-";"+";"-";"-";"-";"-";"~"
"80";"+";"-";"-";"conversion";"-";"+";"+";"-";"+";"-";"-";"~"
"81";"+";"-";"-";"correspondance";"Poss0";"-";"+";"+";"-";"-";"+";"~"
"82";"+";"-";"-";"corvée";"la";"+";"+";"-";"+";"+";"+";"~"
"83";"+";"-";"-";"couac";"-";"+";"+";"-";"+";"-";"-";"~"
"84";"+";"-";"-";"couille";"-";"+";"+";"-";"+";"+";"-";"~"
"85";"+";"-";"-";"coup";"-";"-";"+";"-";"-";"+";"-";"Luc a fait un mauvais coup à Max"
"86";"-";"+";"-";"courbe";"-";"+";"+";"-";"+";"-";"-";"La route (a+fait) une courbe"
"87";"+";"-";"-";"courrier";"Poss0";"-";"+";"+";"-";"-";"+";"~"
"88";"+";"-";"-";"course";"les";"+";"+";"-";"+";"-";"-";"Max fait les courses"
"89";"+";"-";"-";"créneau";"-";"+";"+";"-";"+";"-";"-";"~"
"90";"+";"-";"-";"criée";"la";"-";"+";"-";"-";"-";"-";"~"
"91";"+";"-";"-";"crise";"Poss0";"+";"+";"-";"-";"-";"-";"~"
"92";"+";"-";"-";"critique";"-";"-";"+";"+";"-";"-";"-";"~"
"93";"+";"-";"-";"croissance";"Poss0";"-";"+";"-";"-";"-";"-";"~"
"94";"+";"-";"-";"croûte";"-";"+";"+";"-";"+";"-";"-";"~"
"95";"+";"-";"-";"cueillette";"la";"-";"+";"-";"-";"-";"-";"~"
"96";"+";"-";"-";"cuisine";"la";"-";"+";"+";"-";"-";"+";"Léa fait (une+de la) bonne cuisine (E+(à+de) Jean)"
"97";"+";"+";"-";"culbute";"la";"-";"+";"-";"-";"-";"-";"Le clown fait des culbutes"
"98";"+";"-";"-";"décalcomanie";"-";"+";"+";"+";"+";"-";"-";"~"
"99";"-";"+";"-";"déclic";"-";"+";"+";"-";"+";"-";"-";"La serrure a fait un déclic"
"100";"+";"-";"-";"découpage";"-";"-";"-";"+";"+";"-";"-";"~"
"101";"+";"-";"-";"défection";"<E>";"-";"+";"-";"-";"-";"-";"~"
"102";"+";"-";"-";"dégagement";"-";"+";"+";"-";"+";"-";"-";"L'arrière a fait un dégagement rapide en touche"
"103";"+";"-";"-";"déjà vu";"-";"-";"-";"+";"-";"-";"-";"~"
"104";"+";"-";"-";"démarquage";"-";"+";"+";"-";"+";"-";"-";"~"
