"<ID>";"<ENT>N";"<ENT>Prép";"<ENT>Detc";"<ENT>Nc";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point"
"73";"séance";"de";"<E>";"marionnettes";"-";"+";"+";"-";"+";"-";"-"
"74";"séance";"de";"<E>";"N";"-";"+";"+";"-";"+";"-";"-"
"75";"serment";"de";"<E>";"fidélité";"-";"+";"+";"-";"+";"-";"-"
"76";"serment";"de";"<E>";"ivrogne";"-";"+";"+";"-";"+";"+";"-"
"77";"serment";"de";"<E>";"N";"-";"+";"+";"-";"+";"-";"-"
"78";"signe";"de";"<E>";"dénégation";"-";"+";"+";"-";"+";"-";"-"
"79";"signe";"de";"<E>";"intelligence";"-";"+";"+";"-";"+";"-";"-"
"80";"signe";"de";"<E>";"tête";"-";"+";"+";"-";"-";"-";"-"
"81";"souhaits";"de";"<E>";"bonne année";"-";"-";"-";"-";"+";"-";"-"
"82";"tour";"de";"<E>";"cartes";"-";"+";"+";"-";"+";"-";"-"
"83";"tour";"de";"<E>";"cochon";"-";"+";"+";"-";"+";"+";"-"
"84";"traitement";"de";"<E>";"choc";"-";"+";"+";"-";"+";"+";"-"
"85";"traitement";"de";"<E>";"faveur";"-";"+";"+";"-";"+";"+";"-"
"86";"visite";"de";"<E>";"N";"-";"+";"+";"-";"+";"-";"-"
"87";"visite";"de";"<E>";"politesse";"-";"+";"+";"-";"+";"-";"-"
"88";"voeux";"de";"<E>";"bon rétablissement";"-";"-";"-";"-";"+";"-";"-"
"89";"voeux";"de";"<E>";"bonne année";"-";"-";"-";"-";"+";"-";"-"
"90";"voeux";"de";"<E>";"prompt retablissement";"-";"-";"-";"-";"+";"-";"-"

