"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: des";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de"
"88";"-";"+";"-";"-";"-";"-";"+";"-";"-";"mise en demeure";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+"
"89";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note de service";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"90";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note diplomatique";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"91";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note officielle";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"92";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note verbale";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"93";"-";"+";"-";"-";"+";"-";"+";"-";"-";"objection de principe";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-"
"94";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"obligation morale";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"95";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques civiles";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"96";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques militaires";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"97";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques nationales";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"98";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques religieuses";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"99";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques solennelles";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"100";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offrande expiatoire";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"101";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offrande votive";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"102";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offre de Gascon";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"103";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offre d'emploi";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"104";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offre publique d'achat";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"105";"-";"+";"-";"-";"-";"-";"+";"-";"-";"offres de service";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"106";"-";"+";"-";"-";"-";"-";"+";"-";"-";"ouverture de conciliation";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"107";"-";"+";"-";"-";"-";"-";"+";"-";"-";"ouverture de paix";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"108";"-";"+";"-";"-";"-";"-";"+";"-";"-";"ouverture politique";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"109";"+";"-";"-";"-";"-";"-";"+";"-";"-";"passe-droit";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"110";"+";"-";"-";"-";"-";"+";"+";"-";"-";"place de choix";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-"
"111";"-";"+";"-";"-";"+";"-";"-";"-";"-";"plates excuses";"de";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"112";"-";"-";"-";"-";"-";"-";"+";"-";"-";"prescription médicale";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+"
