"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: à";"Prép2 =: en";"Prép2 =: par";"Prép2 =: entre";"Prép2 =: sur";"Prép2 =: contre";"Prép2 =: dans";"N0 faire un N Prép N2";"Exemple Base1";"Exemple Autre1"
"76";"38pl";"partager";"partage";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~"
"77";"38pl";"piler";"pilage";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"78";"38l";"placer";"placement";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"79";"38l";"pointer";"pointage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"80";"38l";"prélever";"prélèvement";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"~";"~"
"81";"38pl";"pulvériser";"pulvérisation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"82";"38pl";"quadriller";"quadrillage";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"83";"32pl";"ranger";"rangement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"84";"32pl";"rassembler";"rassemblement";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"85";"16";"rattacher";"rattachement";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"86";"32pl";"reclasser";"reclassement";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"87";"38r";"recopier";"recopiage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"88";"38l";"recruter";"recrutement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"89";"38l";"récupérer";"récupération";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"90";"36dt";"régler";"règlement";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
