"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"N0 ne Vsup que Det N W";"N0 éprouver Det N pour N1";"N1 provoquer Det N Prép N0";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Det =: des";"<ENT>N";"N0 Vsup Det N";"N0 Vsup le N de V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N0 V son N pour N1";"Prép1 =: envers";"Prép1 =: en faveur de";"Prép1 =: contre";"N0 V (E+avec+sans) N";"Exemple Base1";"Exemple Autre1"
"27";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"favoritisme";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"Max a un certain favoritisme";"~"
"28";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"félicitations";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"29";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"feu sacré";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"30";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"feu vert";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"31";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"flamme";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Max a de la flamme pour cette cause";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"32";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"geste";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"33";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"goût";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"34";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"gratitude";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"35";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"haine";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"36";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"idolâtre";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"37";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"indélicatesse";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~"
"38";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"inimitié";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"39";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"inspiration";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"40";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"jugeote";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"41";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"laissez-passer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"42";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"magnétisme";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Ce gateau a (du magnétisme+de l'attrait) pour Eva";"~"
"43";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"mémoire";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"44";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"ménagement";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~"
"45";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"message";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"46";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"mobile";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"47";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"mot";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~"
"48";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"mouvement";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"49";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"parole";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~"
"50";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"parti-pris";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"~";"~"
"51";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"point de départ";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"52";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"prédilection";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"53";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"préférence";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"54";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"préjugé";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"~";"~"
"55";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"répulsion";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~"
"56";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"sens";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"57";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"signification";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"58";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"sollicitude";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"59";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"sympathie";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~"
"60";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"talent";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"61";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"tremplin";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"62";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"valeur";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"63";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"vénération";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"64";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"yeux";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"

