"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"24";"+";"+";"-";"-";"-";"-";"-";"avancement";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"25";"+";"-";"-";"-";"-";"-";"-";"avantage";"le";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"26";"+";"-";"+";"-";"-";"+";"+";"avertissement";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"27";"-";"-";"-";"+";"-";"-";"-";"avis";"-";"Poss0";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"28";"-";"-";"-";"-";"-";"-";"+";"avoine";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"29";"-";"-";"-";"-";"-";"-";"+";"avoinée";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"30";"-";"+";"-";"-";"-";"+";"-";"backchich";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"31";"-";"-";"-";"-";"-";"+";"+";"baffe";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"32";"-";"+";"-";"-";"+";"+";"-";"baiser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"33";"-";"+";"-";"-";"-";"-";"-";"barrette";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"34";"-";"-";"-";"-";"-";"-";"-";"bâton";"-";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"35";"+";"-";"-";"+";"-";"-";"-";"becquée";"la";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"36";"-";"-";"-";"-";"-";"+";"+";"beigne";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"37";"-";"-";"-";"-";"-";"+";"+";"beignet";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"38";"-";"-";"-";"-";"-";"-";"-";"bénédiction";"Poss0";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
