"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"102";"+";"-";"+";"+";"intolérance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"103";"+";"-";"+";"+";"intransigeance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"104";"+";"-";"-";"-";"jugement";"-";"-";"-";"+";"+";"-";"-";"-";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"105";"+";"-";"+";"+";"justice";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~"
"106";"+";"-";"+";"+";"longanimité";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"107";"+";"-";"-";"-";"mauvaise grâce";"-";"-";"-";"+";"-";"-";"-";"-";"+";"à";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"108";"+";"-";"-";"-";"mécontentement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"109";"+";"-";"-";"-";"mémoire";"-";"-";"-";"+";"-";"-";"-";"+";"+";"de";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"110";"+";"-";"-";"-";"obéissance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"111";"+";"-";"-";"-";"obsession";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"112";"+";"-";"-";"-";"opinion";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"113";"+";"-";"-";"-";"parti pris";"-";"-";"+";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"114";"+";"-";"-";"-";"pensée";"-";"-";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"115";"+";"-";"-";"-";"pensée";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"116";"+";"-";"-";"-";"perception";"-";"-";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"117";"+";"+";"-";"-";"perspective";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"118";"+";"-";"+";"+";"poigne";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"119";"+";"+";"-";"-";"possibilité";"-";"+";"+";"+";"+";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"120";"+";"+";"+";"-";"pouvoir";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"121";"-";"-";"-";"-";"pratique";"-";"-";"-";"+";"-";"-";"-";"+";"+";"de";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"122";"-";"-";"-";"-";"préjugé";"-";"-";"+";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~"
"123";"-";"+";"-";"-";"préséance";"-";"+";"-";"+";"-";"-";"+";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"124";"+";"+";"-";"-";"prétention";"-";"-";"+";"+";"+";"-";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"125";"+";"-";"-";"-";"preuve";"-";"-";"+";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"~";"~"
"126";"+";"-";"-";"-";"preuve";"-";"+";"+";"+";"+";"-";"-";"+";"+";"de";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"~";"~"
"127";"+";"-";"-";"-";"prévention";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"128";"+";"-";"-";"-";"pudeur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"129";"+";"-";"-";"-";"rabais";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"130";"+";"-";"-";"-";"rancoeur";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"131";"+";"-";"-";"-";"réaction";"-";"-";"+";"+";"+";"-";"-";"+";"+";"à";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"132";"+";"-";"-";"-";"regret";"-";"-";"-";"+";"+";"+";"-";"+";"+";"de+devant";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"133";"+";"-";"-";"-";"remise";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"134";"+";"-";"-";"-";"remords";"-";"-";"+";"+";"+";"+";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"135";"+";"-";"+";"+";"réserve";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"136";"+";"-";"-";"-";"résignation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"137";"+";"-";"+";"+";"sang-froid";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"138";"+";"-";"+";"+";"sans gêne";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~"
"139";"+";"-";"-";"-";"savoir";"-";"-";"-";"+";"-";"-";"-";"+";"+";"en";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"140";"+";"-";"+";"+";"savoir faire";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"141";"-";"-";"+";"+";"savoir vivre";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"142";"-";"+";"+";"-";"secret";"-";"-";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"143";"+";"-";"-";"-";"sensation";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"144";"+";"-";"-";"-";"sentiment";"-";"+";"-";"+";"-";"-";"-";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"145";"+";"-";"-";"-";"sentiment";"-";"-";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"146";"+";"-";"-";"-";"soumission";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"147";"+";"-";"-";"-";"soupçon";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"148";"+";"-";"-";"-";"soupçon";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"149";"+";"-";"-";"-";"souvenir";"+";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"150";"+";"+";"+";"-";"succès";"-";"-";"-";"+";"+";"+";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"151";"+";"-";"-";"-";"suspicion";"-";"-";"-";"+";"+";"+";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"152";"+";"-";"+";"+";"tact";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"153";"+";"-";"-";"-";"talent";"-";"-";"-";"+";"+";"+";"-";"+";"+";"pour";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"154";"+";"-";"-";"-";"théorie";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"155";"+";"-";"-";"-";"trac";"-";"+";"-";"+";"-";"-";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"156";"+";"-";"-";"-";"volonté";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"157";"+";"-";"-";"-";"zèle";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"158";"+";"-";"-";"-";"zèle";"-";"-";"-";"+";"-";"+";"-";"+";"+";"Loc";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"

