"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"26";"+";"+";"-";"-";"besoin";"+";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"(La pelouse a besoin d'être tondue+Max a besoin de Marie)";"~"
"27";"+";"-";"+";"-";"bonne humeur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"28";"+";"-";"-";"-";"capacité";"+";"-";"-";"+";"-";"-";"-";"+";"+";"à";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"Ce liquide a une grande capacité à se répandre";"~"
"29";"+";"-";"-";"-";"certitude";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"~";"~"
"30";"+";"-";"-";"-";"certitude";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"31";"+";"-";"-";"-";"chagrin";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"32";"+";"+";"+";"-";"chance";"-";"-";"+";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"33";"+";"-";"-";"-";"colère";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"34";"+";"-";"-";"-";"complexe";"-";"-";"+";"+";"+";"-";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"35";"+";"-";"-";"-";"conception";"-";"-";"-";"+";"+";"-";"-";"-";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"~";"~"
"36";"+";"-";"-";"-";"confusion";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"37";"+";"-";"-";"-";"connaissance";"-";"-";"-";"+";"+";"-";"-";"+";"+";"en";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"38";"+";"-";"-";"-";"contentement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"39";"+";"-";"-";"-";"contentement";"-";"+";"-";"+";"-";"-";"-";"+";"+";"de+devant";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"40";"+";"-";"-";"-";"conviction";"-";"+";"-";"+";"-";"-";"-";"+";"+";"de";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"41";"+";"-";"+";"+";"conviction";"-";"-";"-";"+";"-";"+";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"42";"+";"-";"-";"-";"conviction";"-";"-";"-";"+";"+";"-";"-";"-";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"43";"+";"+";"+";"-";"cote";"-";"+";"-";"+";"-";"-";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"44";"+";"-";"-";"-";"courroux";"-";"-";"-";"+";"-";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"45";"+";"-";"-";"-";"courroux";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"46";"-";"-";"-";"-";"crainte";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de+devant";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
