"<ID>";"<ENT>N";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Qu P être un N pour N0";"Qu P donner Det N à N0";"Vsup =: connaître";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7"
"47";"binette";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"48";"biographie";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Luc a une biographie complexe";"~";"~";"~";"~";"~"
"49";"blanc";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a eu un blanc";"~";"~";"~";"~";"~"
"50";"blase";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un (blase+blaze) à tiroirs";"~";"~";"~";"~";"~"
"51";"bol";"-";"-";"-";"+";"-";"-";"-";"-";"~";"Max a un certain bol (E+d'avoir vu Ida)";"Max a du certain bol (E+d'avoir vu Ida)";"~";"~";"~";"~"
"52";"bonheur";"+";"-";"+";"+";"-";"+";"+";"+";"~";"Max a eu un grand bonheur";"Max a eu du grand bonheur";"~";"~";"~";"~"
"53";"bouée";"-";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"54";"bouillie";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"55";"boulet";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Ida (a+traîne) un boulet";"~";"~";"~";"~";"~"
"56";"bréviaire";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un bréviaire";"~";"~";"~";"~";"Le livre est le bréviaire de Max"
"57";"boulot";"-";"+";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"58";"boulot";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"59";"business";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un business";"~";"~";"~";"~";"~"
"60";"but";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a un but";"~";"~";"~";"~";"~"
"61";"capacités";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~";"Max a de grandes capacités";"~";"~"
"62";"capital";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"63";"capital";"-";"+";"+";"-";"-";"+";"+";"-";"~";"(Léa a un capital+Max a un certain capital (E+de 50 M))";"~";"~";"~";"~";"~"
"64";"carcan";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un carcan";"~";"~";"~";"~";"~"
"65";"casier";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un casier";"~";"~";"~";"~";"GN=:[un casier judiciaire non vierge]"
"66";"casserole";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Ce député a une casserole";"~";"~";"~";"~";"~"
"67";"catéchisme";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Les marxistes ont un catéchisme";"~";"~";"~";"Le capital est le catéchisme des Marxistes";"~"
"68";"cauchemar";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Léa (a+vit) un cauchemar";"~";"~";"~";"Ceci est le cauchemar de Léa";"~"
"69";"champ";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Ces recherches (ont+couvent) un champ très vaste";"~";"~";"~";"~";"Luc a un champ (d'action+de recherche) étendu"
"70";"chant";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Cet oiseau a un chant divin";"~";"~";"~";"~";"~"
"71";"chez soi";"+";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"72";"chien";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"73";"chiffre";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"74";"chimère";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une chimère";"~";"~";"~";"~";"~"
"75";"cible";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une cible";"~";"~";"~";"~";"~"
"76";"cinquantaine";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"Max a la cinquantaine";"~";"~";"~"
"77";"coeur";"-";"+";"+";"+";"-";"-";"-";"-";"~";"Max a un coeur (E+tendre+dur)";"Max a du coeur";"Max a eu le coeur de lui refuser son aide";"~";"~";"~"
"78";"coffre";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Max a un coffre à la banque";"Max a du coffre";"~";"~";"~";"~"
"79";"coloris";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Ce peintre a un coloris caractéristique";"~";"~";"~";"~";"~"
"80";"combine";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"81";"compte";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un compte (E+en banque)";"~";"~";"~";"~";"~"
"82";"conduite";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une conduite (E+souple en voiture)";"~";"~";"~";"~";"~"
"83";"conscience";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max a une conscience (E+élastique)";"~";"Max a la conscience en paix";"~";"~";"~"
"84";"contact";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"85";"contenance";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"86";"contretemps";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Nous avons eu un contretemps dans notre programme";"~";"~";"~";"~";"~"
"87";"côté";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un côté (*E+chaleureux)";"~";"~";"~";"~";"~"
"88";"cour";"-";"+";"+";"-";"-";"-";"-";"-";"~";"(Max+Le roi) a un cour";"~";"~";"~";"~";"~"
"89";"courbes";"+";"-";"-";"-";"-";"-";"+";"-";"Léa a des courbes";"~";"~";"~";"~";"~";"~"
"90";"crayon";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un rayon virulent";"~";"Max a le rayon virulent";"~";"~";"~"
"91";"credo";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Jacques a un credo";"~";"~";"~";"Ceci est le credo de Jacques";"~"
"92";"créneau";"+";"+";"+";"-";"+";"+";"-";"-";"~";"Max a un créneau";"~";"~";"~";"~";"~"
"93";"crépuscule";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Sa carrière (a+connaît) un crépuscule triste";"~";"~";"~";"~";"~"
"94";"cri";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"95";"cuite";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Jean a (une+sa) cuite";"~";"~";"~";"~";"~"
"96";"curriculum";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un (E+certain) curriculum";"~";"~";"~";"~";"~"
"97";"dada";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un dada";"~";"~";"~";"~";"~"
"98";"dan";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un dan";"~";"~";"~";"~";"~"
"99";"débraillé";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un certain débraillé";"~";"~";"~";"Max est d'un débraillé très réussi dans sa tenue";"~"
"100";"débrouille";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a une certaine débrouille";"~";"~";"~";"~";"~"
"101";"décolleté";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un beau décolleté";"~";"~";"~";"~";"~"
"102";"déconvenue";"+";"+";"+";"-";"-";"+";"-";"+";"~";"Max a un déconvenue";"~";"~";"~";"~";"~"
"103";"découvert";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un découvert à la banque";"~";"~";"~";"~";"~"
"104";"défense";"-";"-";"+";"+";"-";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"105";"déficit";"-";"+";"+";"-";"-";"-";"-";"+";"~";"Cette entreprise a un déficit de 5 millions";"~";"~";"~";"~";"~"
"106";"démarche";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une démarche élégante";"~";"~";"~";"~";"~"
"107";"démon";"+";"+";"+";"-";"-";"-";"-";"-";"Chacun a ses démons";"~";"~";"~";"~";"~";"~"
"108";"députation";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"Max (a+se présente à+a obtenu) la députation en mars";"~";"~";"~"
"109";"déraison";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"Max a de déraison";"~";"~"
"110";"descendance";"-";"+";"+";"+";"-";"-";"+";"-";"~";"Max a une nombreuse descendances";"~";"~";"~";"~";"~"
"111";"descente";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Léa a une belle descente";"~";"~";"~";"~";"~"
"112";"desiderata";"+";"+";"+";"-";"-";"-";"-";"-";"Max a des desiderata précis";"~";"~";"~";"~";"~";"~"
"113";"dessein";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a (un dessein inavouable+le dessein de partir)";"~";"~";"~";"~";"~"
"114";"destin";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Marie a eu un beau destin";"~";"~";"~";"~";"~"
"115";"destination";"-";"-";"+";"-";"-";"-";"-";"-";"~";"(Max+Ce voyage) a une destination inconnue";"~";"~";"~";"~";"~"
"116";"destinée";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Marie a eu une belle destinée";"~";"~";"~";"~";"~"
"117";"détente";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Luc a une belle détente";"~";"~";"~";"~";"~"
"118";"détresse";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"Max (a+éprouve) de la détresse";"~";"~";"~";"~"
"119";"deuil";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Max a un deuil usuel";"~";"~";"~";"~";"~"
"120";"déveine";"+";"-";"+";"+";"-";"+";"-";"+";"~";"~";"Max a de la déveine";"~";"~";"~";"~"
"121";"devise";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une devise";"~";"~";"~";"Cette phrase est une devise";"~"
"122";"diagnostic";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un diagnostic (*E+très sûr)";"~";"~";"~";"~";"~"
"123";"dialecte";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un dialecte (*E+très personnel)";"~";"~";"~";"~";"~"
"124";"dilemme";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Luc a un dilemme";"~";"~";"~";"Aller à Rome ou à Madrid est un dilemme pour Max";"~"
"125";"diplôme";"+";"+";"+";"-";"-";"-";"-";"-";"Cette école (a+donne+délivre) des diplômes aux étudiants";"~";"~";"~";"~";"~";"~"
"126";"dire";"-";"-";"+";"-";"-";"-";"-";"-";"(Max+Le réunion) a un dire sujet à caution";"~";"~";"~";"~";"~";"~"
"127";"direct";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"128";"disgrâce";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Marie a une certaine disgrâce (E+dans sa démarche)";"~";"~";"~";"~";"~"
"129";"distanciation";"-";"-";"+";"-";"-";"-";"+";"-";"~";"L'auteur a une distanciation (E+dans sa pièce)";"~";"~";"~";"~";"~"
"130";"dit";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un dit (*E+subtil)";"~";"~";"~";"~";"~"
"131";"divination";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Léa a une certaine divination";"~";"~";"~";"~";"~"
"132";"doctrine";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une doctrine (E+sur cette question)";"~";"~";"~";"~";"~"
"133";"dogme";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un dogme";"~";"~";"~";"~";"~"
"134";"doigté";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Ce pianiste a un doigté extraordinaire";"~";"~";"~";"~";"~"
"135";"domaine";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un domaine (E+d'élection+dans son travail)";"~";"~";"~";"~";"~"
"136";"domicile";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"137";"dominance";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une certaine dominance (E+dans le groupe)";"~";"~";"~";"~";"~"
"138";"don";"+";"+";"+";"-";"+";"+";"-";"-";"~";"Max a un don (E+en musique+pour la musique)";"~";"Max a le don (des langues+de prophète+d'ubiquité)";"~";"~";"~"
"139";"douaire";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Léa a un douaire (E+important+dotant)";"~";"~";"~";"~";"~"
"140";"drame";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Max a un drame";"~";"~";"~";"Que Marie vienne est un drame pour Max";"~"
"141";"droite";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max a une droite meurtrière";"~";"~";"~";"~";"~"
"142";"échappatoire";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max a une échappatoire";"~";"~";"~";"~";"~"
"143";"écriture";"+";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une belle écriture";"~";"~";"~";"~";"~"
"144";"effigie";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une effigie";"~";"~";"~";"~";"~"
"145";"ego";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un ego solide";"~";"~";"~";"~";"~"
"146";"élan";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a un élan patriotique";"Max a de l'élan";"~";"~";"~";"~"
"147";"élocution";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une élocution";"~";"~";"~";"~";"~"
"148";"empêchement";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Paul a un empêchement pour cette réunion";"~";"~";"~";"~";"~"
"149";"emploi";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un emploi";"~";"~";"~";"~";"~"
"150";"enfance";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a eu une enfance (*E+paisible+heureuse)";"~";"~";"~";"~";"~"
"151";"enfer";"-";"+";"+";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"152";"ennuis";"+";"+";"+";"-";"-";"-";"-";"+";"Max a des ennuis";"~";"~";"~";"~";"~";"~"
"153";"entendement";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a un entendement limité";"~";"~";"~";"~";"~"
"154";"entourage";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Léa a un entourage de crétins";"~";"~";"~";"~";"~"
"155";"entregent";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~";"Max a de l'entregent";"~";"~";"~";"~"
"156";"éponyme";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un éponyme";"~";"~";"~";"~";"~"
"157";"équipage";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Léa a un triste équipage";"~";"~";"~";"~";"~"
"158";"errements";"+";"-";"-";"-";"-";"-";"-";"+";"Max a des errements parfois";"~";"~";"~";"~";"~";"~"
"159";"espérances";"+";"-";"-";"-";"-";"-";"+";"-";"Jean a des espérances";"~";"~";"~";"~";"~";"GN=:[des espérances (d'héritage+d'enfant)]"
"160";"esprit";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un esprit (*E+lent+inventif)";"~";"~";"~";"Max est d'un esprit inventif";"~"
"161";"estomac";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"162";"éthique";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une éthique";"~";"~";"~";"~";"~"
"163";"étiquette";"+";"+";"+";"-";"-";"-";"-";"-";"(Jean+Ce parti) a une étiquette ";"~";"~";"~";"~";"~";"~"
"164";"étoffe";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"165";"étoile";"+";"+";"+";"-";"-";"-";"-";"-";"Ce général a (une étoile+des étoiles)";"Max a (une+*des) (bonne+mauvaise) étoile";"~";"~";"~";"~";"~"
"166";"être";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un être";"~";"~";"~";"~";"~"
"167";"étreinte";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"168";"évangile";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un évangile";"~";"~";"~";"~";"Le lever de bonne heure est l'évangile de Max"
"169";"existence";"-";"-";"+";"-";"-";"+";"-";"+";"~";"Max a une existence oisive";"~";"~";"~";"~";"~"
"170";"expression";"+";"-";"+";"-";"-";"-";"+";"-";"Max a des expressions (*E+bien choisies)";"~";"~";"~";"~";"~";"~"
"171";"expression";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une expression (*E+amusée)";"~";"~";"~";"~";"~"
"172";"faciès";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un faciès simiesque";"~";"~";"~";"~";"~"
"173";"faconde";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a de la faconde";"~";"~";"~";"~"
"174";"façons";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des mauvaises façons";"~";"~";"~";"~";"~";"~"
