"<ID>";"<ENT>N";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Qu P être un N pour N0";"Qu P donner Det N à N0";"Vsup =: connaître";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7"
"204";"gestuelle";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une certaine gestuelle";"~";"~";"~";"~";"~"
"205";"glisse";"-";"-";"+";"-";"-";"-";"+";"-";"Le skieur a une (*E+bonne) glisse";"~";"~";"~";"~";"~";"~"
"206";"goût";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"L'homme a le goût";"~";"~";"~"
"207";"goût";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du goût";"~";"~";"~";"~"
"208";"grade";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un grade";"~";"~";"~";"~";"~"
"209";"grammaire";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une grammaire (*E+parfaite)";"~";"~";"~";"~";"~"
"210";"graphisme";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un graphisme (*E+moderne)";"~";"~";"~";"~";"~"
"211";"griffe";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Ce (couturier+génie) a une griffe";"~";"~";"~";"~";"~"
"212";"habitation";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une habitation";"~";"~";"~";"~";"~"
"213";"habitus";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un habitus (*E+rassurant)";"~";"~";"~";"~";"~"
"214";"haleine";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une haleine (*E+fraîche)";"~";"~";"~";"~";"~"
"215";"havre";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max a un havre";"~";"~";"~";"~";"~"
"216";"hérédité";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une certaine hérédité";"~";"~";"~";"~";"~"
"217";"hobby";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max a un hobby";"~";"~";"~";"~";"~"
"218";"home";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un home";"~";"~";"~";"~";"~"
"219";"honneur";"-";"+";"+";"+";"-";"-";"+";"-";"~";"Max a un honneur";"Max a de l'honneur";"~";"~";"~";"~"
"220";"horizon";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un horizon";"~";"~";"~";"~";"~"
"221";"idéal";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un idéal";"~";"~";"~";"~";"~"
"222";"identité";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Cet homme a une identité";"~";"~";"~";"~";"~"
"223";"idéologie";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une idéologie";"~";"~";"~";"~";"~"
"224";"idiolecte";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un idiolecte";"~";"~";"~";"~";"~"
"225";"image";"-";"+";"-";"-";"-";"-";"+";"-";"~";"Max a une certaine image (E+dans le public)";"~";"~";"~";"~";"~"
"226";"imaginaire";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un certain imaginaire";"~";"~";"~";"~";"~"
"227";"imagination";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a de l'imagination";"~";"~";"~";"~"
"228";"impératif";"+";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"229";"impulsion";"+";"+";"+";"+";"-";"-";"+";"-";"~";"Max a eu une impulsion";"~";"~";"~";"~";"~"
"230";"incognito";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un certain incognito";"~";"~";"~";"~";"~"
"231";"inconduite";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une inconduite (*E+notoire)";"~";"~";"~";"~";"~"
"232";"inconscient";"-";"+";"+";"-";"-";"-";"-";"-";"~";"L'homme a un inconscient";"~";"~";"~";"~";"~"
"233";"incurie";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a une certaine incurie";"~";"~";"~";"~";"~"
"234";"individualisme";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Max a un certain individualisme";"~";"~";"~";"~";"~"
"235";"inflexion";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une inflexion (*E+désabusée)";"~";"~";"~";"~";"~"
"236";"initiales";"+";"+";"+";"-";"-";"-";"-";"-";"Max a des initiales";"~";"~";"~";"~";"~";"~"
"237";"initiative";"+";"-";"+";"+";"+";"-";"+";"-";"~";"Max a une certaine initiative";"~";"~";"~";"~";"~"
"238";"instant";"+";"-";"+";"-";"-";"+";"+";"+";"~";"Max a un instant (E+pour quelque chose)";"~";"~";"~";"~";"~"
"239";"intérieur";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Léa a un intérieur";"~";"~";"~";"~";"~"
"240";"intonation";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une certaine intonation";"~";"~";"~";"~";"~"
"241";"invention";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"Max a de l'invention";"~";"~";"~";"~"
"242";"itinéraire";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un itinéraire";"~";"~";"~";"~";"~"
"243";"jactance";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a de la jactance";"~";"~";"~";"~"
"244";"jargon";"-";"-";"+";"-";"-";"+";"+";"-";"~";"Max a un jargon";"~";"~";"~";"~";"~"
"245";"jeu";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un jeu (*E+élégant)";"~";"~";"~";"~";"~"
"246";"jeu";"-";"-";"+";"+";"+";"-";"+";"-";"~";"~";"Max a du jeu";"~";"~";"~";"~"
"247";"jeunesse";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a une jeunesse (*E+choyée)";"~";"~";"~";"~";"~"
"248";"job";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un job";"~";"~";"~";"~";"~"
"249";"jours";"+";"-";"+";"-";"-";"-";"-";"+";"Max a des jours (*E+tristes)";"~";"~";"~";"~";"~";"~"
"250";"jugement";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du jugement";"~";"~";"~";"~"
"251";"jugeote";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a de la jugeote";"~";"~";"~";"~"
"252";"jus";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du jus";"~";"~";"~";"~"
"253";"langage";"+";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un langage (*E+ordurier)";"~";"~";"~";"~";"~"
"254";"langage";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"Max a le langage";"~";"~";"~"
"255";"langue";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un langue (*E+classique)";"~";"~";"~";"~";"~"
"256";"larmoiement";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un larmoiement";"~";"~";"~";"~";"~"
"257";"latence";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max connaît un (?E+période de) latence";"~";"~";"~";"~";"~"
"258";"latéralisation";"-";"-";"+";"-";"+";"-";"+";"-";"~";"Max a une (*E+bonne) latéralisation";"~";"~";"~";"~";"~"
"259";"latéralité";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"Max a la latéralité";"~";"~";"~"
"260";"latitude";"+";"-";"+";"+";"-";"-";"+";"-";"~";"Max a une certaine latitude";"~";"~";"~";"~";"~"
"261";"lectures";"+";"-";"+";"-";"-";"-";"-";"-";"Max a des lectures (*E+variées)";"~";"~";"~";"~";"~";"~"
"262";"libido";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a une libido";"~";"~";"~";"~";"~"
"263";"ligne";"-";"-";"+";"-";"+";"-";"+";"-";"~";"Max a une ligne parfaite";"~";"Max a la ligne";"~";"~";"~"
"264";"ligne";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max (a+suit) une ligne (E+sans faille)";"~";"~";"~";"~";"~"
"265";"lignée";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une (E+belle) lignée";"~";"~";"~";"~";"~"
"266";"loisir";"+";"-";"+";"+";"-";"+";"+";"+";"~";"Max a un certain loisir";"~";"~";"~";"~";"~"
"267";"look";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un look (*E+personnel)";"~";"~";"~";"~";"~"
"268";"loucherie";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une (*E+légère) loucherie";"~";"~";"~";"~";"~"
"269";"lubie";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a une lubie";"~";"~";"~";"~";"~"
"270";"main";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~";"Max a la main";"~";"~";"~"
"271";"maintien";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un maintien (*E+modeste)";"~";"~";"~";"~";"~"
"272";"maîtrise";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Max a une certaine maîtrise (E+de lui-même)";"Max a de la maîtrise";"~";"~";"~";"~"
"273";"majorité";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"Max a la majorité (E+des voix)";"~";"~";"~"
"274";"majorité";"-";"+";"+";"-";"+";"-";"+";"-";"~";"Max a sa majorité";"~";"~";"~";"~";"~"
"275";"malchance";"-";"-";"+";"+";"-";"+";"-";"-";"~";"~";"Max a de la malchance";"~";"~";"~";"~"
"276";"manière";"-";"+";"+";"-";"+";"+";"+";"-";"~";"Max a une certaine manière";"~";"Max a la manière";"~";"~";"~"
"277";"manières";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"278";"manque";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un manque";"~";"~";"~";"~";"~"
"279";"marge";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a de la marge";"~";"~";"~";"~"
"280";"marge";"-";"+";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"281";"mascotte";"-";"+";"+";"-";"-";"-";"-";"-";"~";"(Max+L'équipe) a une mascotte";"~";"~";"~";"~";"~"
"282";"matricule";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un matricule";"~";"~";"~";"~";"~"
"283";"matronyme";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un matronyme";"~";"~";"~";"~";"~"
"284";"maxime";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une maxime";"~";"~";"~";"~";"~"
"285";"mensurations";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des mensurations (*E+parfaites)";"~";"~";"~";"~";"~";"~"
"286";"mental";"-";"-";"+";"-";"+";"-";"+";"-";"~";"Max a un mental (*E+solide)";"~";"~";"~";"~";"~"
"287";"mésaventure";"+";"+";"+";"-";"-";"+";"-";"+";"~";"Max a eu un mésaventure";"~";"~";"~";"~";"~"
"288";"mesures";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des mesures (*E+impressionnantes)";"~";"~";"~";"~";"~";"~"
"289";"métabolisme";"-";"-";"+";"-";"-";"-";"-";"-";"~";"L'homme a un métabolisme";"~";"~";"~";"~";"~"
"290";"méthode";"-";"+";"+";"+";"-";"+";"+";"-";"~";"Max a une méthode (E+pour l’estimation de la biomasse)";"~";"~";"~";"~";"~"
"291";"métier";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un métier";"~";"~";"~";"~";"~"
"292";"métier";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du métier";"~";"~";"~";"~"
"293";"milieu";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max (a un+jouit d'un) milieu (*E+aisé)";"~";"~";"~";"~";"~"
"294";"mimétisme";"-";"-";"+";"-";"-";"-";"+";"-";"~";"(Max+Cet animal) a un certain mimétisme";"~";"~";"~";"~";"~"
"295";"mine";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une mine (*E+patibulaire)";"~";"~";"~";"~";"~"
"296";"ministère";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un ministère (E+dans ce gouvernement)";"~";"~";"~";"~";"~"
"297";"minois";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Léa a un minois";"~";"~";"~";"~";"~"
"298";"mirage";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un mirage";"~";"~";"~";"~";"~"
"299";"mise";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une mise (*E+un jeu étrange)";"~";"~";"~";"~";"~"
"300";"modèle";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un modèle ";"~";"~";"~";"~";"Luc est le modèle de Max"
"301";"moi";"-";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"302";"moment";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"303";"monde";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"304";"manomanie";"-";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"305";"morale";"-";"+";"+";"+";"-";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"306";"moyens";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des moyens";"~";"~";"~";"~";"~";"~"
"307";"muscle";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"Max a du muscle";"~";"~";"~";"~"
"308";"mythologie";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une mythologie";"~";"~";"~";"~";"~"
"309";"nasillement";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un certain nasillement";"~";"~";"~";"~";"~"
"310";"nom";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un nom";"~";"~";"~";"~";"Max est connu"
"311";"nuit";"+";"-";"+";"-";"-";"-";"+";"+";"Max (a+connaît) des nuits (*E+romanesques)";"Max a eu une nuit (*E+romanesque)";"~";"~";"~";"~";"~"
"312";"numéro";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un numéro (E+de téléphone)";"~";"~";"~";"~";"~"
"313";"occasion";"+";"+";"+";"-";"-";"+";"-";"-";"Max a eu des occasions (dans sa vie)";"~";"~";"~";"~";"~";"~"
"314";"odorat";"-";"-";"+";"+";"+";"-";"+";"-";"~";"L'homme a (l'odorant+ un odorant rudimentaire)";"~";"~";"~";"~";"~"
"315";"office";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un office (E+dans cette entreprise)";"~";"~";"~";"~";"~"
"316";"opium";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un opium";"~";"~";"~";"~";"~"
"317";"opportunité";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a une opportunité";"~";"~";"~";"~";"~"
"318";"opposition";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"319";"orthographe";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une (*E+bonne) orthographe";"~";"~";"~";"~";"~"
"320";"ouïe";"-";"-";"+";"+";"+";"-";"+";"-";"~";"Max a une ouïe (*E+fine)";"Max a de l'ouïe";"~";"~";"~";"~"
"321";"ouïe";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~";"L'homme a l'ouïe";"~";"~";"~"
"322";"palais";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du palais";"~";"~";"~";"~"
"323";"palette";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Ce peinture a une palette (*E+sombre)";"~";"~";"~";"~";"~"
"324";"palmarès";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max a un palmarès (E+brillant)";"~";"~";"~";"~";"~"
"325";"panache";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a un certain panache";"~";"~";"~";"~";"~"
"326";"parade";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une parade (E+contre (quelqu'un+quelque chose))";"~";"~";"~";"~";"~"
"327";"paradis";"-";"+";"+";"-";"-";"+";"-";"+";"~";"Max a un paradis";"~";"~";"~";"~";"~"
"328";"parcours";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"329";"parler";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un parler (*E+rude)";"~";"~";"~";"~";"~"
"330";"parole";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une parole (*E+incertaine)";"~";"~";"~";"~";"~"
"331";"parole";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"L'homme a la parole";"~";"~";"~"
"332";"paronyme";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un paronyme";"~";"~";"~";"~";"~"
"333";"particule";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max a une particule";"~";"~";"~";"~";"~"
"334";"pas";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un pas (*E+silencieux)";"~";"~";"~";"~";"~"
"335";"passé";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max a un passé";"~";"~";"~";"~";"~"
"336";"passing";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"337";"passion";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a une passion";"~";"~";"~";"~";"~"
"338";"patrie";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Max a une patrie";"~";"~";"~";"~";"~"
"339";"patrimoine";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"340";"patronyme";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un patronyme";"~";"~";"~";"~";"~"
"341";"pays";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un pays ";"~";"~";"~";"~";"GN=:[un pays d'origine]"
"342";"pénates";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des pénates";"~";"~";"~";"~";"~";"GN=:[ses pénates]"
"343";"pensée";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une pensée (*E+moderne)";"~";"~";"~";"~";"~"
"344";"pépin";"+";"+";"+";"-";"-";"+";"-";"+";"~";"Max a eu un pépin";"~";"~";"~";"~";"~"
"345";"période";"+";"-";"+";"-";"-";"-";"-";"+";"~";"Max (a+connaît) une période (*E+difficile)";"~";"~";"~";"~";"~"
"346";"personnage";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un certain personnage";"~";"~";"~";"~";"~"
"347";"personnalité";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une personnalité (*E+perverse)";"Max a de la personnalité";"~";"~";"~";"~"
"348";"philosophie";"-";"+";"+";"+";"-";"-";"+";"-";"~";"Max a une certaine philosophie";"~";"~";"~";"~";"~"
"349";"pif";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"350";"pilosité";"+";"-";"+";"-";"-";"-";"-";"-";"Max a des pilosités";"~";"~";"~";"~";"~";"~"
"351";"plan";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un plan";"~";"~";"~";"~";"~"
"352";"planque";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une plaque";"~";"~";"~";"~";"~"
"353";"plume";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une plume(*E+vengeresse)";"~";"~";"~";"~";"~"
"354";"plus";"-";"+";"-";"-";"-";"+";"+";"-";"~";"Max a un plus";"~";"~";"~";"~";"~"
"355";"pointure";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une certaine pointure";"~";"~";"~";"~";"~"
"356";"poisse";"-";"-";"+";"-";"+";"+";"-";"-";"~";"Max a une certaine poisse";"~";"~";"~";"~";"~"
"357";"poitrine";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Léa un une (*E+grosse) poitrine";"~";"~";"~";"~";"~"
"358";"politique";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une certaine politique (E+sur ce point+à l'égard de Luc)";"~";"~";"~";"~";"~"
"359";"pontificat";"-";"-";"+";"-";"+";"-";"-";"-";"~";"Max a un long pontificat";"~";"~";"~";"~";"~"
"360";"pose";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une pose (?E+fatigante+recherchée)";"~";"~";"~";"~";"~"
"361";"position";"-";"-";"+";"-";"-";"+";"+";"-";"~";"Max a une belle position";"~";"~";"~";"~";"~"
"362";"possibilités";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des possibilités (E+intellectuelles)";"~";"~";"~";"~";"~";"~"
"363";"poste";"+";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un poste";"~";"~";"~";"~";"~"
"364";"postérité";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une postérité";"~";"~";"~";"~";"~"
"365";"posture";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une posture (*E+bizarre)";"~";"~";"~";"~";"~"
"366";"pot";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"Max a du pot";"~";"~";"~";"~"
"367";"potentialités";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des potentialités";"~";"~";"~";"~";"~";"~"
"368";"pouvoir";"+";"+";"+";"+";"-";"-";"+";"-";"~";"Max a un pourvoir (magique)";"Max a du pourvoir";"~";"~";"~";"~"
"369";"pouvoir";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"370";"préceptorat";"-";"+";"+";"-";"+";"-";"-";"-";"~";"Max a un préceptorat";"~";"~";"~";"~";"~"
"371";"prélature";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~";"Max a la prélature";"~";"~";"~"
"372";"prémonition";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une prémonition";"~";"~";"~";"~";"~"
"373";"prénom";"+";"+";"+";"-";"-";"-";"-";"-";"Max a des prénoms";"Max a un prénom";"~";"~";"~";"~";"~"
"374";"prénom";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max (a+s'est fait) un prénom";"~";"~";"~";"~";"~"
"375";"préoccupation";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une préoccupation";"~";"~";"~";"~";"~"
"376";"prérogative";"+";"+";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"377";"présénescence";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"Max a la présénescence";"~";"~";"~"
"378";"présent";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"379";"prêtrise";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"Max a la prêtrise";"~";"~";"~"
"380";"principes";"+";"+";"+";"-";"-";"+";"-";"-";"Max a des principes";"~";"~";"~";"~";"~";"~"
"381";"problème";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un problème";"~";"~";"~";"~";"~"
"382";"profession";"+";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"383";"professorat";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"Max a le professorat";"~";"~";"~"
"384";"profil";"+";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un beau profil";"~";"~";"~";"~";"~"
"385";"profil";"-";"-";"+";"-";"+";"-";"-";"-";"~";"(Max+Ce poste) a un certain profil";"~";"~";"~";"~";"~"
"386";"propriété";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une propriété";"~";"~";"~";"~";"~"
"387";"prose";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"388";"pseudonyme";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un pseudonyme";"~";"~";"~";"~";"~"
"389";"psychisme";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un psychisme (E+bizarre)";"~";"~";"~";"~";"~"
"390";"psychologie";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"391";"puberté";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a une puberté (*E+précoce)";"~";"~";"~";"~";"~"
"392";"public";"+";"+";"+";"-";"-";"-";"-";"-";"~";"(Max+Ce show) a un public";"~";"~";"~";"~";"~"
"393";"pucelage";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Luc a un pucelage";"~";"~";"~";"~";"~"
"394";"pulsion";"+";"+";"+";"-";"-";"-";"+";"-";"~";"Max a une pulsion";"~";"~";"~";"~";"~"
"395";"Q.I.";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un Q.I. suffisant";"~";"~";"~";"~";"~"
"396";"quarantaine";"-";"-";"+";"-";"+";"-";"-";"-";"~";"Max a une quarantaine alerte";"~";"~";"~";"~";"~"
"397";"ramage";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un sacré ramage";"~";"~";"~";"~";"~"
"398";"ramollissement";"-";"-";"+";"-";"-";"+";"+";"-";"~";"Max a un certain ramollissement";"~";"~";"~";"~";"~"
"399";"recul";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"max a du recul";"~";"~";"~";"~"
"400";"références";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des références";"~";"~";"~";"~";"~";"~"
"401";"réflexes";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des réflexes";"~";"~";"Max a le réflexe de (succion+bouger)";"~";"~";"~"
"402";"refuge";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un refuge";"~";"~";"~";"~";"~"
"403";"regard";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un regard vif";"~";"~";"~";"~";"~"
"404";"règle";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une règle";"~";"~";"~";"~";"~"
"405";"règne";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a un règne heureux";"~";"~";"~";"~";"~"
"406";"relève";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une relève assurée";"~";"~";"~";"~";"~"
"407";"religion";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une religion";"~";"~";"~";"~";"~"
"408";"reniflement";"+";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"409";"repaire";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a un repaire";"~";"~";"~";"~";"~"
"410";"répartie";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"Max a de la répartie";"~";"~";"~";"~"
"411";"repère";"+";"+";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"412";"répondant";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"Max a du répondant";"~";"~";"~";"~"
"413";"ressources";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des ressources";"~";"~";"~";"~";"~";"~"
"414";"retour";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un retour imparable";"~";"~";"~";"~";"~"
"415";"revenu";"+";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un revenu suffisant";"~";"~";"~";"~";"~"
"416";"revers";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un revers imparable";"~";"~";"~";"~";"~"
"417";"revers";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"418";"rictus";"+";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un rictus";"~";"~";"~";"~";"~"
"419";"rite";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un rite";"~";"~";"~";"~";"~"
"420";"rituel";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un rituel";"~";"~";"~";"~";"~"
"421";"rondeurs";"+";"-";"-";"-";"-";"-";"+";"-";"Léa a des rondeurs";"~";"~";"~";"~";"~";"~"
