"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: un";"Det =: un-Modif";"Det =: des";"Det =: du";"Det =: Poss0";"Det =: <E>";"<ENT>N";"N0 Vsup Det N";"Prép1 =: en";"Prép1 =: envers";"Prép1 =: contre";"Prép1 =: auprès de";"Prép1 =: entre";"Prép1 =: devant";"Prép1 =: Loc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Exemple Base1";"Exemple Autre1"
"37";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"prolongement";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"38";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"racines";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"39";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"ramification";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"40";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"rang";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"41";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"reconduction";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"42";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"recours";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"43";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"recul";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~"
"44";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"redevance";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"45";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"refuge";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~"
"46";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"rendement";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"~";"~"
"47";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"réserves";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~"
"48";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"ressentiment";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"49";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"séduction";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"~";"~"
"50";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"souche";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"51";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"source";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"52";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"spécialisation";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"

