"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: Qu Psubj";"N0 =: le fait de V-inf W";"N0 =: V-inf W";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Nnr";"N1 =: le fait Qu P";"N1 =: le fait de V-inf W";"Vsup =: avoir";"Vsup =: avoir eu";"N0 donner Det N";"Det =: un";"Det =: un-Modif";"Det =: des";"Det =: des-Modif";"(N0+N1) =: Npl obl";"Det =: le";"N0 Vsup le N de V0-inf W";"Det =: du";"N0 Vsup du N pour N1";"Det =: <E>";"<ENT>N";"N0 Vsup Det N";"Prép1 =: pour";"Prép1 =: contre";"Prép1 =: à";"Prép1 =: de";"Prép1 =: d'avec";"il y Vsup (E+Det) N entre N0 et N1";"il y Vsup Det N entre N1";"N0 faire Det N";"N0 être Prép Det N avec N1";"N0 et N1 être Prép Det N";"N0 être Vpp avec N1";"N0 et N1 être Vpp";"N0 être Adj avec N1";"N0 et N1 être Adj";"N0 V N1";"N0 V avec N1";"N0 V N1 (à+avec+et) N2";"N0 se V avec N1";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"93";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"contacts";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~"
"94";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"continuité";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"95";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"contradiction";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"96";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"controverse";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"97";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"convention";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"98";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"convergence";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"99";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"conversation";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"100";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"coopération";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"101";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"coordination";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"102";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"copropriété";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"103";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"copulation";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"104";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"corps à corps";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"105";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"corrélation";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"106";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"correspondance";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~"
"107";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"correspondance";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"108";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"coucherie";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"109";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"cousinage";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"110";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"débat";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"111";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"décalage";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~"
"112";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"décrochage";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"113";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"délibération";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"114";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"démêlés";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"115";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"départage";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"116";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"désaccord";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"117";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"désaffiliation";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"118";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"désassociation";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"119";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"désengagement";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"120";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"dialogue";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"121";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"dichotomie";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"122";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"différence";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"123";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"différend";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"124";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"discordance";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"125";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"discussion";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"126";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"disjonction";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"127";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"dispute";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"128";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"dissemblance";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"129";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"dissonance";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"130";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"dissymétrie";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"131";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"distance";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"132";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"distanciation";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"133";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"divergence";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"134";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"division";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"135";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"divorce";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"136";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"duel";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"137";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"écart";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"138";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"échange";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"139";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"échauffourée";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"140";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"éclaircissement";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"141";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"éclat";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"142";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"égalité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"143";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"éloignement";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"144";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"embrassades";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"145";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"embrouille";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
