"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: Qu Psubj";"N0 =: le fait de V-inf W";"N0 =: V-inf W";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Nnr";"N1 =: le fait Qu P";"N1 =: le fait de V-inf W";"Vsup =: avoir";"Vsup =: avoir eu";"N0 donner Det N";"Det =: un";"Det =: un-Modif";"Det =: des";"Det =: des-Modif";"(N0+N1) =: Npl obl";"Det =: le";"N0 Vsup le N de V0-inf W";"Det =: du";"N0 Vsup du N pour N1";"Det =: <E>";"<ENT>N";"N0 Vsup Det N";"Prép1 =: pour";"Prép1 =: contre";"Prép1 =: à";"Prép1 =: de";"Prép1 =: d'avec";"il y Vsup (E+Det) N entre N0 et N1";"il y Vsup Det N entre N1";"N0 faire Det N";"N0 être Prép Det N avec N1";"N0 et N1 être Prép Det N";"N0 être Vpp avec N1";"N0 et N1 être Vpp";"N0 être Adj avec N1";"N0 et N1 être Adj";"N0 V N1";"N0 V avec N1";"N0 V N1 (à+avec+et) N2";"N0 se V avec N1";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"146";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"enchaînement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"147";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"enfant";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"148";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"engagement";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"149";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"engueulade";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"Max a une engueulade avec Léa";"~";"~";"~"
"150";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"enlacement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"Max a un enlacement avec Ida";"~";"~";"~"
"151";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"entente";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"152";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"entretien";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Léa a un entretien avec Luc sur ce sujet";"~";"~";"~"
"153";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"entrevue";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une entrevue avec Léa";"~";"~";"~"
"154";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"équivalence";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"Cette solution a une certaine équivalence avec cette autre";"Ces deux solutions ont une équivalence";"~";"~"
"155";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"escarmouche";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a eu une escarmouche avec Jean";"~";"~";"~"
"156";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"explication";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a eu une explication avec Jean";"~";"~";"~"
"157";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"filiation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une filiation avec Luc";"~";"~";"~"
"158";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"fraternisation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~"
"159";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"fraternité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~"
"160";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"fréquentation";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"161";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"friction";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"162";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"froid";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"163";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"froissement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"164";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"frottement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"165";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"fusion";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"166";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"grief";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"167";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"guerre";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"168";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"harmonie";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"169";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"harmonisation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"170";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"heurt";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"171";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"histoire";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"172";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"identité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"173";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"idylle";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"174";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"inadéquation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"175";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"incompatibilité";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"176";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"inconséquence";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"177";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"incorporation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"178";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"inégalité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"179";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"interaction";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"180";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"interdépendance";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"181";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"interférence";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"182";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"intersection";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"183";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"intimité";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"184";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"intrication";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"185";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"intrigue";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"186";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"jasette";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"187";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"joint";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"188";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"jonction";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"189";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"joncture";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"190";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"joute";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"191";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"liaison";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"192";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"lien";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"193";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"lien";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"194";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"litige";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"195";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"lutte";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"196";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"magnétisme";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"197";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"maille à partir";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"198";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"malentendu";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"199";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"manigance";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"200";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"marchandage";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"201";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"mariage";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"202";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"match";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"203";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"meeting";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"204";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"mêlée";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"205";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"mésalliance";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"206";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"mésentente";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"207";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"mots";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"208";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"négociation";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"209";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"opposition";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"210";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"orgasme";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"211";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"ostination";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"212";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"palabre";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"213";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"parenté";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"214";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"parenté";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"215";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"parité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"216";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"partage";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"217";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"passade";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"218";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"polémique";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"219";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"prise de bec";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"220";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"querelle";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"221";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"quiproquo";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"222";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"raccommodement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"223";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"rancard";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"224";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"rapport";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"225";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"rapports";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"226";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"rapprochement";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"227";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"réciprocité";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"228";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"réconciliation";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~"
"229";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"refroidissement";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"230";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"règlement de comptes";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"231";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"relation";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~"
