"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: Nnr";"N0 faire Det N de N1 avec N2";"N0 faire le N de N1 avec N2";"N0 faire un N Modif de N1 avec N2";"N0 faire Det N de N1 et de N2";"N0 faire le N de N1 et de N2";"N0 faire un N Modif de Det1 N1 et de Det2 N2";"N0 faire un N Modif du N1 et de N2";"N0 faire un N Modif de N1 et de N2";"N0 faire Det N entre N1 et N2";"N0 faire le N entre N1 et N2";"N0 faire un N entre N1 et N2";"N0 faire Det N de N1 et N2 entre eux";"N0 faire le N de N1 à N2";"N0 faire un N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N2 =: Nhum";"N2 =: N-hum";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"38";"36s";"lier";"liaison";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"39";"36s";"lier";"lien";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"40";"36s";"marier";"mariage";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"41";"36s";"mélanger";"mélange";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"42";"36s";"mixer";"mixage";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"~";"~";"~"
"43";"36s";"multiplier";"multiplication";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"44";"36s";"opposer";"opposition";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"45";"36s";"permuter";"permutation";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~";"~"
"46";"36sl";"raccorder";"raccordement";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"47";"36s";"raccrocher";"raccrochement";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"48";"36sl";"rapprocher";"rapprochement";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"49";"36sl";"séparer";"séparation";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"50";"36sl";"souder";"soudure";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"~";"~";"~"
"51";"36s";"substituer";"substitution";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"52";"36s";"synchroniser";"synchronisation";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~"

