"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"90";"cause";"+";"-";"-";"+";"-";"-";"-";"Ce phénomène a une cause";"~";"~";"~";"~"
"91";"cavité";"+";"-";"-";"-";"+";"-";"+";"La roche a une cavité";"Il y a une cavité dans la roche";"~";"~";"~"
"92";"cédille";"+";"-";"-";"+";"+";"+";"-";"Cette consonne a une cédille";"Il y a une cédille à cette consonne";"~";"~";"~"
"93";"centaine";"+";"-";"-";"-";"+";"-";"-";"Ce nombre a 5 centaines";"~";"~";"~";"~"
"94";"centre";"+";"-";"-";"-";"+";"-";"-";"(Le cercle+Cette figure) a un centre";"~";"~";"~";"~"
"95";"cérémonial";"+";"-";"-";"-";"+";"-";"-";"(La passation des fourmis+Le cours de Z+le repas) (a+comporte) un cérémonial";"~";"~";"~";"~"
"96";"cerveau";"+";"-";"-";"-";"+";"-";"-";"Cette opération de commande a un cerveau";"~";"~";"~";"~"
"97";"césure";"+";"-";"-";"-";"+";"+";"-";"Le vers a une césure à son hémistiche";"Il y a une césure à l'hémistiche du sens";"~";"~";"~"
"98";"chapitre";"+";"-";"-";"-";"+";"-";"+";"Ce livre a trois chapitres";"~";"~";"~";"GN =: [un chapitre de chanson]"
"99";"charges";"+";"-";"+";"-";"+";"-";"-";"Cet appartement a des charges";"~";"~";"~";"~"
"100";"chef-lieu";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"101";"cheville";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"102";"cime";"+";"-";"-";"-";"-";"-";"-";"Cette montagne a une cime";"~";"~";"~";"~"
"103";"classe";"+";"+";"-";"-";"+";"-";"-";"La société a des classes";"Il y a plusieurs classes dans les chemins de jeu français";"~";"~";"GN =: [des classes (d'enterrement+de compétition)]"
"104";"clause";"+";"-";"-";"-";"+";"-";"-";"Ce contrat a plusieurs clauses";"Il y a plusieurs clauses à ce contrat";"~";"~";"~"
"105";"clausule";"+";"-";"-";"-";"+";"-";"-";"Cette strophe a une clausule";"~";"~";"~";"~"
"106";"clé";"+";"-";"-";"+";"+";"-";"-";"Ce roman a une clé";"~";"~";"~";"~"
"107";"cloque";"+";"-";"-";"-";"+";"-";"-";"Luc a (une cloque+des cloques) sur la main";"Il y a des cloques sur la main de Luc";"~";"~";"~"
"108";"code";"+";"-";"-";"-";"+";"+";"-";"La politesse a un code qui varie de pays à pays";"~";"~";"~";"~"
"109";"codicille";"+";"-";"-";"+";"-";"+";"-";"le testament a un codicille";"Il y a un codicille au testament";"~";"~";"~"
"110";"coin";"+";"-";"-";"-";"+";"-";"-";"La cour a quatre coins";"~";"~";"~";"~"
"111";"combinaison";"+";"-";"-";"+";"-";"+";"-";"Ce coffre-fort a une combinaison compliquée";"Il y a une combinaison à  ce coffre-fort";"~";"~";"~"
"112";"comparatif";"+";"-";"-";"-";"+";"-";"-";"Cette langue a un comparatif";"~";"~";"~";"~"
"113";"compartiment";"+";"-";"-";"-";"+";"-";"-";"Cette boîte a plusieurs compartiments";"~";"~";"~";"~"
"114";"compensations";"+";"-";"-";"-";"+";"-";"-";"Cette corvée (a+comporte) des compensations";"~";"~";"~";"~"
"115";"complément";"+";"-";"-";"-";"+";"-";"-";"Ce livre (a+comporte) un complément";"~";"~";"~";"~"
"116";"complément";"+";"-";"-";"+";"-";"-";"-";"Ce verbe (a+prend) un complément";"~";"~";"~";"~"
"117";"complétive";"+";"-";"-";"-";"+";"-";"-";"Cette construction a une complétive";"~";"~";"~";"~"
"118";"composant";"+";"-";"-";"-";"+";"-";"-";"~";"Il y a deux composants dans ce corps";"~";"~";"~"
"119";"composante";"+";"-";"-";"-";"+";"-";"-";"~";"Il y a deux composantes à ce comportement";"~";"~";"~"
"120";"condition";"+";"-";"-";"+";"+";"+";"-";"Cet accord (a+comporte) une condition";"Il y a une condition à ce que tout sont remis en ordre";"~";"~";"~"
"121";"conditionnel";"+";"-";"-";"-";"+";"-";"-";"Cette conjugaison a un conditionnel";"~";"~";"~";"~"
"122";"confins";"+";"-";"-";"-";"-";"-";"-";"Cette ville a des confins (*E+déserts)";"~";"~";"~";"~"
"123";"conjugaison";"+";"-";"-";"-";"+";"-";"-";"(Cette langue a une conjugaison+Ce verbe a une conjugaison défective)";"~";"~";"~";"~"
"124";"conséquence";"+";"-";"-";"+";"-";"-";"-";"Cet événement a des conséquences fâcheuses";"Il y a des conséquences malheureuses à cet événement";"~";"~";"~"
"125";"constante";"+";"-";"-";"-";"+";"-";"-";"La conduite de Max (a+présente) une constante";"~";"~";"~";"~"
"126";"constituant";"+";"-";"-";"-";"+";"-";"-";"~";"Il y a 100 constituants dans cet ensemble";"Cet ensemble a 100 constituants";"~";"~"
"127";"construction";"+";"-";"-";"-";"+";"-";"-";"Ce quartier a des constructions modernes";"~";"~";"~";"~"
"128";"contenu";"+";"-";"-";"-";"+";"-";"-";"Cette lettre a un contenu important";"~";"~";"~";"~"
"129";"contraire";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"130";"contreforts";"+";"-";"-";"+";"-";"-";"-";"Cette (terrasse+chaussure) a des contreforts";"Il y a des contreforts à cette (terrasse+chaussure)";"~";"~";"~"
"131";"contrepartie";"+";"-";"-";"+";"-";"-";"-";"Ce dommage a une contrepartie";"~";"~";"~";"~"
"132";"contrepoids";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"133";"contrepoison";"+";"-";"-";"+";"-";"-";"-";"L'amanite a un contrepoison";"~";"~";"~";"~"
"134";"corps";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"135";"corps";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"136";"corollaire";"+";"-";"-";"+";"-";"-";"-";"Cette théorie a un corollaire";"Il y a trois corollaires  à cette théorie";"~";"~";"~"
"137";"côté";"+";"-";"+";"+";"-";"-";"-";"~";"~";"Cette figure a deux côtés";"~";"~"
"138";"côté";"+";"-";"-";"-";"+";"-";"-";"Ce procès a un côté (*E+intéressant)";"~";"~";"~";"~"
"139";"côte";"+";"-";"+";"-";"+";"-";"-";"La route (a+comporte) une côte";"~";"~";"~";"~"
"140";"couche";"+";"+";"-";"-";"+";"-";"-";"(Le sol+La société) (a+comporte) plusieurs couches";"~";"~";"~";"~"
"141";"coulisses";"+";"-";"-";"-";"+";"-";"-";"La vie politique a des coulisses";"~";"~";"~";"~"
"142";"courant";"+";"-";"-";"-";"+";"-";"-";"La rivière a un courant violent";"Il y a (un courant violent+du courant) dans cette rivière";"~";"La rivière a du courant";"~"
"143";"courant";"-";"+";"-";"-";"+";"-";"-";"Ce parti a (un courant+des courants)";"~";"~";"~";"~"
"144";"courant";"+";"-";"+";"-";"+";"-";"-";"Ce lac a des courants";"Il y a des courants dans ce lac";"~";"~";"~"
"145";"courbe";"+";"-";"-";"+";"+";"-";"-";"La route (a+fait) une courbe";"~";"~";"~";"~"
"146";"cran";"+";"-";"-";"+";"-";"-";"+";"Max a mis des crans sur la pièce";"~";"~";"~";"~"
"147";"cratère";"+";"-";"+";"-";"+";"-";"+";"La bombe a fait un cratère dans le sol";"Il y a (un cratère dans le sol+ ces cratères sur le sol de la lune)";"~";"~";"~"
"148";"créneau";"+";"-";"-";"+";"-";"-";"-";"La tour a des créneaux";"Il y a des créneaux sur la tour";"~";"~";"~"
"149";"crénelure";"+";"-";"-";"+";"+";"+";"-";"Cette feuille a une crénelure admirable";"~";"~";"~";"~"
"150";"crescendo";"+";"-";"-";"-";"+";"-";"-";"Ce passage a un crescendo";"Il y a un crescendo dans ce passage";"~";"~";"~"
"151";"crête";"+";"-";"-";"-";"+";"-";"-";"La (montagne+vague) a une crête";"~";"~";"~";"~"
"152";"creux";"+";"-";"+";"-";"+";"-";"+";"(Le terrain+L'emploi du temps) a un creux";"Il y a un creux dans (la vente de cet article+le mur)";"~";"~";"~"
"153";"crevasse";"+";"-";"+";"-";"+";"-";"+";"Le sol a des crevasses";"Il y a des crevasses dans le sol";"~";"~";"~"
"154";"cultures";"+";"-";"-";"-";"+";"-";"+";"Ce pays a des cultures";"~";"~";"~";"~"
"155";"cursus";"+";"-";"+";"-";"+";"-";"-";"Cette filière a un cursus";"~";"~";"~";"~"
"156";"cycle";"+";"-";"+";"-";"+";"-";"-";"(L'année+La succession des maisons) a un cycle";"~";"~";"~";"~"
"157";"datif";"+";"-";"-";"-";"+";"-";"-";"Cette (langue+déclinaison) a un datif";"~";"~";"~";"~"
"158";"débouché";"+";"-";"-";"-";"+";"-";"-";"Ces études ont un débouché";"Il y a des débouchés aux études supérieurs";"~";"~";"~"
"159";"début";"+";"-";"-";"+";"-";"-";"-";"(Ce livre+Cette aventure) a un début bizarre";"~";"~";"~";"~"
"160";"décimale";"+";"-";"-";"-";"+";"-";"-";"Ce nombre a cinq décimales";"Il y a cinq décimales à ce nombre";"~";"~";"~"
"161";"déclinaison";"+";"-";"-";"-";"+";"-";"-";"(Cette langue a des déclinaisons+Ce mot a une déclinaison irrégulière)";"~";"~";"~";"~"
"162";"déclive";"+";"-";"+";"-";"+";"-";"-";"La route a une certaine déclive";"~";"~";"~";"~"
"163";"décolleté";"+";"-";"-";"+";"-";"-";"+";"Cette robe a un décolleté";"~";"~";"~";"~"
"164";"décor";"+";"-";"-";"-";"+";"-";"-";"Ce roman a un décor urbain";"~";"~";"~";"~"
"165";"décorum";"+";"-";"-";"-";"+";"-";"-";"Cette cérémonie a un certain décorum";"Il y a un certain décorum dans cette cérémonie";"~";"~";"~"
"166";"décote";"+";"-";"+";"-";"+";"-";"-";"Cet impôt (a+comporte) une décote";"~";"~";"~";"~"
"167";"decrescendo";"+";"-";"-";"-";"+";"-";"-";"Cette mesure a un decrescendo";"Il y a un descrescendo dans cette mesure";"~";"~";"~"
"168";"décrochement";"+";"-";"+";"-";"+";"-";"-";"Le mur (a+fait) un décrochement";"Il y a un décrochement entre ces deux terrains";"~";"~";"~"
"169";"dedans";"+";"-";"-";"+";"-";"-";"-";"Cet objet a un dedans";"~";"~";"~";"~"
"170";"défaut";"+";"-";"-";"+";"+";"-";"-";"(Max+La veste) a un défaut";"Il y a un défaut (chez Max+à la veste)";"~";"~";"GN =: [un défaut de mentir]"
"171";"défense";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"172";"déformation";"+";"-";"-";"-";"+";"-";"-";"(Ce métal+Cette pièce en métal) a une déformation";"~";"~";"~";"~"
"173";"dehors";"+";"-";"-";"+";"-";"-";"-";"Cette boîte a un dehors";"~";"~";"~";"~"
"174";"démographie";"+";"-";"-";"-";"+";"-";"-";"La France a une démographie en baisse";"~";"~";"~";"~"
"175";"dénivelé";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"176";"dénominateur";"+";"-";"-";"-";"+";"-";"-";"Cette fraction a un dénominateur";"~";"~";"~";"~"
"177";"dénouement";"+";"-";"-";"+";"+";"-";"+";"Cette affaire a un dénouement inattendu";"~";"~";"~";"~"
"178";"dents";"+";"-";"-";"+";"-";"-";"-";"Cette roue a des dents ";"~";"~";"~";"~"
"179";"dépression";"+";"-";"-";"-";"+";"-";"-";"Ce terrain (a+présente) une dépression";"Il y a une dépression dans ce terrain";"~";"~";"~"
"180";"dérivation";"+";"-";"-";"+";"-";"+";"-";"Ce fleuve a une dérivation";"~";"La fusée a une dérivation de deux degrés";"~";"~"
"181";"descente";"+";"-";"+";"-";"+";"-";"-";"La route a (une descente+des descentes) à cet endroit là";"~";"~";"~";"~"
"182";"désinence";"+";"-";"-";"-";"+";"-";"-";"Ce verbe a des désinences régulières";"Il y a des désinences régulières (à ce verbe+dans cette conjugaison)";"~";"~";"~"
"183";"désordres";"+";"-";"-";"-";"+";"-";"+";"~";"Il y a des désordres dans la rue";"~";"~";"~"
"184";"dessous";"+";"-";"-";"+";"-";"-";"-";"Cette assiette a un dessous peint";"~";"~";"~";"~"
"185";"dessous";"+";"-";"-";"-";"+";"-";"-";"Cette affaire a des dessous louches";"~";"~";"~";"~"
"186";"dessus";"+";"-";"-";"+";"-";"-";"-";"Cette assiette a un dessus décoré";"~";"~";"~";"~"
"187";"détail";"+";"-";"-";"-";"+";"-";"-";"ce tableau a un détail bizarre";"~";"~";"~";"~"
"188";"déterminant";"+";"-";"-";"-";"+";"-";"-";"Le nom a un déterminant";"~";"~";"~";"~"
"189";"devant";"+";"-";"-";"+";"-";"-";"-";"Cette robe a un devant ouvragé";"Il y a un devant à cette robe";"~";"~";"~"
"190";"dévers";"+";"-";"-";"+";"+";"-";"-";"~";"~";"La route a un dévers de 30 degrés";"~";"~"
"191";"diagonale";"+";"-";"-";"-";"+";"-";"-";"Ce quadrilatère a deux diagonales";"~";"~";"~";"~"
"192";"diaprure";"+";"-";"-";"-";"+";"+";"-";"Cette étoffe a (*une diaprure+des diaprures)";"~";"~";"~";"~"
"193";"dièse";"+";"-";"-";"-";"+";"+";"-";"Cette note a un dièse";"~";"~";"~";"~"
"194";"dimension";"+";"-";"-";"+";"+";"-";"-";"Cette affaire (a+prend) (une dimension démesurée+des dimensions démesurées)";"~";"~";"~";"~"
"195";"disharmonie";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"196";"dispositif";"+";"-";"-";"-";"+";"+";"-";"Ce prêt a un dispositif complexe";"~";"~";"~";"~"
"197";"dissonance";"+";"-";"-";"-";"+";"-";"-";"Ce passage (a+comporte) une dissonance";"~";"~";"~";"~"
"198";"distorsion";"+";"-";"+";"-";"+";"-";"+";"Les sons ont une distorsion";"~";"~";"~";"~"
"199";"diviseur";"+";"-";"-";"-";"+";"-";"-";"Ce nombre a un diviseur";"~";"~";"~";"~"
"200";"division";"+";"-";"+";"-";"+";"-";"-";"L'armée a plusieurs divisions";"Il y a plusieurs divisions dans l'armée";"~";"~";"~"
"201";"division";"+";"-";"-";"-";"+";"+";"-";"(Cette classe+La boîte+Le texte) a plusieurs divisions";"Il y a plusieurs divisions dans (cette classe+la boîte+le texte)";"~";"~";"~"
"202";"dizaine";"+";"-";"-";"-";"+";"-";"-";"Ce nombre a (une dizaine+plusieurs dizaines)";"~";"~";"~";"~"
"203";"doctrine";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"204";"dogme";"+";"-";"-";"-";"+";"-";"-";"Cette religion (a+comporte) un dogme";"~";"~";"~";"~"
"205";"domaine";"+";"-";"-";"-";"+";"-";"-";"Cette discipline a plusieurs domaines";"Il y a plusieurs domaines dans cette discipline";"~";"~";"~"
"206";"dominante";"+";"-";"-";"-";"+";"-";"-";"Cet accord a une dominante";"Il y a une dominante dans cet accord";"~";"~";"~"
"207";"donnée";"+";"-";"-";"-";"+";"-";"-";"(Ce problème+La situation) a des données précises";"~";"~";"~";"~"
"208";"dos";"+";"-";"-";"+";"-";"-";"-";"(Cet objet+Ce livre) a un dos";"~";"~";"~";"~"
"209";"drapé";"+";"-";"-";"+";"-";"-";"+";"La robe a un drapé élégant";"~";"~";"~";"~"
"210";"droite";"+";"-";"-";"-";"+";"-";"-";"Cet objet a une droite et une gauche";"~";"~";"~";"~"
"211";"droite";"-";"+";"-";"-";"+";"-";"-";"Ce parti a une droite";"~";"~";"~";"~"
"212";"duel";"+";"-";"-";"-";"+";"-";"-";"Cette déclinaison a un duel";"~";"~";"~";"Le duel est un nombre grammatical"
"213";"dynamique";"+";"-";"-";"-";"+";"-";"-";"Ce mouvement a une  dynamique";"~";"~";"~";"~"
"214";"dysfonction";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"215";"dysfonctionnement";"+";"-";"-";"-";"+";"-";"-";"Cette glande a un certain dysfonctionnement";"~";"~";"~";"~"
"216";"ébréchure";"+";"-";"-";"+";"+";"-";"+";"~";"~";"~";"~";"~"
"217";"échappée";"+";"-";"-";"-";"+";"-";"-";"Le paysage a une échappée";"Il y a une échappée sur la mer entre les collines";"~";"~";"~"
"218";"échappement";"+";"-";"-";"+";"+";"-";"-";"Cet appareil a un échappement";"~";"~";"~";"~"
"219";"échéance";"+";"-";"+";"+";"+";"-";"-";"~";"~";"Cette dette a une  échéance de 2 mois";"~";"~"
"220";"échelon";"+";"-";"-";"-";"+";"-";"-";"Cette (carrière+organisation+armée) (a+comporte) des échelons";"~";"~";"~";"~"
"221";"éclairage";"+";"-";"-";"-";"+";"+";"-";"Cette pièce a un bon éclairage";"~";"~";"~";"~"
"222";"éclairement";"+";"-";"-";"-";"+";"-";"-";"Cette surface a un éclairement de tant de lux";"~";"~";"~";"~"
"223";"économie";"+";"-";"-";"-";"+";"-";"-";"Ce pays a une économie florissante";"~";"~";"~";"~"
"224";"écornure";"+";"-";"-";"+";"+";"-";"+";"La statue a une écornure";"~";"~";"~";"~"
"225";"écosystème";"+";"-";"-";"-";"+";"-";"-";"Cette région a un écosystème fragile";"~";"~";"~";"~"
"226";"écoulement";"+";"-";"-";"-";"+";"+";"-";"Le lavabo a un écoulement";"~";"~";"~";"~"
"227";"écriture";"+";"-";"-";"-";"+";"-";"-";"Ce peuple a une écriture";"~";"~";"~";"~"
"228";"écueil";"+";"-";"-";"+";"+";"-";"-";"Cette méthode présente des écueils";"~";"~";"~";"~"
"229";"effilochure";"+";"-";"-";"+";"-";"-";"+";"Ce tapis a des effilochures";"~";"~";"~";"~"
"230";"effondrement";"+";"-";"+";"-";"+";"-";"-";"Le sol a un effondrement ";"~";"~";"~";"~"
"231";"élargissement";"+";"-";"+";"-";"+";"-";"-";"La chaussée a un élargissement";"~";"~";"~";"~"
"232";"électricité";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"Ce tissu a de l'électricité";"~"
"233";"élément";"+";"-";"-";"-";"+";"-";"-";"(Cet objet+Cette théorie) (a+comporte) plusieurs éléments";"Il y a plusieurs éléments dans cet objet";"~";"~";"~"
"234";"éliminatoires";"+";"-";"-";"-";"+";"+";"-";"Cet examen (a+comporte) des éliminatoires";"~";"~";"~";"~"
"235";"élision";"+";"-";"-";"-";"+";"-";"-";"Ce mot a une élision";"~";"~";"~";"~"
"236";"élite";"-";"+";"-";"-";"+";"-";"-";"Ce pays a une élite";"Il y a une élite dans ce pays";"~";"~";"~"
"237";"ellipse";"+";"-";"-";"-";"+";"-";"-";"Cette phrase comporte une ellipse";"~";"~";"~";"~"
"238";"embouchure";"+";"-";"+";"+";"-";"-";"-";"Ce fleuve a une embouchure";"~";"~";"~";"~"
"239";"embrasure";"+";"-";"-";"+";"-";"-";"-";"La fenêtre a une embrasure";"~";"~";"~";"~"
"240";"embûche";"+";"-";"-";"-";"+";"-";"-";"Ce (travail+texte+chemin) (a+présente) des embûches";"Il y a des embûches dans ce (travail+texte+chemin)";"~";"~";"~"
"241";"éminence";"+";"-";"+";"-";"+";"-";"-";"Ce terrain a des éminences à cet endroit";"~";"~";"~";"~"
"242";"encart";"-";"-";"-";"-";"+";"-";"-";"Ce livre a un encart";"~";"~";"~";"~"
"243";"enceinte";"+";"-";"+";"-";"+";"-";"-";"La ville a une enceinte crénelée";"~";"~";"~";"~"
"244";"endroit";"+";"-";"-";"+";"-";"-";"-";"Ce tissu a un endroit";"~";"~";"~";"~"
"245";"énergie";"+";"-";"+";"-";"+";"-";"-";"Cette région a une énergie";"~";"~";"~";"~"
"246";"enfer";"+";"-";"-";"-";"+";"+";"-";"Cette bibliothèque comporte un enfer";"~";"~";"~";"~"
"247";"enfoncement";"+";"-";"+";"-";"+";"-";"-";"~";"~";"La façade a un enfoncement de 5 cm";"~";"~"
"248";"enfourchure";"+";"-";"-";"+";"-";"-";"-";"L'arbre a une enfourchure";"~";"~";"~";"~"
"249";"engrenage";"+";"-";"-";"-";"+";"+";"-";"Cet appareil a un engrenage";"~";"~";"~";"~"
"250";"enjeu";"+";"-";"+";"-";"+";"-";"-";"(Cette guerre a un enjeu+Cette partie a un enjeu (E+pour Léa+de tout))";"Il y a un enjeu dans cette guerre";"~";"~";"~"
"251";"en-tête ";"+";"-";"-";"+";"-";"+";"+";"Ce texte a un en-tête";"Il y a un en-tête à ce texte";"~";"~";"~"
"252";"entrée";"+";"-";"-";"+";"+";"-";"-";"Ce mot a une entrée dans le dictionnaire";"~";"~";"~";"~"
"253";"entrée";"+";"-";"-";"-";"+";"+";"-";"Cette maison a deux entrées";"~";"~";"~";"~"
"254";"entrefilet";"+";"-";"+";"-";"+";"+";"-";"Cette page (a+comporte) un entrefilet";"Il y a un entrefilet dans cette page";"~";"~";"~"
"255";"entropie";"+";"-";"-";"-";"+";"-";"-";"Ce système a une entropie";"~";"~";"~";"~"
"256";"envers";"+";"-";"-";"+";"-";"-";"-";"(Cet objet+Cette question) a un envers";"~";"~";"~";"~"
"257";"épicentre";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"258";"épigraphe";"+";"-";"-";"-";"+";"+";"-";"Ce (mouvement+livre) a une épigraphe";"Il y a une épigraphe sur ce (mouvement+livre)";"~";"~";"~"
"259";"épilogue";"+";"-";"-";"+";"-";"-";"-";"Cette histoire a un épilogue";"Il y a un épilogue à cette histoire";"~";"~";"~"
"260";"épisode";"+";"-";"-";"-";"+";"-";"-";"Cette histoire a plusieurs épisodes";"Il y a plusieurs épisodes dans cette histoire";"~";"~";"~"
"261";"équipage";"+";"-";"+";"+";"-";"-";"-";"Cet avion a un équipage";"~";"~";"~";"Les personnes forment l'équipage de l'avion"
"262";"équivoque";"+";"-";"-";"-";"+";"-";"-";"Ce texte (a+comporte) une équivoque";"Il y a une équivoque dans ce texte";"~";"~";"~"
"263";"errata";"+";"-";"-";"-";"+";"+";"-";"Ce livre comporte un errata";"~";"~";"~";"~"
"264";"erreur";"+";"-";"+";"-";"+";"-";"+";"Ce texte a une erreur";"Il y a une erreur (E+de calcul) (E+dans les calculs)";"~";"~";"~"
"265";"escarpement";"+";"-";"+";"-";"-";"-";"-";"Le talus a un escarpement";"Il y a un escarpement à ce talus";"Le talus a un escarpement de 20 unités";"~";"~"
"266";"espace";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"Cette maison a de l'espace";"~"
"267";"espèce";"+";"-";"-";"-";"+";"-";"-";"Le monde animal (a+comporte) plusieurs espèces";"Il y a plusieurs espèces dans le monde animal";"~";"~";"GN =: [Cette espèce de gens]"
"268";"esprit";"+";"-";"-";"-";"+";"-";"-";"(Ce journal+Cette époque) a un certain esprit";"Il y a un certain esprit dans ce journal";"~";"~";"~"
"269";"essence";"+";"-";"-";"-";"+";"+";"-";"La forêt comporte plusieurs essences";"~";"~";"~";"GN =: [une essence étrange]"
"270";"est";"+";"-";"-";"-";"+";"-";"-";"Cette région a un est";"~";"~";"~";"GN =: [L'est de cette région]"
"271";"estuaire";"+";"-";"+";"-";"+";"-";"-";"Ce fleuve a un estuaire";"~";"~";"~";"~"
"272";"étage";"+";"-";"-";"-";"+";"-";"+";"Cet immeuble a plusieurs étages";"Il y a plusieurs étages à cet immeuble";"~";"~";"GN =: [un étage de collines]"
"273";"étape";"+";"-";"+";"-";"+";"-";"-";"Cette course (a+compote) trois étapes";"Il y a trois étapes dans cette course";"~";"~";"~"
"274";"état";"+";"-";"-";"-";"+";"-";"-";"Ce pays a un Etat";"~";"~";"~";"~"
"275";"état-major";"+";"+";"+";"-";"+";"-";"-";"L'armée a un état-major";"~";"~";"~";"~"
"276";"étiquette";"+";"-";"-";"-";"+";"-";"-";"(La cour+Cette cérémonie) a une étiquette";"Il y a une étiquette (à la cour+dans cette cérémonie)";"~";"~";"~"
"277";"étoffe";"+";"-";"-";"-";"+";"-";"-";"Ce roman a une certaine étoffe";"Il y a de l'étoffe dans ce roman";"~";"~";"~"
"278";"étranglement";"+";"-";"+";"-";"+";"-";"-";"La route a un étranglement";"Il y a un étranglement (sur ce parcours+de la route)";"~";"~";"~"
"279";"eurythmie";"+";"-";"-";"-";"+";"-";"-";"Ce tableau (a+présente) une belle eurythmie";"Il y a une belle eurythmie dans ce tableau";"~";"~";"~"
"280";"évacuation";"+";"-";"-";"-";"+";"+";"-";"~";"Il y a une bonne évacuation dans cette salle de bain";"~";"~";"~"
"281";"excavation";"+";"-";"+";"-";"+";"-";"+";"Le sol a une excavation";"Il y a une excavation dans le sol";"~";"~";"~"
"282";"exception";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"283";"excroissance";"+";"+";"+";"-";"+";"-";"-";"Le tronc de cet arbre a une excroissance";"Il y a une excroissance sur le tronc de l'arbre";"~";"~";"~"
"284";"exergue";"+";"-";"-";"-";"+";"+";"-";"Ce texte a un exergue";"~";"~";"~";"~"
"285";"exposant";"+";"-";"-";"+";"-";"+";"-";"(Cette équation+Ce nombre) a un exposant";"Il y a un exposant dans (cette équation+ce nombre)";"~";"~";"~"
"286";"exposition";"+";"-";"-";"-";"+";"-";"+";"Cette pièce de théâtre a une exposition";"~";"~";"~";"~"
"287";"extérieur";"+";"-";"-";"+";"-";"-";"-";"Cette boîte a un extérieur (et un intérieur)";"~";"~";"~";"~"
"288";"extérieurs";"+";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~"
"289";"externat";"+";"-";"-";"-";"+";"-";"+";"Cet établissement a un externat";"Il y a un externat dans cet établissement";"~";"~";"~"
"290";"extrémité";"+";"-";"-";"+";"-";"-";"-";"Ce bâton a une extrémité arrondie";"~";"~";"~";"~"
"291";"face";"+";"-";"-";"-";"+";"-";"-";"Ce cube a 6 faces";"~";"~";"~";"~"
"292";"facette";"+";"-";"-";"-";"+";"-";"-";"Ce diamant a des facettes";"~";"~";"~";"~"
"293";"facilités";"+";"-";"-";"-";"+";"-";"-";"Ce métier comporte des facilités";"~";"~";"~";"~"
"294";"facteur";"+";"-";"-";"-";"+";"-";"-";"La situation (économique+épidémiologie) (a+comporte) plusieurs facteurs";"Il y a plusieurs facteurs dans la situation (économique+épidémiologie)";"~";"~";"~"
"295";"faille";"+";"-";"+";"-";"+";"-";"-";"Ce terrain a une faille";"Il y a une faille dans ce terrain";"Ce terrain a une faille de 500 mètres";"~";"~"
"296";"faille";"+";"-";"-";"-";"+";"-";"-";"Ce raisonnement a une faille";"~";"~";"~";"~"
"297";"faîte";"+";"-";"-";"+";"-";"-";"-";"Le toit a un faîte";"~";"~";"~";"~"
"298";"faune";"+";"-";"-";"-";"+";"-";"-";"Ce pays a une faune";"Il y a une faune dans ce pays";"~";"~";"~"
"299";"faute";"+";"-";"-";"-";"+";"-";"+";"Ce texte a des fautes";"Il y a des fautes dans ce texte";"~";"~";"~"
"300";"féminin";"+";"-";"-";"+";"+";"-";"-";"(Ce mot+Cette langue) a un féminin";"~";"~";"~";"~"
"301";"fermeture";"+";"-";"-";"+";"+";"+";"-";"Ce coffre a une fermeture hermétique";"~";"~";"~";"La construction a fait une fermeture hermétique au coffre"
"302";"ficelles";"+";"-";"-";"-";"+";"-";"-";"Ce métier a des ficelles";"~";"~";"~";"~"
"303";"figurant";"+";"-";"-";"-";"+";"-";"-";"Ce film a des figurants";"~";"~";"~";"~"
"304";"fil";"+";"-";"-";"-";"+";"-";"-";"Cette histoire a un fil";"~";"~";"~";"~"
"305";"filiale";"+";"-";"-";"-";"+";"-";"-";"Cette société a une filiale";"~";"~";"~";"~"
"306";"filière";"+";"-";"-";"-";"+";"-";"-";"(Ce trafic+Cette formation) (a+comporte) une filière";"~";"~";"~";"Max suit la filière de cette formation"
"307";"fin";"+";"-";"-";"+";"-";"-";"-";"Le spectacle a une fin";"~";"~";"~";"~"
