"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"531";"saillie";"+";"-";"+";"-";"+";"-";"-";"Le mur a une saillie";"~";"~";"~";"~"
"532";"saison";"+";"-";"+";"-";"+";"-";"-";"le climat comporte des saisons";"~";"~";"~";"~"
"533";"secteur";"+";"-";"-";"-";"+";"-";"-";"Cette zone a plusieurs secteurs";"~";"~";"~";"~"
"534";"sémantique";"+";"-";"-";"-";"+";"-";"-";"Cette langue a une sémantique";"~";"~";"~";"~"
"535";"sens";"+";"-";"-";"+";"+";"-";"-";"Cette histoire a un sens";"~";"~";"~";"~"
"536";"senteur";"+";"-";"-";"-";"+";"+";"-";"Ce parfum comporte une senteur";"~";"~";"~";"~"
"537";"servitude";"+";"-";"-";"-";"+";"+";"-";"Ce métier comporte une servitude";"~";"~";"~";"~"
"538";"seuil";"+";"-";"-";"+";"+";"-";"-";"La douleur a un seuil";"~";"~";"~";"~"
"539";"seuil";"+";"-";"+";"+";"-";"+";"-";"L'impôt a un seuil";"~";"L'impôt a un seuil (de+à) 770 000 euros";"~";"~"
"540";"singulier";"+";"-";"-";"-";"+";"-";"-";"(Cette (langue+catégorie)+Ce nom) a un singulier";"~";"~";"~";"~"
"541";"soma";"+";"-";"-";"-";"+";"-";"-";"L'été humain a un soma";"~";"~";"~";"~"
"542";"sommaire";"+";"-";"-";"-";"+";"-";"-";"Ce livre a un sommaire";"~";"~";"~";"~"
"543";"sommet";"+";"-";"+";"-";"-";"-";"-";"La crise (a+connaît) un sommet";"~";"~";"~";"~"
"544";"sommet";"+";"-";"-";"+";"+";"-";"-";"La montagne a un sommet";"~";"~";"~";"~"
"545";"sortie";"+";"-";"-";"-";"+";"-";"-";"Cette maison a une sortie";"~";"~";"~";"~"
"546";"soupape";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"547";"source";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~"
"548";"strate";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"549";"subjonctif";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"550";"substitut";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
