"<ID>";"N0 =: le fait Qu P";"N0 =: la manière de V-inf W";"N0 =: V-n";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"N0 avoir Det N (avec+envers) N1";"N0 être de Det N (avec+envers) N1";"N0 être Adj (avec+envers) N1";"Det =: du";"Qu P être de Det N de la part de N0";"N0 être de Det N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"32";"-";"+";"+";"-";"bégueule";"bégueulerie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"33";"+";"+";"+";"-";"bestial";"bestialité";"-";"-";"-";"-";"+";"+";"(Max+Ce comportement) a une grande bestialité";"(Max+Ce comportement) est d'une grande bestialité";"~";"~";"~";"~"
"34";"+";"+";"+";"-";"bienveillant";"bienveillance";"+";"+";"+";"+";"+";"+";"Max a une certaine bienveillance (pour+envers+à l'égard) Luc";"Max est d'une certaine bienveillance (pour+envers+à l'égard de) Luc";"~";"~";"~";"~"
"35";"+";"+";"+";"+";"bizarre";"bizarrerie";"-";"-";"-";"+";"+";"+";"(Luc+Ce truc) a une bizarrerie";"(Luc+Ce truc) est d'une bizarrerie";"~";"~";"~";"~"
"36";"-";"+";"+";"-";"bonhomme";"bonhommie";"+";"+";"+";"+";"+";"+";"(Luc+Cette manière de faire) a une certaine bonhommie";"(Luc+Cette manière de faire) est d'une certaine bonhommie";"~";"~";"~";"~"
"37";"+";"+";"+";"+";"bouffon";"bouffonnerie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"38";"+";"+";"+";"-";"brave";"bravoure";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"39";"+";"+";"+";"-";"brusque";"brusquerie";"+";"+";"+";"+";"+";"+";"Ceci a une brusquerie certaine";"Max est d'une brusquerie certaine";"~";"~";"~";"~"
"40";"+";"+";"+";"-";"brutal";"brutalité";"+";"+";"+";"-";"+";"+";"Max a une (E+grande) brutalité";"Max est d'une (E+grande) brutalité";"~";"~";"~";"~"
"41";"+";"+";"+";"+";"burlesque";"burlesque";"-";"-";"-";"-";"+";"+";"(Luc+Ceci) a un burlesque accompli";"(Luc+Ceci) est d'un burlesque accompli";"~";"~";"~";"~"
"42";"+";"+";"+";"-";"candide";"candeur";"-";"-";"-";"+";"+";"+";"(Max+Ceci) a une certaine candeur";"(Max+Ceci) est d'une certain candeur";"~";"~";"~";"~"
"43";"-";"+";"+";"-";"caustique";"causticité";"+";"+";"+";"+";"+";"+";"(Luc+Les paroles de Luc) ont une certaine causticité";"~";"~";"~";"~";"~"
"44";"-";"+";"+";"-";"cauteleux";"cautèle";"+";"+";"+";"-";"+";"+";"Max a une cautèle insupportable";"~";"~";"~";"~";"~"
"45";"-";"+";"+";"+";"chaleureux";"chaleur";"+";"+";"+";"+";"-";"-";"Son accueil a de la chaleur";"~";"Son accueil est chaleureux";"~";"~";"~"
"46";"-";"+";"+";"-";"chaste";"chasteté";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
