"<ID>";"N0 =: le fait Qu P";"N0 =: la manière de V-inf W";"N0 =: V-n";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"N0 avoir Det N (avec+envers) N1";"N0 être de Det N (avec+envers) N1";"N0 être Adj (avec+envers) N1";"Det =: du";"Qu P être de Det N de la part de N0";"N0 être de Det N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"167";"+";"+";"+";"+";"immuable";"immuabilité";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"168";"-";"+";"+";"-";"impartial";"impartialité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"169";"-";"+";"+";"-";"impassible";"impassibilité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"170";"-";"+";"+";"-";"impatient";"impatience";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"171";"-";"+";"+";"+";"imparfait";"imperfection";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"172";"+";"+";"+";"-";"impertinent";"impertinence";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"173";"-";"+";"+";"-";"impétueux";"impétuosité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"174";"-";"+";"+";"+";"impie";"impiété";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"175";"-";"+";"+";"-";"implacable";"implacabilité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"176";"+";"+";"+";"-";"impoli";"impolitesse";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"177";"+";"+";"+";"+";"imprécis";"imprécision";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"178";"+";"+";"+";"+";"improductif";"improductivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"179";"-";"+";"+";"-";"impudent";"impudence";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"180";"-";"+";"+";"-";"impur";"impureté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"181";"+";"+";"+";"-";"incivil";"incivilité";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"182";"+";"+";"+";"-";"incivique";"incivisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"183";"+";"+";"+";"+";"incohérent";"incohérence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"184";"+";"+";"+";"+";"incongru";"incongruité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"185";"-";"+";"+";"-";"inconsistant";"inconsistance";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"186";"-";"+";"+";"-";"inconstant";"inconstance";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"187";"+";"+";"+";"-";"inconvenant";"inconvenance";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"188";"+";"+";"+";"+";"indécent";"indécence";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"189";"+";"+";"+";"-";"indélicat";"indélicatesse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"190";"-";"+";"+";"-";"indépendant";"indépendance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"191";"+";"+";"+";"-";"indiscret";"indiscrétion";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"192";"-";"+";"+";"-";"indolent";"indolence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"193";"+";"+";"+";"-";"indulgent";"indulgence";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"194";"+";"+";"+";"+";"inepte";"ineptie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"195";"+";"+";"+";"-";"inéquitable";"inéquité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"196";"-";"+";"+";"-";"inexorable";"inexorabilité";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"197";"-";"+";"+";"-";"infâme";"infamie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"198";"+";"+";"+";"-";"infantile";"infantilisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"199";"-";"+";"+";"-";"inflexible";"inflexibilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"200";"+";"+";"+";"+";"ingénieux";"ingéniosité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"201";"+";"+";"+";"+";"ingénu";"ingénuité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"202";"+";"+";"+";"-";"inique";"iniquité";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"203";"-";"+";"+";"-";"innocent";"innocence";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"204";"+";"+";"+";"-";"insignifiant";"insignifiance";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"205";"+";"+";"+";"-";"insolent";"insolence";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"206";"-";"+";"+";"-";"insouciant";"insouciance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"207";"-";"+";"+";"-";"intellectuel";"intellectualisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"208";"-";"+";"+";"-";"intelligent";"intelligence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"209";"-";"+";"+";"-";"intempérant";"intempérance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"210";"+";"+";"+";"-";"intrépide";"intrépidité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"211";"-";"+";"+";"-";"ironique";"ironie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"212";"+";"+";"+";"-";"irrationnel";"irrationalité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"213";"+";"+";"+";"-";"irréaliste";"irréalisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"214";"+";"+";"+";"-";"irrespectueux";"irrespect";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"215";"+";"+";"+";"-";"irrévérencieux";"irrévérence";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"216";"+";"+";"+";"-";"jésuite";"jésuitisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"217";"+";"+";"+";"-";"j'm'en-fichiste";"j'm'en-fichisme";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"218";"-";"+";"+";"-";"jobard";"jobardise";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"219";"+";"+";"+";"-";"jovial";"jovialité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"220";"-";"+";"+";"-";"juvénile";"juvénilité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"221";"-";"+";"+";"-";"lâche";"lâcheté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"222";"-";"+";"+";"-";"laconique";"laconisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"223";"-";"+";"+";"-";"ladre";"ladrerie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"224";"-";"+";"+";"+";"lascif";"lascivité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"225";"-";"+";"+";"-";"laxiste";"laxisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"226";"-";"+";"+";"-";"libéral";"libéralisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"227";"+";"+";"+";"+";"logique";"logique";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"228";"+";"+";"+";"+";"loufoque";"loufoquerie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"229";"+";"+";"+";"-";"loyal";"loyauté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"230";"-";"+";"+";"-";"lubrique";"lubricité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"231";"-";"+";"+";"-";"lucide";"lucidité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"232";"-";"+";"+";"-";"lymphatique";"lymphatisme";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"233";"+";"+";"+";"-";"machiavélique";"machiavélisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"234";"-";"+";"+";"-";"magnanime";"magnanimité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"235";"+";"+";"+";"+";"magnifique";"magnificence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"236";"+";"+";"+";"+";"maladroit";"maladresse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"237";"-";"+";"+";"-";"malhonnête";"malhonnêteté";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"238";"-";"+";"+";"-";"malicieux";"malice";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"239";"+";"+";"+";"-";"malin";"malignité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"240";"-";"+";"+";"-";"malveillant";"malveillance";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"241";"+";"+";"+";"-";"marginal";"marginalité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"242";"-";"+";"+";"-";"masochiste";"masochisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"243";"-";"+";"+";"-";"matois";"matoiserie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"244";"-";"+";"+";"-";"méchant";"méchanceté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"245";"+";"+";"+";"+";"médiocre";"médiocrité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"246";"-";"+";"+";"-";"mercantile";"mercantilisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"247";"+";"+";"+";"+";"mesquin";"mesquinerie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"248";"+";"+";"+";"+";"mesuré";"mesure";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"249";"-";"+";"+";"+";"méticuleux";"méticulosité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"250";"-";"+";"+";"+";"mièvre";"mièvrerie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"251";"-";"+";"+";"+";"minutieux";"minutie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"252";"+";"+";"+";"+";"moche";"mocheté";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"253";"-";"+";"+";"-";"modéré";"modération";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"254";"+";"+";"+";"+";"monstrueux";"monstruosité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"255";"-";"+";"+";"-";"moral";"moralité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"256";"-";"+";"+";"-";"morbide";"morbidité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"257";"+";"+";"+";"-";"mufle";"muflerie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"258";"-";"+";"+";"-";"munificent";"munificence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"259";"-";"+";"+";"-";"mystique";"mysticisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"260";"-";"+";"+";"-";"naïf";"naïveté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"261";"-";"+";"+";"-";"nerveux";"nervosité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"262";"-";"+";"+";"-";"neutre";"neutralité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"263";"+";"+";"+";"-";"niais";"niaiserie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"264";"+";"+";"+";"-";"nigaud";"nigauderie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"265";"+";"+";"+";"+";"noble";"noblesse";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"266";"-";"+";"+";"-";"nonchalant";"nonchalance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"267";"-";"+";"+";"-";"nul";"nullité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"268";"-";"+";"+";"-";"objectif";"objectivité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"269";"-";"+";"+";"-";"obligeant";"obligeance";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"270";"+";"+";"+";"+";"obscène";"obscénité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"271";"-";"+";"+";"-";"obséquieux";"obséquiosité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"272";"-";"+";"+";"-";"opiniâtre";"opiniâtreté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"273";"-";"+";"+";"-";"opportuniste";"opportunisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"274";"-";"+";"+";"-";"optimiste";"optimisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"275";"+";"+";"+";"+";"original";"originalité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"276";"+";"+";"+";"-";"orthodoxe";"orthodoxie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"277";"+";"+";"+";"+";"ostentatoire";"ostentation";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"278";"+";"+";"+";"+";"outrancier";"outrance";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"279";"+";"+";"+";"-";"outrecuidant";"outrecuidance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"280";"-";"+";"+";"-";"pacifique";"pacifisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"281";"-";"+";"+";"-";"papelard";"papelardise";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"282";"-";"+";"+";"-";"parcimonieux";"parcimonie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"283";"-";"+";"+";"-";"paresseux";"paresse";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"284";"+";"+";"+";"-";"partial";"partialité";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"285";"+";"+";"+";"+";"passéiste";"passéisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"286";"-";"+";"+";"-";"passif";"passivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"287";"+";"+";"+";"-";"pathétique";"pathétisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"288";"-";"-";"+";"-";"patriote";"patriotisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"289";"+";"+";"+";"+";"pédant";"pédantisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"290";"-";"+";"+";"+";"parfait";"perfection";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"291";"+";"+";"+";"-";"perfide";"perfidie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"292";"-";"+";"+";"-";"permissif";"permissivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"293";"+";"+";"+";"-";"perspicace";"perspicacité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"294";"+";"+";"+";"-";"pervers";"perversité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"295";"-";"+";"+";"-";"pessimiste";"pessimisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"296";"-";"+";"+";"-";"pétulant";"pétulance";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"297";"-";"-";"+";"-";"philosophe";"philosophie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"298";"-";"+";"+";"-";"pieux";"piété";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"299";"+";"+";"+";"-";"piquant";"piquant";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"300";"-";"+";"+";"-";"placide";"placidité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"301";"-";"+";"+";"-";"pleutre";"pleutrerie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"302";"+";"+";"+";"-";"poli";"politesse";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"303";"-";"+";"+";"+";"pompeux";"pompe";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"304";"+";"+";"+";"+";"pompier";"pompiérisme";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"305";"-";"+";"+";"-";"pondéré";"pondération";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"306";"+";"+";"+";"+";"populaire";"popularité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"307";"-";"+";"+";"-";"pragmatique";"pragmatisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"308";"+";"+";"+";"+";"précieux";"préciosité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"309";"-";"+";"+";"+";"prétentieux";"prétention";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"310";"-";"+";"+";"-";"probe";"probité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"311";"-";"-";"+";"+";"productif";"productivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"312";"-";"+";"+";"-";"prolixe";"prolixité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"313";"+";"+";"+";"+";"prosaïque";"prosaïsme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"314";"+";"+";"+";"-";"provincial";"provincialisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"315";"-";"+";"+";"-";"prude";"pruderie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"316";"-";"+";"+";"-";"pudique";"pudeur";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"317";"-";"+";"+";"+";"pudibond";"pudibonderie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"318";"+";"+";"+";"-";"puéril";"puérilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"319";"-";"+";"+";"-";"pugnace";"pugnacité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"320";"-";"+";"+";"+";"puissant";"puissance";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"321";"-";"+";"+";"-";"pur";"pureté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"322";"-";"+";"+";"-";"puritain";"puritanisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"323";"-";"+";"+";"-";"pusillanime";"pusillanimité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"324";"-";"+";"+";"-";"raciste";"racisme";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"325";"-";"+";"+";"+";"raffiné";"raffinement";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"326";"-";"+";"+";"-";"rapace";"rapacité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"327";"-";"+";"+";"-";"réaliste";"réalisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"328";"-";"+";"+";"-";"réticent";"réticence";"+";"+";"+";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"329";"-";"+";"+";"+";"rigoriste";"rigorisme";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"330";"+";"+";"+";"+";"romantique";"romantisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"331";"-";"+";"+";"-";"rosse";"rosserie";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"332";"+";"+";"+";"-";"roué";"rouerie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"333";"+";"+";"+";"+";"rude";"rudesse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"334";"-";"+";"+";"+";"rustique";"rusticité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"335";"-";"+";"+";"-";"sadique";"sadisme";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"336";"-";"+";"+";"-";"sadomasochiste";"sadomasochisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"337";"-";"+";"+";"-";"sagace";"sagacité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"338";"+";"+";"+";"-";"sage";"sagesse";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"339";"-";"+";"+";"-";"salace";"salacité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"340";"+";"+";"+";"-";"satanique";"satanisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"341";"+";"+";"+";"+";"sauvage";"sauvagerie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"342";"+";"+";"+";"-";"scélérat";"scélératesse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"343";"-";"+";"+";"-";"sénile";"sénilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"344";"-";"+";"+";"-";"sensuel";"sensualité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"345";"-";"+";"+";"-";"sentimental";"sentimentalité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"346";"-";"+";"+";"-";"serein";"sérénité";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"347";"+";"+";"+";"-";"sérieux";"sérieux";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"348";"+";"+";"+";"-";"servile";"servilité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"349";"+";"+";"+";"-";"sévère";"sévérité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"350";"+";"+";"+";"+";"simple";"simplicité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"351";"-";"+";"+";"-";"sincère";"sincérité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"352";"+";"+";"+";"+";"singulier";"singularité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"353";"-";"+";"+";"+";"snob";"snobisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"354";"-";"+";"+";"-";"sobre";"sobriété";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"355";"+";"+";"+";"+";"solennel";"solennité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"356";"+";"+";"+";"+";"somptueux";"somptuosité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"357";"+";"+";"+";"+";"sophistiqué";"sophistication";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"358";"+";"+";"+";"+";"sordide";"sordidité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"359";"-";"+";"+";"-";"sournois";"sournoiserie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"360";"-";"+";"+";"-";"spontané";"spontanéité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"361";"+";"+";"+";"-";"sportif";"sportivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"362";"-";"+";"+";"-";"stérile";"stérilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"363";"-";"+";"+";"-";"stoïque";"stoïcisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"364";"+";"+";"+";"-";"stupide";"stupidité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"365";"-";"+";"+";"-";"subjectif";"subjectivité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"366";"+";"+";"+";"-";"subtil";"subtilité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"367";"-";"+";"+";"-";"suffisant";"suffisance";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"368";"-";"+";"+";"-";"sybarite";"sybaritisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"369";"+";"+";"+";"+";"symbolique";"symbolisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"370";"-";"+";"+";"+";"téméraire";"témérité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"371";"-";"+";"+";"-";"tempérant";"tempérance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"372";"-";"+";"+";"-";"tendre";"tendresse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"373";"-";"+";"+";"-";"timide";"timidité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"374";"-";"+";"+";"-";"traître";"traîtrise";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"375";"+";"+";"+";"+";"trivial";"trivialité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"376";"+";"+";"+";"-";"truculent";"truculence";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"377";"-";"+";"+";"-";"turpide";"turpidité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"378";"+";"+";"+";"-";"urbain";"urbanité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"379";"-";"+";"+";"-";"utopique";"utopisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"380";"-";"-";"+";"-";"vache";"vacherie";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"381";"-";"+";"+";"-";"véhément";"véhémence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
