"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<OPT>Adj";"N0 avoir Det N";"N0 avoir Det N Loc N1";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le";"Adj = comme du N";"Adj =: Aug";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35";"+";"-";"catarrhe";"catarrheux";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"36";"-";"+";"caverne";"caverneux";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"37";"-";"+";"cendre";"cendreux";"-";"+";"-";"+";"+";"+";"-";"+";"-";"~";"~";"~";"Il y a de la cendre (dans ce foyer+sur cette dalle)"
"38";"+";"+";"cent";"centenaire";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"39";"+";"-";"cervelle";"cervelé";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"40";"+";"+";"chair";"charnu";"+";"-";"-";"+";"+";"-";"-";"-";"+";"Ce fruit a de la chair";"~";"~";"~"
"41";"-";"+";"champignon";"champignonneux";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"42";"-";"+";"charbon";"charbonneux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"43";"+";"-";"chassie";"chassieux";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"44";"+";"+";"cheveux";"chevelu";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"45";"-";"+";"chlore";"chloreux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"46";"-";"+";"chrome";"chromique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
