"<ID>";"faire = accorder";"faire = adresser";"faire = apporter";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"autre Det";"<ENT>N";"<OPT>V";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"Exemple Base1";"Exemple Autre1"
"67";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"interdiction";"interdire";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"68";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"interprétation";"interpréter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"69";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"livraison";"livrer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"70";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"louanges";"louer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"71";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"mandatement";"mandater";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~"
"72";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"mandement";"mander";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"73";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"menaces";"menacer";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~"
"74";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"mention";"mentionner";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"75";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"objection";"objecter";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"76";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"obligation";"obliger";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"77";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"<E>";"offrande";"offrir";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"78";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"offre";"offrir";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"79";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"ornementation";"ornementer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"80";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"ovation";"ovationner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"81";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"pansement";"panser";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"82";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"paraphrase";"paraphraser";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"83";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"prescription";"prescrire";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
