"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"N0 et N1 (avoir+perdre) Det N";"il y avoir Det N entre N0 et N1";"il y avoir Det N Loc N0";"Vsup =: exercer";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 donner Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"38";"-";"+";"-";"inflexion";"-";"+";"+";"+";"-";"-";"+";"+";"vers";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"~"
"39";"+";"-";"-";"intérêt";"-";"-";"+";"-";"+";"-";"+";"-";"pour+à";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"40";"-";"+";"+";"interférence";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"41";"+";"-";"-";"joie";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"~"
"42";"+";"-";"-";"jouissance";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"~"
"43";"-";"+";"+";"liaison";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"- -";"~"
"44";"+";"-";"-";"licence";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"~"
"45";"-";"+";"+";"lien";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"46";"-";"-";"-";"monopole";"+";"-";"+";"-";"-";"+";"+";"-";"de";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~"
"47";"-";"-";"-";"option";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~"
"48";"-";"-";"-";"passion";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
