"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: <E>-Modif, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"N0 et N1 (avoir+perdre) Det N";"il y avoir Det N entre N0 et N1";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"28";"+";"-";"fascination";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"29";"+";"-";"fixation";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Max (a+fait) une fixation sur Léa"
"30";"+";"-";"flamme";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a de la flamme pour cette cause"
"31";"+";"-";"grief";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"32";"+";"-";"horreur";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"de";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"33";"+";"-";"idée";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~"
"34";"-";"-";"illusion";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"35";"+";"-";"impression";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~"
"36";"+";"-";"impression";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"37";"+";"-";"inclination";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"38";"+";"-";"intention";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"de";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"39";"+";"-";"intention";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"envers";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"40";"+";"-";"intérêt";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"41";"+";"-";"juridiction";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~"
"42";"+";"-";"latitude";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~"
"43";"+";"-";"libre disposition";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"de";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~"
"44";"+";"-";"lien";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~"
"45";"-";"-";"lieu";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"de";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"46";"+";"-";"litige";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"~"
"47";"-";"-";"main-mise";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"48";"-";"-";"motif";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~"
"49";"-";"-";"moyen";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"~"
"50";"+";"-";"notion";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"en";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"~"
"51";"+";"-";"passion";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"~"
"52";"+";"-";"passion";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"~"
"53";"+";"-";"prise";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~"
"54";"+";"-";"raison";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"55";"+";"-";"rapport";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"56";"+";"-";"recours";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"57";"+";"-";"relation";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~"
"58";"+";"-";"répugnance";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"59";"+";"-";"répugnance";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~"
"60";"+";"-";"répulsion";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~"
"61";"+";"-";"ressentiment";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"62";"+";"-";"ressentiment";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"63";"+";"-";"ressource";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"64";"+";"-";"rudiments";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"en";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"~"
"65";"+";"-";"sujet";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"de";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~"
"66";"+";"-";"vindicte";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"67";"+";"-";"visées";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"68";"+";"-";"vues";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"

