"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum"
"99";"4";"oppresser";"oppression";"+";"+";"-"
"100";"4";"paralyser";"paralysie";"+";"+";"+"
"101";"4";"passionner";"passion";"+";"+";"-"
"102";"4";"apeurer";"peur";"+";"+";"-"
"103";"4";"pourrir";"pourriture";"+";"+";"+"
"104";"4";"préoccuper";"préoccupation";"+";"+";"-"
"105";"13";"protéger";"protection";"+";"+";"+"
"106";"4";"rajeunir";"rajeunissement";"+";"+";"-"
"107";"4";"ravir";"ravissement";"+";"+";"-"
"108";"13";"réconforter";"réconfort";"+";"+";"-"
"109";"4";"régaler";"régal";"+";"+";"-"
"110";"4";"réjouir";"réjouissance";"+";"+";"-"
"111";"4";"retarder";"retard";"+";"+";"+"
"112";"4";"révolter";"révolte";"+";"+";"-"
"113";"11";"ruiner";"ruine";"+";"+";"-"
"114";"4";"satisfaire";"satisfaction";"+";"+";"-"
"115";"4";"scandaliser";"scandale";"+";"+";"-"
"116";"4";"sidérer";"sidération";"+";"+";"-"
"117";"13";"soulager";"soulagement";"+";"+";"-"
"118";"4";"soutenir";"soutien";"+";"+";"-"
"119";"4";"stupéfier";"stupéfaction";"+";"+";"-"
"120";"4";"supplicier";"supplice";"+";"+";"-"
"121";"4";"surexciter";"surexcitation";"+";"+";"-"
"122";"4";"surprendre";"surprise";"+";"+";"-"
"123";"4";"terrifier";"terreur";"+";"+";"-"
"124";"4";"torturer";"torture";"+";"+";"-"
"125";"4";"tourmenter";"tourment";"+";"+";"-"
"126";"4";"tracasser";"tracas";"+";"+";"-"
"127";"4";"troubler";"trouble";"+";"+";"-"

