"<ID>";"Det =: du";"Det =: des";"Det =: un-Modif";"Det =: un-de Dnum Nmes";"N0 être Adj de Dnum Nmes";"<OPT>Adj";"<ENT>N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1"
"191";"-";"-";"+";"-";"-";"rétractile";"rétractilité";"~";"~";"~";"~"
"192";"-";"-";"+";"-";"-";"rétroactif";"rétroactivité";"~";"~";"~";"~"
"193";"-";"-";"+";"-";"-";"réversible";"réversibilité";"~";"~";"~";"~"
"194";"+";"-";"+";"-";"-";"rigide";"rigidité";"~";"~";"~";"~"
"195";"+";"-";"+";"-";"-";"rigoureux";"rigueur";"~";"~";"~";"~"
"196";"-";"-";"+";"-";"-";"rond";"rondeur";"~";"~";"~";"~"
"197";"-";"-";"+";"-";"-";"rude";"rudesse";"~";"~";"~";"~"
"198";"+";"+";"+";"-";"-";"rugueux";"rugosité";"~";"~";"~";"~"
"199";"-";"-";"+";"+";"-";"salin";"salinité";"~";"~";"~";"~"
"200";"-";"-";"+";"-";"-";"salubre";"salubrité";"~";"~";"~";"~"
"201";"-";"-";"+";"-";"-";"sapide";"sapidité";"~";"~";"~";"~"
"202";"+";"+";"+";"-";"-";"savoureux";"saveur";"~";"~";"~";"~"
"203";"-";"-";"+";"-";"-";"sec";"sécheresse";"~";"~";"~";"~"
"204";"-";"-";"+";"-";"-";"sélectif";"sélectivité";"~";"~";"~";"~"
"205";"-";"-";"+";"+";"+";"sensible";"sensibilité";"~";"~";"~";"~"
"206";"-";"+";"+";"-";"-";"sinueux";"sinuosité";"~";"~";"~";"~"
"207";"+";"-";"+";"-";"-";"solide";"solidité";"~";"~";"~";"~"
"208";"-";"-";"+";"+";"-";"soluble";"solubilité";"~";"~";"~";"~"
"209";"+";"-";"+";"-";"-";"sonore";"sonorité";"~";"~";"~";"~"
"210";"+";"-";"+";"-";"-";"soudain";"soudaineté";"~";"~";"~";"~"
"211";"+";"-";"+";"-";"-";"souple";"souplesse";"~";"~";"~";"~"
"212";"-";"-";"+";"-";"-";"spongieux";"spongiosité";"~";"~";"~";"~"
"213";"-";"+";"-";"-";"-";"squameux";"squame";"~";"~";"~";"~"
"214";"+";"-";"+";"-";"-";"stable";"stabilité";"~";"~";"~";"~"
"215";"-";"-";"+";"-";"-";"strident";"stridence";"~";"~";"~";"~"
"216";"+";"-";"+";"-";"-";"suave";"suavité";"~";"~";"~";"~"
"217";"-";"-";"+";"-";"-";"succulent";"succulence";"~";"~";"~";"~"
"218";"-";"-";"+";"-";"-";"tangible";"tangibilité";"~";"~";"~";"~"
"219";"-";"-";"+";"-";"-";"tendre";"tendreté";"~";"~";"~";"~"
"220";"-";"-";"+";"-";"-";"ténu";"ténuité";"~";"~";"~";"~"
"221";"-";"-";"+";"-";"-";"tiède";"tiédeur";"~";"~";"~";"~"
"222";"-";"-";"+";"-";"-";"toxique";"toxicité";"~";"~";"~";"~"
"223";"+";"-";"+";"-";"-";"tranquille";"tranquillité";"~";"~";"~";"~"
"224";"-";"-";"+";"-";"-";"transcendant";"transcendance";"~";"~";"~";"~"
"225";"-";"-";"+";"-";"-";"transitif";"transitivité";"~";"~";"~";"~"
"226";"+";"-";"+";"-";"-";"translucide";"translucidité";"~";"~";"~";"~"
"227";"-";"-";"+";"-";"-";"transmissible";"transmissibilité";"~";"~";"~";"~"
"228";"+";"-";"+";"-";"-";"transparent";"transparence";"~";"~";"~";"~"
"229";"-";"-";"+";"-";"-";"turgescent";"turgescence";"~";"~";"~";"~"
"230";"-";"-";"+";"-";"-";"unique";"unicité";"~";"~";"~";"~"
"231";"+";"-";"+";"-";"-";"uniforme";"uniformité";"~";"~";"~";"~"
"232";"-";"-";"+";"-";"-";"univoque";"univocité";"~";"~";"~";"~"
"233";"+";"-";"+";"-";"-";"véloce";"vélocité";"~";"~";"~";"~"
"234";"-";"-";"+";"-";"-";"vertical";"verticalité";"~";"~";"~";"~"
"235";"-";"-";"+";"-";"-";"viable";"viabilité";"~";"~";"~";"~"
"236";"+";"-";"+";"-";"-";"violent";"violence";"~";"~";"~";"~"
"237";"+";"-";"+";"-";"-";"virulent";"virulence";"~";"~";"~";"~"
"238";"-";"-";"+";"+";"-";"visqueux";"viscosité";"~";"~";"~";"~"
"239";"-";"-";"+";"-";"-";"volatile";"volatilité";"~";"~";"~";"~"
"240";"+";"-";"+";"+";"-";"volumineux";"volume";"~";"~";"~";"~"

