"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"Det =: un";"Det =: un-Modif";"N0 faire un N Modif Prép N1";"N0 faire un N Modif Prép N2";"N0 faire un N Modif";"un N Modif être fait par N0";"N0 faire des N";"Det =: du";"N0 faire du N Prép N1";"N0 faire du N Prép N2";"N0 faire du N";"Det =: <E>";"Det =: <E>-Modif";"N0 faire N Modif Prép N1";"N0 faire N Modif Prép N2";"N0 faire N Modif";"Prép1 =: (sur+au sujet de)";"Prép1 =: de";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: avec";"Prép2 =: auprès de";"Exemple Autre1"
"32";"15";"parader";"parade";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"33";"10";"parier";"pari";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~"
"34";"10";"plaider";"plaidoirie";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~"
"35";"10";"plaider";"plaidoyer";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~"
"36";"15";"plaisanter";"plaisanterie";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~"
"37";"35s";"potiner";"potin";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"~"
"38";"15";"raisonner";"raisonnement";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~"
"39";"9";"rapporter";"rapport";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~"
"40";"6";"spéculer";"spéculation";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~"
"41";"35s";"trafiquer";"trafic";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"42";"35s";"transiger";"transaction";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~"
"43";"8";"user";"usage";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~"

