"<ID>";"<ENT>N";"Det =: un";"Det =: un-Modif";"Det =: le";"Det =: <E>";"Det =: un-(juste+faux)";"Ppv =: en";"Vsup =: acquérir";"Vsup =: vivre dans";"Vsup =: donner";"le N Qu P";"N0 avoir Det N en N1";"N0 avoir un N";"N0 avoir des N";"N0 avoir du N"
"1";"analyse";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"2";"appréciation";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"3";"approche";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"4";"approximation";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"5";"compréhension";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"6";"concept";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-"
"7";"conception";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"8";"conceptualisation";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"9";"connaissance";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-"
"10";"conscience";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"11";"culte";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-"
"12";"culture";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-"
"13";"estimation";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"14";"évaluation";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"15";"expérience";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+"
"16";"explication";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"17";"fantasme";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-"
"18";"génie";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"19";"hantise";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-"
"20";"idéal";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+"
"21";"idée";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-"
"22";"ignorance";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-"
"23";"illusion";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-"
"24";"image";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-"
"25";"inconscience";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"26";"inspiration";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+"
"27";"instinct";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+"
"28";"intelligence";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"29";"interprétation";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"30";"intuition";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+"
"31";"lecture";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"32";"logique";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"33";"méconnaissance";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-"
"34";"mémoire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+"
"35";"mémorisation";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"36";"modèle";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-"
"37";"mystique";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-"
"38";"notion";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-"
"39";"opinion";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-"
"40";"oubli";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-"
"41";"perception";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"42";"philosophie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-"
"43";"pratique";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"44";"prémonition";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-"
"45";"prescience";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"46";"pressentiment";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-"
"47";"réminiscence";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-"
"48";"représentation";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-"
