"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Vsup =: manifester";"Vsup =: donner";"N2 donner à N0 Det N à N1";"Det =: un";"N0 avoir un N";"Det =: un-Modif";"N0 avoir un N Modif";"Det =: des";"Det =: le";"N0 Vsup le N de V0-inf W";"N0 Vsup le N de Nc à N1";"Det =: son, Nc =: N0";"N0 avoir le N";"Det =: du";"N0 avoir du N";"Det =: <E>";"très";"<ENT>N";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: ce(ci+la)";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: y";"Prép1 =: pour";"Prép1 =: contre";"Prép1 =: avec";"Prép1 =: dans";"N0 (connaître+comprendre) son N à V-inf W";"il y avoir (E+un) N à V0-inf W";"il y avoir (E+un) N à V0-inf W de la part de N0";"il y avoir (E+un) N à V0-inf W (pour+à l'égard de) N0";"N0 être (Adj+Vpp) à N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"agacement";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"~";"~"
"16";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"agrément";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"~";"~"
"17";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"aide";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~"
"18";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"air";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"19";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"aisance";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~"
"20";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"allégresse";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~"
"21";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"allergie";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"~";"~"
"22";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"amusement";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~"
"23";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"antidote";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~"
"24";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"appel";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"25";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"application";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~";"~"
"26";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"apport";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~"
"27";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"apprivoisement";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"28";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"approbation";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~"
"29";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"aptitude";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~"
"30";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"ardeur";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~";"~"
"31";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"aspiration";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"32";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"assentiment";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"33";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"asservissement";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"34";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"assiduité";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~";"~"
"35";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"assignation";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"36";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"assistance";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"37";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"assujettissement";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"38";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"attachement";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"39";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"autorisation";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"40";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"avantage";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"~";"~"
"41";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"aversion";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"~";"~"
"42";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"avidité";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"~";"~"
"43";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"bénéfice";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"44";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"capacité";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"Ce liquide a une grande capacité à se répandre";"~"
"45";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"coeur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
