"<ID>";"<ENT>N";"<OPT>V";"autre Det";"infliger = administrer";"infliger = fixer";"infliger = imposer";"infliger = prescrire";"infliger = prononcer";"Det =: un";"Det =: un-Modif";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"GN =: le N de N0 à N1";"GN =: le N de N1 par N0";"subir = écoper";"subir = endurer";"subir = essuyer";"subir = être en butte à";"subir = (être+faire) l'objet de";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"33";"rationnement";"rationner";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"~"
"34";"ravages";"ravager";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~"
"35";"relégation";"reléguer";"la";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"36";"rétrogradation";"rétrograder";"la";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"37";"sanction";"sanctionner";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"38";"séquestration";"séquestrer";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"39";"spoliation";"spolier";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"40";"surtaxe";"surtaxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~"
"41";"taxation";"taxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"42";"taxe";"taxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~"
"43";"torture";"torturer";"la";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"44";"vexation";"vexer";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"~"

