"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"un N Modif être fait par N0 W";"Det =: un";"Det =: des";"Det =: du";"Det =: Artg =: le";"Det =: Artg =: les";"Det =: <E>";"Det N être fait W par N0";"il être fait Det N W par N0"
"56";"38r";"mutiner";"mutinerie";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"57";"31h";"parader";"parade";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"58";"31h";"parjurer";"parjure";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"59";"   2";"passer";"passage";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"60";"32cl";"patrouiller";"patrouille";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"61";"31h";"pauser";"pauser";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"62";"35r";"pécher";"péché";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+"
"63";"   5";"pénétrer";"pénétration";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"64";"   2";"pérégriner";"pérégrination";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+"
"65";"38l";"péter";"pét";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"66";"34lo";"pétarader";"pétarade";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-"
"67";"31h";"piaffer";"piaffement";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"68";"35l";"piquer";"piqué";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"69";"35r";"pique niquer";"pique nique";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"70";"31h";"pirouetter";"pirouette";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"71";"   2";"plonger";"plongée";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+"
"72";"   2";"plonger";"plongeon";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"73";"31r";"progresser";"progrès";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+"
"74";"35l";"progresser";"progression";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"75";"36dt";"quêter";"quête";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"76";"36s";"réunir";"réunion";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"77";"35r";"réveillonner";"réveillon";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+"
"78";"   9";"ronronner";"ronron";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-"
"79";"36s";"roquer";"roque";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"80";"38l";"roter";"rot";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"81";"31h";"roupiller";"roupillon";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"82";"31h";"ruer";"ruade";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"83";"35r";"ruser";"ruse";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+"
"84";"   2";"sauter";"saut";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"85";"38pl";"scinder";"scission";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+"
"86";"31h";"servir";"service";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"87";"<E>";"signer";"signe de croix";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"88";"   2";"sortir";"sortie";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"89";"   4";"soulever";"soulèvement";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"90";"35r";"souper";"soupe";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"91";"   2";"sprinter";"sprint";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+"
"92";"34lo";"tourbillonner";"tourbillon";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"93";"   2";"trotter";"trot";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"94";"   2";"trottiner";"trottinement";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"95";"35l";"valser";"valse";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"96";"31r";"voyager";"voyage";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"

