"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"<OPT>V";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"135";"-";"-";"-";"-";"-";"-";"-";"immatriculation";"immatriculer";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"136";"-";"-";"-";"-";"-";"-";"-";"imposition";"imposer";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"137";"+";"-";"-";"+";"-";"-";"-";"impulsion";"impulser";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"138";"-";"-";"-";"-";"+";"-";"-";"imputation";"imputer";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"139";"+";"-";"-";"+";"+";"-";"-";"incitation";"inciter";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"140";"-";"-";"+";"-";"+";"-";"-";"inculpation";"inculper";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"141";"-";"+";"-";"+";"-";"-";"-";"indemnisation";"indemniser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"142";"+";"-";"-";"+";"-";"-";"-";"inflexion";"infléchir";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"143";"-";"-";"+";"+";"-";"+";"-";"information";"informer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"144";"-";"+";"-";"-";"+";"-";"-";"inhumation";"inhumer";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"145";"+";"+";"-";"+";"+";"-";"-";"initiation";"initier";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"146";"-";"-";"-";"-";"-";"-";"-";"instruction";"instruire";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"147";"-";"+";"-";"-";"-";"-";"-";"intégration";"intégrer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"148";"-";"-";"-";"+";"+";"-";"-";"interprétation";"interpréter";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"149";"-";"-";"-";"+";"-";"-";"-";"intitulé";"intituler";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"150";"-";"+";"-";"+";"-";"-";"-";"investiture";"investir";"-";"le";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"151";"-";"+";"+";"-";"+";"-";"-";"invitation";"inviter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"152";"+";"-";"-";"+";"-";"-";"-";"justification";"justifier";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"153";"+";"-";"-";"+";"-";"-";"-";"légalisation";"légaliser";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"154";"+";"+";"-";"+";"-";"-";"-";"légitimation";"légitimer";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"155";"-";"+";"-";"+";"-";"-";"-";"libération";"libérer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"156";"+";"-";"-";"+";"-";"-";"-";"limitation";"limiter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"157";"-";"+";"-";"-";"-";"-";"-";"logement";"loger";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"158";"+";"-";"-";"-";"+";"-";"-";"mandat";"mandater";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
