"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"<OPT>V";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"1";"-";"+";"-";"-";"-";"-";"-";"abri";"abriter";"-";"<E>";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"2";"-";"+";"-";"-";"-";"-";"-";"absolution";"absoudre";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"3";"-";"+";"-";"-";"-";"-";"-";"absolution";"absoudre";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"4";"-";"-";"-";"+";"-";"-";"-";"acceptation";"accepter";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"5";"-";"-";"-";"-";"-";"-";"-";"accolade";"accolader";"-";"la";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"6";"-";"-";"-";"+";"-";"-";"-";"accommodement";"accommoder";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"7";"-";"-";"-";"-";"+";"-";"-";"accompagnement";"accompagner";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"8";"-";"+";"-";"-";"-";"-";"-";"accréditation";"accréditer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"9";"+";"-";"-";"+";"-";"-";"-";"achèvement";"achever";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"10";"-";"-";"+";"-";"-";"-";"-";"acquiescement";"acquiescer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"11";"-";"+";"-";"-";"-";"-";"-";"acquittement";"acquitter";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"12";"-";"-";"-";"-";"+";"-";"-";"adaptation";"adapter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"13";"-";"-";"-";"+";"-";"-";"-";"adhésion";"adhérer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"14";"-";"+";"-";"-";"-";"-";"-";"adoubement";"adouber";"le";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"15";"-";"-";"-";"-";"-";"-";"-";"affectation";"affecter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"16";"-";"+";"-";"-";"-";"-";"-";"affectation";"affecter";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"17";"-";"-";"-";"-";"-";"-";"-";"affiliation";"affilier";"Poss0";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"18";"+";"+";"-";"+";"-";"-";"-";"affranchissement";"affranchir";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"19";"-";"-";"-";"-";"-";"-";"-";"agrément";"agrémenter";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"20";"+";"+";"-";"+";"-";"-";"-";"aide";"aider";"-";"Poss0";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"21";"-";"-";"-";"-";"-";"-";"-";"aiguillon";"aiguillonner";"le";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"22";"-";"-";"-";"-";"-";"-";"-";"alerte";"alerter";"le";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"23";"-";"+";"-";"+";"-";"-";"-";"alimentation";"alimenter";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"24";"-";"+";"+";"-";"-";"-";"-";"allocation";"allouer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"25";"-";"+";"-";"+";"-";"-";"-";"alphabétisation";"alphabétiser";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"26";"+";"-";"-";"+";"-";"-";"-";"amendement";"amender";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"27";"-";"+";"-";"-";"-";"-";"-";"amnistie";"amnistier";"-";"la";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"28";"-";"+";"-";"+";"-";"-";"-";"amour";"aimer";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"29";"-";"-";"-";"-";"-";"-";"-";"appellation";"appeler";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"On a donné à (cette chose+ce produit) une appellation nouvelle";"~";"~"
"30";"-";"+";"+";"-";"-";"-";"-";"applaudissements";"applaudir";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"31";"-";"+";"-";"-";"-";"-";"-";"appointements";"appointer";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"32";"-";"+";"-";"-";"-";"-";"-";"approbation";"approuver";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"33";"+";"-";"-";"+";"-";"-";"-";"approfondissement";"approfondir";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"34";"+";"+";"-";"+";"-";"-";"+";"appui";"appuyer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"35";"-";"-";"-";"+";"-";"-";"-";"argumentation";"argumenter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"36";"-";"+";"-";"+";"-";"-";"-";"armement";"armer";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"37";"-";"-";"-";"+";"-";"-";"-";"articulation";"articuler";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"38";"-";"-";"+";"-";"-";"-";"-";"assignation";"assigner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"39";"-";"-";"-";"+";"-";"-";"-";"assignation";"assigner";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"40";"-";"+";"-";"+";"-";"-";"+";"assistance";"assister";"-";"<E>";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"41";"-";"-";"-";"-";"-";"-";"-";"assurance";"assurer";"-";"Poss0";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"42";"-";"+";"+";"+";"+";"-";"-";"attestation";"attester";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"43";"-";"+";"-";"-";"+";"-";"-";"augmentation";"augmenter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"44";"+";"+";"-";"-";"-";"-";"-";"autorisation";"autoriser";"-";"Poss0";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"45";"-";"+";"-";"-";"-";"-";"-";"aval";"avaliser";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"46";"+";"+";"-";"+";"-";"-";"-";"avantage";"avantager";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~"
"47";"-";"-";"-";"-";"-";"-";"-";"bain";"baigner";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"48";"-";"+";"-";"-";"-";"-";"-";"baptême";"baptiser";"le";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"49";"-";"-";"-";"-";"-";"+";"+";"bastonnade";"bastonner";"-";"la";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"50";"-";"-";"-";"-";"+";"-";"-";"bécot";"bécoter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"51";"-";"+";"-";"-";"-";"-";"-";"bénédiction";"bénir";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"52";"-";"+";"-";"-";"+";"-";"-";"bise";"biser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"53";"-";"-";"-";"-";"-";"+";"+";"calotte";"calotter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"54";"-";"-";"-";"-";"-";"+";"+";"castagne";"castagner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"55";"-";"+";"-";"+";"-";"-";"-";"caution";"cautionner";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"56";"-";"-";"-";"+";"-";"-";"-";"cautionnement";"cautionner";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"57";"-";"-";"-";"-";"-";"-";"-";"charge";"charger";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"58";"-";"-";"-";"-";"-";"+";"+";"claque";"claquer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"59";"-";"-";"-";"+";"-";"-";"-";"collaboration";"collaborer";"-";"Poss0";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"60";"-";"-";"-";"-";"-";"+";"+";"colle";"coller";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"~";"~";"~"
"61";"-";"-";"-";"-";"-";"-";"-";"communication";"communiquer";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"62";"+";"-";"-";"+";"-";"-";"-";"complément";"compléter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"63";"+";"-";"-";"+";"-";"-";"-";"conclusion";"conclure";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"64";"-";"+";"-";"+";"-";"-";"-";"concours ";"concourir";"-";"Poss0";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"65";"-";"-";"-";"-";"-";"-";"-";"confirmation";"confirmer";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"66";"-";"-";"-";"+";"-";"-";"-";"confirmation";"confirmer";"-";"<E>";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"67";"-";"-";"-";"-";"-";"-";"-";"congé";"congédier";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"68";"-";"-";"+";"-";"-";"-";"-";"congé";"congédier";"Poss2";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"69";"-";"+";"+";"+";"-";"-";"-";"conseil";"conseiller";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"70";"-";"+";"-";"-";"-";"-";"-";"consentement";"consentir";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"71";"-";"-";"-";"-";"-";"-";"-";"consigne";"consigner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"72";"-";"-";"-";"+";"-";"-";"-";"contribution";"contribuer";"-";"Poss0";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"73";"-";"-";"+";"-";"+";"-";"-";"convocation";"convoquer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"74";"-";"+";"-";"+";"-";"-";"-";"coopération";"coopérer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"75";"-";"-";"-";"+";"+";"-";"-";"correction";"corriger";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"76";"-";"-";"-";"-";"-";"+";"+";"correction";"corriger";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"77";"+";"-";"-";"+";"+";"-";"-";"cotation";"coter";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"78";"-";"+";"-";"-";"-";"-";"-";"cote";"coter";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"79";"+";"+";"-";"+";"-";"-";"-";"couronne";"couronner";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"80";"-";"-";"-";"+";"-";"-";"-";"couverture";"couvrir";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"81";"-";"+";"-";"-";"-";"-";"-";"couverture";"couvrir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"82";"-";"-";"-";"-";"-";"-";"-";"cravache";"cravacher";"la";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"83";"+";"+";"-";"-";"+";"-";"-";"décharge";"décharger";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"84";"+";"+";"-";"-";"-";"-";"-";"décoration";"décorer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"85";"+";"+";"-";"+";"-";"-";"-";"dédommagement";"dédommager";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"86";"+";"+";"-";"+";"-";"-";"-";"dédouanement";"dédouaner";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"87";"-";"-";"-";"+";"-";"-";"-";"définition";"définir";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"Max donne une définition à ce concept";"~";"~"
"88";"-";"+";"-";"-";"+";"-";"-";"dégrèvement";"dégréver";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Le percepteur a donné un dégrèvement à Max";"~";"~"
"89";"-";"+";"-";"-";"+";"-";"-";"délégation";"déléguer";"-";"<E>";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"90";"+";"-";"-";"+";"-";"-";"-";"démenti";"démentir";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"91";"-";"-";"+";"-";"-";"-";"-";"démission";"démissionner";"-";"Poss0";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a donné sa démission de son poste à Jean";"~";"~"
"92";"-";"-";"-";"-";"-";"+";"+";"dérouillée";"dérouiller";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"Max a (flanqué+collé) une dérouillée à Luc";"~";"~"
"93";"-";"-";"+";"+";"-";"-";"-";"désapprobation";"désapprouver";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"94";"-";"-";"+";"+";"-";"-";"-";"désaveu";"désavouer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"95";"-";"-";"-";"+";"-";"-";"-";"désignation";"désigner";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"96";"-";"+";"-";"-";"+";"-";"-";"détaxe";"détaxer";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"97";"+";"-";"-";"+";"-";"-";"-";"développement";"développer";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"98";"+";"-";"-";"+";"+";"-";"-";"diffusion";"diffuser";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"99";"-";"+";"-";"-";"-";"-";"-";"diplôme";"diplômer";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"100";"+";"+";"-";"+";"-";"-";"-";"dispense";"dispenser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"101";"-";"-";"+";"+";"-";"+";"-";"documentation";"documenter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"~";"~";"~"
"102";"-";"+";"-";"+";"-";"-";"-";"dot";"doter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"103";"-";"-";"-";"-";"-";"-";"-";"douche";"doucher";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"Max a donné une douche à Luc";"~";"~"
"104";"+";"-";"-";"-";"-";"-";"-";"éducation";"éduquer";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"105";"+";"+";"-";"+";"-";"-";"-";"émancipation";"émanciper";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"106";"-";"+";"-";"-";"-";"-";"-";"émancipation";"émanciper";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"107";"+";"-";"+";"+";"-";"-";"-";"encouragement";"encourager";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a donné des encouragements à Léa";"~";"~"
