"<ID>";"N0 =: N-hum";"Det =: un-Modif";"Det =: un-de Dnum Nmes";"Det =: du";"Det =: des";"Det =: le";"Det =: <E>";"N0 avoir Det N";"<OPT>Adj";"<ENT>N";"N0 avoir Det N Prép N1";"N0 être Adj Prép N1";"N0 être de Det N Prép N1";"Prép1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: ce Qu P";"N1 =: V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1"
"80";"-";"+";"-";"+";"-";"-";"-";"+";"morose";"morosité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"81";"-";"+";"-";"+";"-";"+";"-";"+";"nostalgique";"nostalgie";"+";"+";"+";"de";"-";"+";"-";"-";"~";"~";"~";"~"
"82";"-";"+";"-";"-";"-";"-";"-";"+";"notable";"notabilité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"83";"+";"+";"-";"-";"-";"-";"-";"+";"nu";"nudité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"84";"-";"+";"-";"+";"-";"-";"-";"+";"obèse";"obésité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"85";"-";"+";"-";"-";"-";"-";"-";"+";"oisif";"oisiveté";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"86";"-";"+";"-";"-";"-";"-";"-";"+";"omnipotent";"omnipotence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"87";"-";"+";"-";"-";"-";"-";"-";"+";"omniprésent";"omniprésence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"88";"-";"+";"-";"-";"-";"-";"-";"+";"omniscient";"omniscience";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"89";"+";"+";"-";"-";"-";"-";"-";"-";"opulent";"opulence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"90";"-";"+";"-";"-";"-";"-";"-";"+";"païen";"paganisme";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"91";"+";"+";"-";"-";"-";"-";"-";"+";"pâle";"pâleur";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"92";"-";"+";"-";"-";"-";"+";"-";"+";"passionné";"passion";"+";"+";"+";"de";"-";"+";"-";"+";"~";"~";"~";"~"
"93";"+";"+";"-";"-";"-";"-";"-";"+";"pauvre";"pauvreté";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"94";"-";"+";"-";"+";"-";"-";"-";"+";"perplexe";"perplexité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"95";"-";"+";"-";"-";"+";"+";"+";"+";"peureux";"peur";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"96";"+";"+";"-";"-";"-";"-";"-";"+";"photogénique";"photogénie";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"97";"+";"+";"-";"+";"-";"-";"-";"+";"précoce";"précocité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"98";"-";"+";"-";"-";"-";"-";"-";"-";"prééminent";"prééminence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"99";"-";"+";"-";"+";"-";"-";"-";"-";"présent";"présence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"100";"+";"+";"-";"+";"-";"-";"-";"-";"prestigieux";"prestige";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"101";"+";"+";"-";"-";"-";"-";"-";"-";"prospère";"prospérité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"102";"-";"+";"-";"-";"-";"-";"-";"+";"prostré";"prostration";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"103";"+";"+";"-";"+";"-";"-";"-";"+";"rachitique";"rachitisme";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"104";"-";"+";"-";"-";"-";"-";"-";"+";"réceptif";"réceptivité";"+";"+";"+";"à";"-";"+";"-";"-";"~";"~";"~";"~"
"105";"-";"+";"-";"+";"-";"-";"-";"+";"reconnaissant";"reconnaissance";"+";"+";"+";"de";"-";"+";"+";"-";"~";"~";"~";"~"
"106";"+";"+";"-";"+";"-";"-";"-";"+";"renommé";"renom";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"107";"+";"+";"-";"+";"-";"-";"-";"+";"renommé";"renommée";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"108";"+";"+";"-";"+";"-";"+";"-";"+";"réputé";"réputation";"+";"+";"+";"de";"-";"-";"+";"+";"~";"~";"~";"~"
"109";"-";"+";"-";"+";"-";"+";"-";"+";"respectueux";"respect";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"110";"-";"+";"-";"+";"-";"-";"-";"+";"respectable";"respectabilité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"111";"-";"+";"-";"-";"-";"+";"-";"+";"responsable";"responsabilité";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"112";"+";"+";"-";"+";"+";"-";"-";"+";"riche";"richesse";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"113";"-";"+";"-";"-";"-";"-";"-";"+";"riche";"richesse";"+";"+";"+";"de";"-";"+";"-";"-";"~";"~";"~";"~"
"114";"-";"+";"-";"+";"+";"-";"-";"+";"routinier";"routine";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"115";"+";"+";"-";"-";"-";"-";"-";"-";"sale";"saleté";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"116";"-";"+";"-";"+";"+";"+";"-";"+";"scrupuleux";"scrupule";"+";"+";"+";"de";"-";"-";"+";"+";"~";"~";"~";"~"
"117";"-";"+";"-";"-";"-";"-";"-";"+";"sédentaire";"sédentarité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"118";"+";"+";"-";"-";"-";"-";"-";"+";"sensible";"sensibilité";"+";"+";"+";"à";"+";"+";"+";"-";"~";"~";"~";"~"
"119";"-";"+";"-";"-";"-";"-";"-";"+";"sérieux";"sérieux";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"120";"-";"+";"-";"-";"-";"+";"+";"-";"soigneux";"soin";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"121";"-";"+";"-";"-";"-";"-";"-";"+";"solvable";"solvabilité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"122";"-";"+";"-";"+";"+";"-";"-";"+";"soucieux";"souci";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"123";"-";"+";"-";"+";"+";"+";"-";"+";"soucieux";"souci";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"124";"-";"+";"-";"-";"+";"+";"-";"+";"soupçonneux";"soupçon";"+";"+";"+";"de";"-";"-";"+";"-";"~";"~";"~";"~"
"125";"-";"+";"+";"+";"-";"-";"-";"+";"sourd";"surdité";"+";"+";"+";"à";"-";"+";"-";"-";"~";"~";"~";"~"
"126";"-";"+";"-";"-";"+";"-";"-";"+";"suspicieux";"suspicion";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"127";"+";"+";"-";"+";"-";"-";"-";"+";"svelte";"sveltesse";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"128";"+";"+";"-";"-";"-";"-";"-";"+";"télégénique";"télégénie";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"129";"-";"+";"-";"-";"-";"-";"-";"+";"tout-puissant";"toute-puissance";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"130";"-";"+";"-";"+";"-";"-";"-";"+";"triste";"tristesse";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"131";"-";"+";"-";"-";"-";"+";"-";"+";"trouillard";"trouille";"+";"+";"+";"de";"+";"+";"+";"+";"~";"~";"~";"~"
"132";"-";"+";"-";"-";"-";"-";"-";"+";"turbulent";"turbulence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"133";"-";"+";"-";"-";"-";"-";"-";"+";"tyrannique";"tyrannie";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
