"<ID>";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"66";"cours";"<E>";"+";"+";"-";"+";"-";"+";"Le professeur (donne+fait) un cours (E+de math à l'élève)"
"67";"crasse";"-";"+";"+";"-";"+";"+";"-";"Max a fait une crasse de Luc"
"68";"crédit";"<E>";"-";"+";"-";"-";"-";"+";"~"
"69";"croche-pied";"-";"+";"+";"-";"+";"-";"-";"~"
"70";"déclaration";"-";"+";"+";"-";"-";"-";"-";"~"
"71";"dégueulasserie";"-";"+";"+";"-";"+";"+";"-";"Max a (fait+dit) des dégueulasseries à Marie"
"72";"démagogie";"-";"-";"+";"+";"-";"+";"+";"Max fait de la démagogie au peuple"
"73";"demi-clé";"-";"+";"+";"-";"+";"-";"-";"~"
"74";"demi-tarif";"<E>";"-";"+";"-";"-";"-";"+";"~"
"75";"diatribe";"-";"+";"+";"-";"+";"-";"+";"~"
"76";"discours";"-";"+";"+";"-";"+";"-";"+";"~"
"77";"discours-fleuve";"-";"+";"+";"-";"+";"-";"-";"~"
"78";"discours-suicide";"-";"+";"+";"-";"+";"-";"-";"~"
"79";"dithyrambe";"-";"+";"+";"-";"-";"-";"+";"~"
"80";"doléances";"-";"-";"-";"-";"+";"-";"+";"Max (adresse+fait) des doléances à son chef"
"81";"donation";"-";"+";"+";"-";"+";"-";"-";"Max a fait une donation à un musée"
"82";"dotation";"-";"+";"+";"-";"+";"-";"-";"~"
"83";"électrochoc";"-";"+";"+";"-";"+";"-";"-";"Max a fait un électrochoc à Léa"
"84";"éloge";"-";"+";"+";"-";"+";"-";"+";"Max fait des éloges à Léa"
"85";"embarras";"-";"-";"-";"-";"+";"-";"-";"Léa a fait des embarras pendant l'été"
"86";"embrouilles";"-";"-";"-";"-";"+";"-";"+";"Max fait des embrouilles à Léa"
"87";"entourloupe";"-";"+";"+";"-";"+";"+";"-";"Alice a fait une entourloupe à Léa"
"88";"envolée";"-";"+";"+";"-";"-";"-";"+";"~"
"89";"épate";"-";"-";"+";"+";"-";"-";"+";"~"
"90";"épître";"-";"+";"+";"-";"+";"-";"+";"Max (écrit+fait) une épître à Léa"
"91";"esbroufe";"-";"-";"+";"+";"-";"-";"+";"Max fait de l'esbroufe à Jean"
"92";"estafilade";"-";"+";"+";"-";"+";"-";"-";"Paul a fait une estafilade à Max"
