"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"32";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"coup d'oeil";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~"
"33";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"cours";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"~";"~"
"34";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"critique";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"35";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"débouché";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~"
"36";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"déduction";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"~";"~"
"37";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"désavantage";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~"
"38";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"desseins";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"Max a des desseins sur cette (ville+dame)";"~"
"39";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"dessus";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Max (a+prend) le dessus sur Jean";"~"
"40";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"détaxe";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"41";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"devant";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"42";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"diagnostique";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"43";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"documentation";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
