"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<ENT>Adj";"Prép1";"Adj permut obl";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 faire Det N";"GN =: le N entre N0 et N1";"il y avoir Det N W";"Exemple Autre1"
"64";"+";"-";"tir";"rasant";"contre";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"~"
"65";"+";"-";"tour";"petit";"Loc";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"66";"+";"-";"tournée";"électorale";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"67";"+";"-";"tournée";"théâtrale";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"68";"+";"-";"travail";"beau";"Loc";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"~"
"69";"-";"+";"travaux";"pratiques";"de";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~"
"70";"+";"-";"union";"sacrée";"contre";"-";"la";"-";"+";"-";"-";"+";"-";"+";"-";"+";"~"
"71";"+";"-";"usage";"bon";"de";"+";"<E>";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"72";"+";"-";"usage";"mauvais";"de";"+";"<E>";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"73";"+";"-";"visite";"domiciliaire";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"74";"+";"-";"vol";"plané";"Loc";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~"
"75";"-";"+";"voyage";"organisé";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"

