"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"170";"+";"-";"lancer de marteau";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"171";"+";"+";"lancer de poids";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"172";"+";"-";"lancer de tronc";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"173";"+";"+";"lancer du disque";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"174";"+";"+";"lancer du javelot";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"175";"+";"-";"lancer du marteau";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"176";"+";"+";"lancer du poids";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"177";"+";"+";"langues mortes";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"178";"+";"+";"langues régionales";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"179";"+";"+";"langues vivantes";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"180";"+";"+";"lyonnaise";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"181";"+";"+";"macrophotographie";"-";"+";"-";"-";"+";"-";"ie";"e";"+";"-";"-"
"182";"+";"+";"maquettes";"+";"+";"-";"-";"+";"-";"es";"iste";"-";"-";"-"
"183";"+";"+";"marathon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"184";"+";"+";"marathon d'équitation";"-";"-";"-";"+";"+";"1";"-";"ien";"-";"-";"-"
"185";"+";"+";"marche";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"186";"+";"+";"mélodrame";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"187";"+";"+";"microphotographie";"-";"+";"-";"-";"+";"-";"ie";"e";"+";"-";"-"
"188";"+";"+";"mile";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"189";"+";"+";"mini-basket";"-";"-";"+";"-";"+";"2";"-";"teur";"-";"+";"-"
"190";"+";"+";"mini-golf";"-";"+";"+";"-";"+";"2";"-";"eur";"-";"+";"-"
"191";"+";"+";"mise en scène";"-";"-";"-";"-";"+";"1";"ise";"etteur";"+";"-";"-"
"192";"+";"-";"moto-ball";"-";"-";"-";"+";"+";"1";"o";"ard";"-";"-";"-"
"193";"+";"+";"moto-cross";"-";"-";"+";"+";"+";"1";"o";"ard";"-";"-";"-"
"194";"+";"+";"moto-neige";"-";"-";"-";"+";"+";"1";"o";"ard";"-";"-";"-"
"195";"+";"-";"motoball";"-";"-";"-";"-";"+";"-";"oball";"ard";"-";"-";"-"
"196";"+";"+";"motocross";"-";"-";"-";"-";"+";"-";"ocross";"ard";"-";"-";"-"
"197";"+";"+";"motoneige";"-";"-";"-";"-";"+";"-";"oneige";"ard";"-";"-";"-"
"198";"+";"+";"musette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"199";"+";"+";"musique";"-";"-";"-";"-";"+";"-";"que";"cien";"-";"-";"+"
"200";"+";"+";"musique africaine";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"201";"+";"+";"musique ancienne";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"202";"+";"+";"musique classique";"-";"-";"+";"+";"+";"1";"que";"cien";"-";"-";"+"
"203";"+";"+";"musique contemporaine";"-";"-";"+";"+";"+";"1";"que";"cien";"-";"-";"+"
"204";"+";"+";"musique de chambre";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"205";"+";"+";"musique de cour";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"206";"+";"+";"musique d'opéra";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"207";"+";"+";"musique d'orchestre";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"208";"+";"+";"musique folklorique";"-";"-";"+";"+";"+";"1";"que";"cien";"-";"-";"+"
"209";"+";"+";"musique indienne";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"210";"+";"+";"musique lyrique";"-";"-";"+";"+";"+";"1";"que";"cien";"-";"-";"+"
"211";"+";"+";"musique médiévale";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"212";"+";"+";"musique militaire";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"213";"+";"+";"musique moderne";"-";"-";"+";"+";"+";"1";"que";"cien";"-";"-";"+"
"214";"+";"+";"musique orientale";"-";"-";"-";"+";"+";"1";"que";"cien";"-";"-";"+"
"215";"-";"+";"netball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"216";"+";"+";"opéra";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"217";"+";"+";"opéra-comique";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"218";"+";"+";"paddle-ball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"219";"+";"+";"paddleball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"220";"+";"+";"parcours d'obstacles";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"221";"+";"+";"paso doble";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"222";"+";"+";"peinture";"-";"+";"-";"-";"+";"-";"ure";"re";"+";"-";"-"
"223";"+";"+";"peinture classique";"-";"+";"+";"+";"+";"1";"ure";"re";"+";"-";"-"
"224";"+";"+";"peinture contemporaine";"-";"+";"+";"+";"+";"1";"ure";"re";"+";"-";"-"
"225";"+";"+";"peinture impressionniste";"-";"+";"-";"+";"+";"1";"ure";"re";"+";"-";"-"
"226";"+";"+";"peinture moderne";"-";"+";"+";"+";"+";"1";"ure";"re";"+";"-";"-"
"227";"+";"+";"peinture naïve";"-";"+";"-";"+";"+";"1";"ure";"re";"+";"-";"-"
"228";"+";"+";"peinture réaliste";"-";"+";"-";"+";"+";"1";"ure";"re";"+";"-";"-"
"229";"-";"+";"pentathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"230";"+";"-";"pentathlon aéronautique";"-";"-";"-";"+";"+";"1";"-";"ien";"-";"-";"-"
"231";"+";"-";"pentathlon militaire";"-";"-";"-";"+";"+";"1";"-";"ien";"-";"-";"-"
"232";"-";"+";"pentathlon moderne";"-";"-";"-";"+";"+";"1";"-";"ien";"-";"-";"-"
"233";"+";"-";"pentathlon naval";"-";"-";"-";"+";"+";"1";"-";"ien";"-";"-";"-"
"234";"+";"+";"pétanque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"235";"+";"+";"pêche";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"236";"+";"+";"pêche au coup";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"237";"+";"+";"pêche en eaux closes";"-";"-";"-";"-";"+";"1";"-";"ur";"+";"-";"-"
"238";"+";"+";"pêche en eaux vives";"-";"-";"-";"-";"+";"1";"-";"ur";"+";"-";"-"
"239";"+";"+";"pêche en mer";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"240";"+";"+";"pêche sportive";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"241";"+";"+";"photo";"-";"+";"-";"-";"+";"-";"-";"graphe";"+";"-";"-"
"242";"+";"+";"photographie";"-";"+";"-";"-";"+";"-";"ie";"e";"+";"-";"-"
"243";"+";"+";"ping-pong";"-";"-";"-";"-";"+";"2";"ping";"iste";"-";"+";"-"
"244";"+";"+";"plongeon";"-";"-";"-";"-";"+";"-";"on";"ur";"+";"-";"-"
"245";"+";"+";"plongée";"-";"-";"-";"-";"+";"-";"ée";"eur";"+";"-";"-"
"246";"+";"+";"plongée libre";"-";"-";"-";"+";"+";"1";"ée";"eur";"+";"-";"-"
"247";"+";"+";"plongée sous-marine";"-";"-";"-";"+";"+";"1";"ée";"eur";"+";"-";"-"
"248";"+";"+";"poésie";"-";"+";"-";"-";"+";"-";"sie";"te";"-";"-";"-"
"249";"+";"+";"polka";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"250";"+";"+";"polka piquée";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"251";"+";"+";"polo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"252";"+";"+";"polo-vélo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"253";"+";"+";"portrait";"-";"+";"-";"-";"+";"-";"-";"iste";"-";"-";"-"
"254";"+";"+";"publicité";"-";"+";"-";"-";"+";"-";"é";"aire";"-";"-";"-"
"255";"+";"+";"racquet-ball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"256";"+";"+";"racquetball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"257";"+";"+";"raid";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"258";"+";"+";"raid à ski";"-";"-";"-";"+";"+";"2";"-";"eur";"-";"-";"-"
"259";"+";"+";"raid en kayac";"-";"-";"-";"+";"+";"2";"c";"kiste";"-";"-";"-"
"260";"+";"+";"raid en kayak";"-";"-";"-";"+";"+";"2";"-";"iste";"-";"-";"-"
"261";"+";"+";"rallye";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"262";"+";"+";"rallye-raid";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"263";"+";"+";"randonnée";"-";"-";"-";"-";"+";"-";"ée";"eur";"-";"-";"-"
"264";"+";"+";"randonnée à cheval";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"265";"+";"+";"randonnée à poney";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"266";"+";"+";"randonnée d'endurance";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"267";"+";"+";"randonnée équestre";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"268";"+";"+";"randonnée nautique";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"269";"+";"+";"randonnée pédestre";"-";"-";"-";"+";"+";"1";"ée";"eur";"-";"-";"-"
"270";"+";"+";"recherche";"-";"-";"-";"-";"+";"-";"re-";"ur";"+";"-";"-"
"271";"+";"+";"relais";"-";"-";"-";"+";"+";"-";"is";"yeur";"+";"-";"-"
"272";"+";"+";"relais quatre fois cent mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"273";"+";"+";"relais quatre fois cent mètres quatre nages";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"274";"+";"+";"relais quatre fois cent mètres libre";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"275";"+";"+";"relais quatre fois deux cents mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"276";"+";"-";"relais quatre fois deux cents mètres libre";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"277";"+";"+";"relais quatre fois huit cents mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"278";"+";"+";"relais quatre fois mille mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"279";"+";"-";"relais quatre fois mille cinq cents mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"280";"+";"+";"relais quatre fois quatre cents mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"281";"+";"+";"relais quatre fois quatre-vingts mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"282";"+";"-";"relais quatre fois quinze cent mètres";"-";"-";"-";"-";"+";"1";"is";"yeur";"+";"-";"-"
"283";"+";"+";"régate";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"284";"+";"+";"rink-hockey";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"285";"+";"+";"rock";"-";"-";"-";"-";"+";"-";"-";"eur";"-";"-";"+"
"286";"+";"+";"rock acrobatique";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"287";"+";"+";"rock 'n' roll";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"+"
"288";"+";"+";"rock & roll";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"+"
"289";"+";"+";"rock and roll";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"+"
"290";"+";"+";"rodéo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"291";"+";"+";"rugby";"-";"-";"-";"-";"+";"-";"-";"man";"-";"+";"-"
"292";"+";"-";"rugby à quinze";"-";"-";"-";"+";"+";"1";"-";"man";"-";"+";"-"
"293";"+";"-";"rugby à sept";"-";"-";"-";"+";"+";"1";"-";"man";"-";"+";"-"
"294";"+";"-";"rugby à treize";"-";"-";"-";"+";"+";"1";"-";"man";"-";"+";"-"
"295";"-";"+";"rugby féminin";"-";"-";"-";"+";"+";"1";"-";"woman";"-";"+";"-"
"296";"+";"+";"rumba";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"297";"+";"+";"samba";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"298";"+";"+";"saut";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"299";"+";"+";"saut à la corde";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"300";"+";"-";"saut à la perche";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"301";"+";"-";"saut à la perche";"-";"-";"-";"+";"+";"2";"-";"iste";"+";"-";"-"
"302";"+";"-";"saut à ski";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"303";"+";"-";"saut à ski sur tremplin";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"304";"+";"-";"saut à ski sur tremplin de soixante-dix mètres";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"305";"+";"-";"saut à ski sur tremplin de quatre-vingt-dix mètres";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"306";"+";"+";"saut de cheval";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"307";"-";"+";"saut de cheval en largeur";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"308";"+";"-";"saut de cheval en longueur";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"309";"+";"+";"saut du tonneau";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"310";"+";"+";"saut en hauteur";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"311";"+";"+";"saut en longueur";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"312";"+";"-";"saut sur tremplin de soixante-dix mètres";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"313";"+";"-";"saut sur tremplin de quatre-vingt-dix mètres";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"314";"+";"-";"schlagball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"315";"+";"+";"sculpture";"-";"+";"-";"-";"+";"-";"ure";"eur";"+";"-";"-"
"316";"+";"+";"sculpture classique";"-";"+";"+";"+";"+";"1";"ure";"eur";"+";"-";"-"
"317";"+";"+";"sculpture contemporaine";"-";"+";"+";"+";"+";"1";"ure";"eur";"+";"-";"-"
"318";"+";"+";"sculpture moderne";"-";"+";"+";"+";"+";"1";"ure";"eur";"+";"-";"-"
"319";"+";"+";"sculpture réaliste";"-";"+";"-";"+";"+";"1";"ure";"eur";"+";"-";"-"
"320";"+";"+";"skiathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"321";"+";"+";"slalom";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"322";"+";"+";"slalom géant";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"323";"+";"+";"slalom spécial";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"324";"+";"+";"slalom super géant";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"325";"+";"+";"slow";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"326";"+";"+";"soft-ball";"-";"-";"-";"+";"+";"2";"-";"eur";"-";"+";"-"
"327";"+";"+";"softball";"-";"-";"-";"-";"+";"-";"-";"eur";"-";"+";"-"
"328";"+";"+";"speed-ball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"329";"+";"+";"speedball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"330";"+";"+";"sport";"-";"-";"-";"-";"+";"-";"-";"if";"-";"-";"-"
"331";"+";"+";"sport acrobatique";"-";"-";"-";"+";"+";"1";"-";"if";"-";"-";"-"
"332";"+";"+";"sport collectif";"-";"-";"-";"+";"+";"1";"-";"if";"-";"-";"-"
