"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"392";"+";"+";"tir fédéral";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"393";"+";"+";"tir olympique";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"394";"+";"+";"tir sur cible";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"-";"-"
"395";"+";"+";"tir sur pigeon d'argile";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"396";"+";"+";"tir sur sanglier courant";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"397";"+";"+";"tir sur silhouettes métalliques";"-";"-";"-";"-";"+";"1";"-";"eur";"+";"-";"-"
"398";"+";"+";"tissage";"-";"+";"-";"-";"+";"-";"âge";"eur";"+";"-";"-"
"399";"+";"+";"tout-terrain";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"400";"+";"+";"tragédie";"-";"+";"-";"-";"+";"-";"-";"n";"-";"-";"+"
"401";"+";"+";"tragi-comédie";"-";"+";"+";"-";"+";"2";"-";"n";"-";"-";"+"
"402";"+";"+";"trekking";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"403";"+";"+";"trial";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"404";"+";"+";"triathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"405";"+";"+";"triathlon";"-";"-";"-";"-";"+";"-";"on";"ète";"-";"-";"-"
"406";"+";"+";"tricot";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"407";"+";"-";"triple saut";"-";"-";"+";"-";"+";"2";"-";"eur";"+";"-";"-"
"408";"+";"+";"valse";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"+"
"409";"+";"+";"vélo-cross";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"410";"+";"+";"vélo-trial";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"411";"+";"+";"vol à moteur";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-"
"412";"+";"+";"vol libre";"-";"-";"-";"+";"+";"2";"re";"ériste";"+";"-";"-"
"413";"+";"+";"vol relatif";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-"
"414";"+";"+";"vol sans moteur";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-"
"415";"+";"+";"volley";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"+";"-"
"416";"+";"+";"volley-ball";"-";"-";"-";"+";"+";"1";"-";"eur";"+";"+";"-"
"417";"+";"+";"volleyball";"-";"-";"-";"-";"+";"-";"ball";"eur";"+";"+";"-"
"418";"+";"+";"voltige";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"419";"+";"+";"voltige aérienne";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"420";"+";"+";"water-polo";"-";"-";"-";"-";"+";"2";"-";"ïste";"-";"+";"-"

